Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9994418388,13.2918607949,JCMTCAL,56387.3823727,33,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,scuba2_00033_20130405T091006,caom:JCMT/scuba2_00033_20130405T091006/raw-450um
IRC+10216,146.9810324638,13.2826942851,JCMTCAL,56389.2758565,22,SCUBA-2,SCUBA-2-450um,180,pointing,science,raw-450um,scuba2_00022_20130407T063649,caom:JCMT/scuba2_00022_20130407T063649/raw-450um
IRC+10216,146.9923061887,13.2828332844,JCMTCAL,56348.3247106,30,SCUBA-2,SCUBA-2-450um,169,pointing,science,raw-450um,scuba2_00030_20130225T074707,caom:JCMT/scuba2_00030_20130225T074707/raw-450um
IRC+10216,146.9983001686,13.2922775015,JCMTCAL,56338.5528125,72,SCUBA-2,SCUBA-2-450um,254,pointing,science,raw-450um,scuba2_00072_20130215T131536,caom:JCMT/scuba2_00072_20130215T131536/raw-450um
IRC+10216,146.991878078,13.2832499544,JCMTCAL,56317.419213,36,SCUBA-2,SCUBA-2-450um,169,pointing,science,raw-450um,scuba2_00036_20130125T100315,caom:JCMT/scuba2_00036_20130125T100315/raw-450um
IRC+10216,146.9947321765,13.2826943523,JCMTCAL,56339.2854861,25,SCUBA-2,SCUBA-2-450um,254,pointing,science,raw-450um,scuba2_00025_20130216T065100,caom:JCMT/scuba2_00025_20130216T065100/raw-450um
IRC+10216,147.0080036879,13.2818603953,JCMTCAL,56613.5532176,42,SCUBA-2,SCUBA-2-450um,190,pointing,science,raw-450um,scuba2_00042_20131117T131246,caom:JCMT/scuba2_00042_20131117T131246/raw-450um
IRC+10216,146.9978720362,13.2922775173,JCMTCAL,56325.5989352,52,SCUBA-2,SCUBA-2-450um,255,pointing,science,raw-450um,scuba2_00052_20130202T142203,caom:JCMT/scuba2_00052_20130202T142203/raw-450um
IRC+10216,147.0091462272,13.2928324354,JCMTCAL,56326.5294329,46,SCUBA-2,SCUBA-2-450um,256,pointing,science,raw-450um,scuba2_00046_20130203T124041,caom:JCMT/scuba2_00046_20130203T124041/raw-450um
IRC+10216,146.9995846454,13.2940829935,JCMTCAL,56336.5218634,48,SCUBA-2,SCUBA-2-450um,173,pointing,science,raw-450um,scuba2_00048_20130213T123057,caom:JCMT/scuba2_00048_20130213T123057/raw-450um
IRC+10216,146.9983001634,13.2921386141,JCMTCAL,56316.6174421,54,SCUBA-2,SCUBA-2-450um,172,pointing,science,raw-450um,scuba2_00054_20130124T144839,caom:JCMT/scuba2_00054_20130124T144839/raw-450um
IRC+10216,146.9948748852,13.2828332367,JCMTCAL,56313.353669,30,SCUBA-2,SCUBA-2-450um,171,pointing,science,raw-450um,scuba2_00030_20130121T082852,caom:JCMT/scuba2_00030_20130121T082852/raw-450um
IRC+10216,146.9991564288,13.2921385817,JCMTCAL,56313.5927546,62,SCUBA-2,SCUBA-2-450um,174,pointing,science,raw-450um,scuba2_00062_20130121T141300,caom:JCMT/scuba2_00062_20130121T141300/raw-450um
IRC+10216,146.9924489302,13.2854721523,JCMTCAL,56333.4084722,38,SCUBA-2,SCUBA-2-450um,171,pointing,science,raw-450um,scuba2_00038_20130210T094741,caom:JCMT/scuba2_00038_20130210T094741/raw-450um
IRC+10216,146.9971584851,13.2922775467,JCMTCAL,56408.4042477,29,SCUBA-2,SCUBA-2-450um,174,pointing,science,raw-450um,scuba2_00029_20130426T093933,caom:JCMT/scuba2_00029_20130426T093933/raw-450um
IRC+10216,146.9981574528,13.2921386191,JCMTCAL,56302.6542245,64,SCUBA-2,SCUBA-2-450um,259,pointing,science,raw-450um,scuba2_00064_20130110T154153,caom:JCMT/scuba2_00064_20130110T154153/raw-450um
IRC+10216,147.0013251461,13.2921386578,JCMTCAL,56479.2048032,5,SCUBA-2,SCUBA-2-450um,210,pointing,science,raw-450um,scuba2_00005_20130706T045445,caom:JCMT/scuba2_00005_20130706T045445/raw-450um
IRC+10216,146.9980148215,13.2942219464,JCMTCAL,56332.5728125,54,SCUBA-2,SCUBA-2-450um,169,pointing,science,raw-450um,scuba2_00054_20130209T134420,caom:JCMT/scuba2_00054_20130209T134420/raw-450um
IRC+10216,146.9927342941,13.2821388379,JCMTCAL,56293.4583796,39,SCUBA-2,SCUBA-2-450um,253,pointing,science,raw-450um,scuba2_00039_20130101T105939,caom:JCMT/scuba2_00039_20130101T105939/raw-450um
IRC+10216,146.9903083214,13.2847777371,JCMTCAL,56315.4578472,46,SCUBA-2,SCUBA-2-450um,172,pointing,science,raw-450um,scuba2_00046_20130123T105847,caom:JCMT/scuba2_00046_20130123T105847/raw-450um
IRC+10216,147.0024668351,13.2922775011,JCMTCAL,56427.3092477,23,SCUBA-2,SCUBA-2-450um,174,pointing,science,raw-450um,scuba2_00023_20130515T072457,caom:JCMT/scuba2_00023_20130515T072457/raw-450um
IRC+10216,146.9994418388,13.2918607949,JCMTCAL,56410.3157755,34,SCUBA-2,SCUBA-2-450um,178,pointing,science,raw-450um,scuba2_00034_20130428T073407,caom:JCMT/scuba2_00034_20130428T073407/raw-450um
IRC+10216,146.9987282959,13.2921385976,JCMTCAL,56400.3697917,24,SCUBA-2,SCUBA-2-450um,265,pointing,science,raw-450um,scuba2_00024_20130418T085201,caom:JCMT/scuba2_00024_20130418T085201/raw-450um
IRC+10216,146.9831726662,13.297971975,JCMTCAL,56300.5659028,55,SCUBA-2,SCUBA-2-450um,254,pointing,science,raw-450um,scuba2_00055_20130108T133402,caom:JCMT/scuba2_00055_20130108T133402/raw-450um
IRC+10216,146.9923062663,13.2896387704,JCMTCAL,56387.3309954,26,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,scuba2_00026_20130405T075433,caom:JCMT/scuba2_00026_20130405T075433/raw-450um
IRC+10216,146.9997272668,13.2919996716,JCMTCAL,56330.5271991,42,SCUBA-2,SCUBA-2-450um,174,pointing,science,raw-450um,scuba2_00042_20130207T123901,caom:JCMT/scuba2_00042_20130207T123901/raw-450um
IRC+10216,146.9928770386,13.2843610492,JCMTCAL,56293.4959606,43,SCUBA-2,SCUBA-2-450um,252,pointing,science,raw-450um,scuba2_00043_20130101T115404,caom:JCMT/scuba2_00043_20130101T115404/raw-450um
IRC+10216,146.999584633,13.2938052176,JCMTCAL,56338.5105556,67,SCUBA-2,SCUBA-2-450um,218,pointing,science,raw-450um,scuba2_00067_20130215T121438,caom:JCMT/scuba2_00067_20130215T121438/raw-450um
IRC+10216,147.0017532814,13.2922775277,JCMTCAL,56430.3190278,29,SCUBA-2,SCUBA-2-450um,133,pointing,science,raw-450um,scuba2_00029_20130518T073617,caom:JCMT/scuba2_00029_20130518T073617/raw-450um
IRC+10216,147.0038939219,13.2917218967,JCMTCAL,56420.2588773,23,SCUBA-2,SCUBA-2-450um,204,pointing,science,raw-450um,scuba2_00023_20130508T061241,caom:JCMT/scuba2_00023_20130508T061241/raw-450um
IRC+10216,146.9948748892,13.2829721253,JCMTCAL,56352.2602199,15,SCUBA-2,SCUBA-2-450um,166,pointing,science,raw-450um,scuba2_00015_20130301T061210,caom:JCMT/scuba2_00015_20130301T061210/raw-450um
IRC+10216,146.9987283745,13.2940830289,JCMTCAL,56315.5989468,63,SCUBA-2,SCUBA-2-450um,169,pointing,science,raw-450um,scuba2_00063_20130123T142156,caom:JCMT/scuba2_00063_20130123T142156/raw-450um
IRC+10216,146.9997272671,13.2919996721,JCMTCAL,56329.5231597,54,SCUBA-2,SCUBA-2-450um,127,pointing,science,raw-450um,scuba2_00054_20130206T123140,caom:JCMT/scuba2_00054_20130206T123140/raw-450um
