Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Quality,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9933051085,13.281861053,JCMTCAL,,57039.4033912,30,SCUBA-2,SCUBA-2-450um,254,pointing,science,raw-450um,scuba2_00030_20150117T093727,caom:JCMT/scuba2_00030_20150117T093727/raw-450um
IRC+10216,146.9987282959,13.2921385976,JCMTCAL,,57042.6073958,46,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00046_20150120T143407,caom:JCMT/scuba2_00046_20150120T143407/raw-450um
IRC+10216,146.9950175869,13.2826943457,JCMTCAL,,57043.3548958,19,SCUBA-2,SCUBA-2-450um,104,pointing,science,raw-450um,scuba2_00019_20150121T083056,caom:JCMT/scuba2_00019_20150121T083056/raw-450um
IRC+10216,146.9944467695,13.2828332465,JCMTCAL,,57046.3581597,23,SCUBA-2,SCUBA-2-450um,145,pointing,science,raw-450um,scuba2_00023_20150124T083212,caom:JCMT/scuba2_00023_20150124T083212/raw-450um
IRC+10216,146.9944467307,13.2811665924,JCMTCAL,,57047.3498727,23,SCUBA-2,SCUBA-2-450um,147,pointing,science,raw-450um,scuba2_00023_20150125T082011,caom:JCMT/scuba2_00023_20150125T082011/raw-450um
IRC+10216,146.9992991278,13.2918608007,JCMTCAL,,57030.6204514,50,SCUBA-2,SCUBA-2-450um,186,pointing,science,raw-450um,scuba2_00050_20150108T145253,caom:JCMT/scuba2_00050_20150108T145253/raw-450um
IRC+10216,146.9997272611,13.2918607846,JCMTCAL,,57034.5795833,44,SCUBA-2,SCUBA-2-450um,191,pointing,science,raw-450um,scuba2_00044_20150112T135354,caom:JCMT/scuba2_00044_20150112T135354/raw-450um
IRC+10216,146.996587638,13.2921386787,JCMTCAL,,57048.6588657,35,SCUBA-2,SCUBA-2-450um,108,pointing,science,raw-450um,scuba2_00035_20150126T154820,caom:JCMT/scuba2_00035_20150126T154820/raw-450um
IRC+10216,146.9933051569,13.2842221549,JCMTCAL,,57029.4656713,34,SCUBA-2,SCUBA-2-450um,189,pointing,science,raw-450um,scuba2_00034_20150107T110717,caom:JCMT/scuba2_00034_20150107T110717/raw-450um
IRC+10216,147.0082901403,13.2946380605,JCMTCAL,,57037.5192361,46,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00046_20150115T122717,caom:JCMT/scuba2_00046_20150115T122717/raw-450um
IRC+10216,147.0040366386,13.2918607783,JCMTCAL,,57334.7648611,68,SCUBA-2,SCUBA-2-450um,193,pointing,science,raw-450um,scuba2_00068_20151108T181924,caom:JCMT/scuba2_00068_20151108T181924/raw-450um
IRC+10216,146.9921635277,13.2865832526,JCMTCAL,,57045.4703704,40,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00040_20150123T111649,caom:JCMT/scuba2_00040_20150123T111649/raw-450um
IRC+10216,146.9980147421,13.292138624,JCMTCAL,,57045.6242824,57,SCUBA-2,SCUBA-2-450um,104,pointing,science,raw-450um,scuba2_00057_20150123T145830,caom:JCMT/scuba2_00057_20150123T145830/raw-450um
IRC+10216,146.9971585562,13.2943608684,JCMTCAL,,57036.6650116,62,SCUBA-2,SCUBA-2-450um,194,pointing,science,raw-450um,scuba2_00062_20150114T155707,caom:JCMT/scuba2_00062_20150114T155707/raw-450um
IRC+10216,147.0088610419,13.2953324471,JCMTCAL,,57035.5234838,40,SCUBA-2,SCUBA-2-450um,193,pointing,science,raw-450um,scuba2_00040_20150113T123324,caom:JCMT/scuba2_00040_20150113T123324/raw-450um
