Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Field of View,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9994418,13.29186079,JCMTCAL,56387.38237,33,SCUBA-2,SCUBA-2-850um,260,0.082495675,pointing,science,raw-850um,scuba2_00033_20130405T091006,caom:JCMT/scuba2_00033_20130405T091006/raw-850um
IRC+10216,146.9923062,13.28283328,JCMTCAL,56348.32471,30,SCUBA-2,SCUBA-2-850um,169,0.072374992,pointing,science,raw-850um,scuba2_00030_20130225T074707,caom:JCMT/scuba2_00030_20130225T074707/raw-850um
IRC+10216,146.9918781,13.28324995,JCMTCAL,56317.41921,36,SCUBA-2,SCUBA-2-850um,169,0.068978276,pointing,science,raw-850um,scuba2_00036_20130125T100315,caom:JCMT/scuba2_00036_20130125T100315/raw-850um
IRC+10216,146.9947322,13.28269435,JCMTCAL,56339.28549,25,SCUBA-2,SCUBA-2-850um,254,0.079883685,pointing,science,raw-850um,scuba2_00025_20130216T065100,caom:JCMT/scuba2_00025_20130216T065100/raw-850um
IRC+10216,147.0080037,13.2818604,JCMTCAL,56613.55322,42,SCUBA-2,SCUBA-2-850um,190,0.083431433,pointing,science,raw-850um,scuba2_00042_20131117T131246,caom:JCMT/scuba2_00042_20131117T131246/raw-850um
IRC+10216,146.997872,13.29227752,JCMTCAL,56325.59894,52,SCUBA-2,SCUBA-2-850um,255,0.081858879,pointing,science,raw-850um,scuba2_00052_20130202T142203,caom:JCMT/scuba2_00052_20130202T142203/raw-850um
IRC+10216,146.9831727,13.29797197,JCMTCAL,56300.5659,55,SCUBA-2,SCUBA-2-850um,254,0.08715425,pointing,science,raw-850um,scuba2_00055_20130108T133402,caom:JCMT/scuba2_00055_20130108T133402/raw-850um
IRC+10216,146.9995846,13.29408299,JCMTCAL,56336.52186,48,SCUBA-2,SCUBA-2-850um,173,0.081938273,pointing,science,raw-850um,scuba2_00048_20130213T123057,caom:JCMT/scuba2_00048_20130213T123057/raw-850um
IRC+10216,146.9934478,13.2836666,JCMTCAL,56387.20009,12,SCUBA-2,SCUBA-2-850um,262,0.069562682,pointing,science,raw-850um,scuba2_00012_20130405T044447,caom:JCMT/scuba2_00012_20130405T044447/raw-850um
IRC+10216,146.9983002,13.29213861,JCMTCAL,56316.61744,54,SCUBA-2,SCUBA-2-850um,172,0.082336418,pointing,science,raw-850um,scuba2_00054_20130124T144839,caom:JCMT/scuba2_00054_20130124T144839/raw-850um
IRC+10216,146.9948749,13.28283324,JCMTCAL,56313.35367,30,SCUBA-2,SCUBA-2-850um,171,0.08019757,pointing,science,raw-850um,scuba2_00030_20130121T082852,caom:JCMT/scuba2_00030_20130121T082852/raw-850um
IRC+10216,146.9991564,13.29213858,JCMTCAL,56313.59275,62,SCUBA-2,SCUBA-2-850um,174,0.082655549,pointing,science,raw-850um,scuba2_00062_20130121T141300,caom:JCMT/scuba2_00062_20130121T141300/raw-850um
IRC+10216,146.9924489,13.28547215,JCMTCAL,56333.40847,38,SCUBA-2,SCUBA-2-850um,171,0.072524833,pointing,science,raw-850um,scuba2_00038_20130210T094741,caom:JCMT/scuba2_00038_20130210T094741/raw-850um
IRC+10216,146.9679036,13.28297131,JCMTCAL,56388.21832,15,SCUBA-2,SCUBA-2-850um,279,0.083977387,pointing,science,raw-850um,scuba2_00015_20130406T051409,caom:JCMT/scuba2_00015_20130406T051409/raw-850um
IRC+10216,146.9971585,13.29227755,JCMTCAL,56408.40425,29,SCUBA-2,SCUBA-2-850um,174,0.077391429,pointing,science,raw-850um,scuba2_00029_20130426T093933,caom:JCMT/scuba2_00029_20130426T093933/raw-850um
IRC+10216,146.9981575,13.29213862,JCMTCAL,56302.65422,64,SCUBA-2,SCUBA-2-850um,259,0.082256636,pointing,science,raw-850um,scuba2_00064_20130110T154153,caom:JCMT/scuba2_00064_20130110T154153/raw-850um
IRC+10216,147.0013251,13.29213866,JCMTCAL,56479.2048,5,SCUBA-2,SCUBA-2-850um,210,0.078399439,pointing,science,raw-850um,scuba2_00005_20130706T045445,caom:JCMT/scuba2_00005_20130706T045445/raw-850um
