Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9951605,13.2913054,JCMTCAL,56999.82182,70,SCUBA-2,SCUBA-2-850um,333,scan,science,raw-850um,scuba2_00070_20141208T194311,caom:JCMT/scuba2_00070_20141208T194311/raw-850um
IRC+10216,146.9878823,13.28680552,JCMTCAL,55700.3316,20,SCUBA-2,SCUBA-2-850um,256,scan,science,raw-850um,scuba2_00020_20110519T075730,caom:JCMT/scuba2_00020_20110519T075730/raw-850um
IRC+10216,146.9937332,13.28236104,JCMTCAL,55844.65866,48,SCUBA-2,SCUBA-2-850um,253,scan,science,raw-850um,scuba2_00048_20111010T154828,caom:JCMT/scuba2_00048_20111010T154828/raw-850um
IRC+10216,146.9991564,13.29130526,JCMTCAL,56946.80957,48,SCUBA-2,SCUBA-2-850um,183,scan,science,raw-850um,scuba2_00048_20141016T192531,caom:JCMT/scuba2_00048_20141016T192531/raw-850um
IRC+10216,146.9399295,13.30180071,JCMTCAL,55693.1961,12,SCUBA-2,SCUBA-2-850um,653,scan,science,raw-850um,scuba2_00012_20110512T044223,caom:JCMT/scuba2_00012_20110512T044223/raw-850um
IRC+10216,146.982032,13.26186118,JCMTCAL,56287.54037,31,SCUBA-2,SCUBA-2-850um,534,scan,science,raw-850um,scuba2_00031_20121226T125757,caom:JCMT/scuba2_00031_20121226T125757/raw-850um
IRC+10216,146.9903083,13.28902773,JCMTCAL,55696.27531,13,SCUBA-2,SCUBA-2-850um,455,scan,science,raw-850um,scuba2_00013_20110515T063627,caom:JCMT/scuba2_00013_20110515T063627/raw-850um
IRC+10216,146.9903083,13.2893055,JCMTCAL,55695.27096,12,SCUBA-2,SCUBA-2-850um,646,scan,science,raw-850um,scuba2_00012_20110514T063011,caom:JCMT/scuba2_00012_20110514T063011/raw-850um
IRC+10216,146.9985858,13.29666633,JCMTCAL,55707.25007,16,SCUBA-2,SCUBA-2-850um,257,scan,science,raw-850um,scuba2_00016_20110526T060006,caom:JCMT/scuba2_00016_20110526T060006/raw-850um
IRC+10216,146.9927343,13.28352772,JCMTCAL,56893.85263,90,SCUBA-2,SCUBA-2-850um,91,scan,science,raw-850um,scuba2_00090_20140824T202738,caom:JCMT/scuba2_00090_20140824T202738/raw-850um
