Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
oCeti,34.83513682,-2.984999965,JCMTCAL,55764.57329,13,SCUBA-2,SCUBA-2-850um,200,pointing,science,raw-850um,scuba2_00013_20110722T134532,caom:JCMT/scuba2_00013_20110722T134532/raw-850um
oCeti,34.82039504,-2.960833311,JCMTCAL,55828.5169,42,SCUBA-2,SCUBA-2-850um,362,pointing,science,raw-850um,scuba2_00042_20110924T122420,caom:JCMT/scuba2_00042_20110924T122420/raw-850um
oCeti,34.83485871,-2.959583424,JCMTCAL,55809.61507,49,SCUBA-2,SCUBA-2-850um,106,pointing,science,raw-850um,scuba2_00049_20110905T144542,caom:JCMT/scuba2_00049_20110905T144542/raw-850um
oCeti,34.83750111,-2.967361161,JCMTCAL,55810.63253,57,SCUBA-2,SCUBA-2-850um,372,pointing,science,raw-850um,scuba2_00057_20110906T151051,caom:JCMT/scuba2_00057_20110906T151051/raw-850um
oCeti,34.84278593,-2.964916738,JCMTCAL,55923.41699,44,SCUBA-2,SCUBA-2-850um,263,pointing,science,raw-850um,scuba2_00044_20111228T100028,caom:JCMT/scuba2_00044_20111228T100028/raw-850um
oCeti,34.8404217,-2.972972248,JCMTCAL,55911.1835,24,SCUBA-2,SCUBA-2-850um,290,pointing,science,raw-850um,scuba2_00024_20111216T042414,caom:JCMT/scuba2_00024_20111216T042414/raw-850um
oCeti,34.83471959,-2.984861079,JCMTCAL,55849.35265,31,SCUBA-2,SCUBA-2-850um,364,pointing,science,raw-850um,scuba2_00031_20111015T082749,caom:JCMT/scuba2_00031_20111015T082749/raw-850um
oCeti,34.83416336,-2.951583534,JCMTCAL,55921.2795,22,SCUBA-2,SCUBA-2-850um,209,pointing,science,raw-850um,scuba2_00022_20111226T064229,caom:JCMT/scuba2_00022_20111226T064229/raw-850um
oCeti,34.83569314,-2.968750035,JCMTCAL,55850.63709,44,SCUBA-2,SCUBA-2-850um,206,pointing,science,raw-850um,scuba2_00044_20111016T151725,caom:JCMT/scuba2_00044_20111016T151725/raw-850um
oCeti,34.83791834,-2.969027818,JCMTCAL,55842.60352,67,SCUBA-2,SCUBA-2-850um,367,pointing,science,raw-850um,scuba2_00067_20111008T142904,caom:JCMT/scuba2_00067_20111008T142904/raw-850um
oCeti,34.83708389,-2.967777824,JCMTCAL,55850.59546,39,SCUBA-2,SCUBA-2-850um,208,pointing,science,raw-850um,scuba2_00039_20111016T141728,caom:JCMT/scuba2_00039_20111016T141728/raw-850um
oCeti,34.83346792,-2.976250004,JCMTCAL,55851.38373,13,SCUBA-2,SCUBA-2-850um,204,pointing,science,raw-850um,scuba2_00013_20111017T091234,caom:JCMT/scuba2_00013_20111017T091234/raw-850um
oCeti,34.83722297,-2.967916712,JCMTCAL,55851.59587,37,SCUBA-2,SCUBA-2-850um,259,pointing,science,raw-850um,scuba2_00037_20111017T141803,caom:JCMT/scuba2_00037_20111017T141803/raw-850um
oCeti,34.83402429,-2.952000198,JCMTCAL,55923.28074,25,SCUBA-2,SCUBA-2-850um,264,pointing,science,raw-850um,scuba2_00025_20111228T064416,caom:JCMT/scuba2_00025_20111228T064416/raw-850um
oCeti,34.8327726,-2.959027859,JCMTCAL,55850.48933,25,SCUBA-2,SCUBA-2-850um,260,pointing,science,raw-850um,scuba2_00025_20111016T114438,caom:JCMT/scuba2_00025_20111016T114438/raw-850um
oCeti,34.83986539,-2.971027826,JCMTCAL,55923.19674,15,SCUBA-2,SCUBA-2-850um,260,pointing,science,raw-850um,scuba2_00015_20111228T044318,caom:JCMT/scuba2_00015_20111228T044318/raw-850um
oCeti,34.82192461,-2.978194345,JCMTCAL,55849.41691,36,SCUBA-2,SCUBA-2-850um,259,pointing,science,raw-850um,scuba2_00036_20111015T100021,caom:JCMT/scuba2_00036_20111015T100021/raw-850um
oCeti,34.84320315,-2.964777853,JCMTCAL,55911.42866,62,SCUBA-2,SCUBA-2-850um,291,pointing,science,raw-850um,scuba2_00062_20111216T101716,caom:JCMT/scuba2_00062_20111216T101716/raw-850um
oCeti,34.83193813,-2.970472273,JCMTCAL,55913.23847,13,SCUBA-2,SCUBA-2-850um,282,pointing,science,raw-850um,scuba2_00013_20111218T054324,caom:JCMT/scuba2_00013_20111218T054324/raw-850um
oCeti,34.83471959,-2.984861079,JCMTCAL,55845.36405,25,SCUBA-2,SCUBA-2-850um,369,pointing,science,raw-850um,scuba2_00025_20111011T084414,caom:JCMT/scuba2_00025_20111011T084414/raw-850um
oCeti,34.83791834,-2.969027817,JCMTCAL,55843.53529,59,SCUBA-2,SCUBA-2-850um,362,pointing,science,raw-850um,scuba2_00059_20111009T125049,caom:JCMT/scuba2_00059_20111009T125049/raw-850um
oCeti,34.81830869,-2.974860973,JCMTCAL,55831.50487,52,SCUBA-2,SCUBA-2-850um,362,pointing,science,raw-850um,scuba2_00052_20110927T120701,caom:JCMT/scuba2_00052_20110927T120701/raw-850um
oCeti,34.82178554,-2.978055455,JCMTCAL,55763.65198,22,SCUBA-2,SCUBA-2-850um,203,pointing,science,raw-850um,scuba2_00022_20110721T153851,caom:JCMT/scuba2_00022_20110721T153851/raw-850um
oCeti,34.83430237,-2.977638888,JCMTCAL,55778.56966,66,SCUBA-2,SCUBA-2-850um,187,pointing,science,raw-850um,scuba2_00066_20110805T134019,caom:JCMT/scuba2_00066_20110805T134019/raw-850um
oCeti,34.83819649,-2.96888893,JCMTCAL,55843.57425,62,SCUBA-2,SCUBA-2-850um,81,pointing,science,raw-850um,scuba2_00062_20111009T134655,caom:JCMT/scuba2_00062_20111009T134655/raw-850um
