Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Field of View,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
oCeti,34.84000446,-2.970750049,JCMTCAL,56563.44346,39,SCUBA-2,SCUBA-2-850um,187,0.07425568,pointing,science,raw-850um,scuba2_00039_20130928T103639,caom:JCMT/scuba2_00039_20130928T103639/raw-850um
oCeti,34.82748789,-2.95241686,JCMTCAL,56615.43917,43,SCUBA-2,SCUBA-2-850um,187,0.082065749,pointing,science,raw-850um,scuba2_00043_20131119T102949,caom:JCMT/scuba2_00043_20131119T102949/raw-850um
oCeti,34.84890501,-2.952277944,JCMTCAL,56640.38662,18,SCUBA-2,SCUBA-2-850um,234,0.094714576,pointing,science,raw-850um,scuba2_00018_20131214T091607,caom:JCMT/scuba2_00018_20131214T091607/raw-850um
oCeti,34.83902539,-2.951305774,JCMTCAL,56538.6141,29,SCUBA-2,SCUBA-2-850um,188,0.068842635,pointing,science,raw-850um,scuba2_00029_20130903T144406,caom:JCMT/scuba2_00029_20130903T144406/raw-850um
oCeti,34.84472744,-2.972972249,JCMTCAL,56486.60493,46,SCUBA-2,SCUBA-2-850um,269,0.065164438,pointing,science,raw-850um,scuba2_00046_20130713T142928,caom:JCMT/scuba2_00046_20130713T142928/raw-850um
oCeti,34.82776603,-2.952277976,JCMTCAL,56613.45483,35,SCUBA-2,SCUBA-2-850um,189,0.082295839,pointing,science,raw-850um,scuba2_00035_20131117T105234,caom:JCMT/scuba2_00035_20131117T105234/raw-850um
oCeti,34.84278592,-2.962694524,JCMTCAL,56313.31715,27,SCUBA-2,SCUBA-2-850um,297,0.0620836,pointing,science,raw-850um,scuba2_00027_20130121T073627,caom:JCMT/scuba2_00027_20130121T073627/raw-850um
oCeti,34.84362036,-2.96450008,JCMTCAL,56338.2087,16,SCUBA-2,SCUBA-2-850um,339,0.074028826,pointing,science,raw-850um,scuba2_00016_20130215T050023,caom:JCMT/scuba2_00016_20130215T050023/raw-850um
oCeti,34.84056077,-2.972833361,JCMTCAL,56564.39171,29,SCUBA-2,SCUBA-2-850um,190,0.065234962,pointing,science,raw-850um,scuba2_00029_20130929T092324,caom:JCMT/scuba2_00029_20130929T092324/raw-850um
oCeti,34.8320772,-2.970750046,JCMTCAL,56632.26109,13,SCUBA-2,SCUBA-2-850um,187,0.072325314,pointing,science,raw-850um,scuba2_00013_20131206T061448,caom:JCMT/scuba2_00013_20131206T061448/raw-850um
