Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Obs. ID,DOWNLOADABLE
oCeti,34.83750112,-2.967000041,JCMTCAL,56887.73745,67,SCUBA-2,SCUBA-2-850um,234,pointing,science,scuba2_00067_20140818T174150,caom:JCMT/scuba2_00067_20140818T174150/raw-850um
oCeti,34.84348129,-2.964638968,JCMTCAL,56981.46627,47,SCUBA-2,SCUBA-2-850um,186,pointing,science,scuba2_00047_20141120T111115,caom:JCMT/scuba2_00047_20141120T111115/raw-850um
oCeti,34.8386137,-2.966583427,JCMTCAL,56988.32764,27,SCUBA-2,SCUBA-2-850um,274,pointing,science,scuba2_00027_20141127T075133,caom:JCMT/scuba2_00027_20141127T075133/raw-850um
oCeti,34.83986537,-2.965333427,JCMTCAL,56956.43591,32,SCUBA-2,SCUBA-2-850um,189,pointing,science,scuba2_00032_20141026T102637,caom:JCMT/scuba2_00032_20141026T102637/raw-850um
oCeti,34.84167333,-2.963388969,JCMTCAL,56981.40395,41,SCUBA-2,SCUBA-2-850um,252,pointing,science,scuba2_00041_20141120T093954,caom:JCMT/scuba2_00041_20141120T093954/raw-850um
oCeti,34.84014354,-2.971583373,JCMTCAL,56979.29628,44,SCUBA-2,SCUBA-2-850um,188,pointing,science,scuba2_00044_20141118T070552,caom:JCMT/scuba2_00044_20141118T070552/raw-850um
oCeti,34.83305073,-2.968666728,JCMTCAL,56834.7613,81,SCUBA-2,SCUBA-2-850um,276,pointing,science,scuba2_00081_20140626T181509,caom:JCMT/scuba2_00081_20140626T181509/raw-850um
oCeti,34.83930909,-2.973666695,JCMTCAL,57002.20351,21,SCUBA-2,SCUBA-2-850um,193,pointing,science,scuba2_00021_20141211T045222,caom:JCMT/scuba2_00021_20141211T045222/raw-850um
oCeti,34.84000446,-2.970888938,JCMTCAL,56923.46038,35,SCUBA-2,SCUBA-2-850um,189,pointing,science,scuba2_00035_20140923T110241,caom:JCMT/scuba2_00035_20140923T110241/raw-850um
oCeti,34.83986538,-2.968805628,JCMTCAL,56885.59034,41,SCUBA-2,SCUBA-2-850um,189,pointing,science,scuba2_00041_20140816T140901,caom:JCMT/scuba2_00041_20140816T140901/raw-850um
oCeti,34.84306407,-2.96491674,JCMTCAL,57010.33287,27,SCUBA-2,SCUBA-2-850um,229,pointing,science,scuba2_00027_20141219T075834,caom:JCMT/scuba2_00027_20141219T075834/raw-850um
oCeti,34.84069985,-2.97283336,JCMTCAL,57005.18594,9,SCUBA-2,SCUBA-2-850um,354,pointing,science,scuba2_00009_20141214T042703,caom:JCMT/scuba2_00009_20141214T042703/raw-850um
oCeti,34.84125615,-2.973527802,JCMTCAL,56887.48678,37,SCUBA-2,SCUBA-2-850um,269,pointing,science,scuba2_00037_20140818T114019,caom:JCMT/scuba2_00037_20140818T114019/raw-850um
oCeti,34.84014354,-2.972138922,JCMTCAL,57012.19664,9,SCUBA-2,SCUBA-2-850um,230,pointing,science,scuba2_00009_20141221T044015,caom:JCMT/scuba2_00009_20141221T044015/raw-850um
oCeti,34.84056077,-2.972972246,JCMTCAL,56834.66294,67,SCUBA-2,SCUBA-2-850um,108,pointing,science,scuba2_00067_20140626T155023,caom:JCMT/scuba2_00067_20140626T155023/raw-850um
oCeti,34.84362037,-2.964638967,JCMTCAL,56935.57513,20,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00020_20141005T134736,caom:JCMT/scuba2_00020_20141005T134736/raw-850um
oCeti,34.83541498,-2.97727778,JCMTCAL,56753.86639,71,SCUBA-2,SCUBA-2-850um,206,pointing,science,scuba2_00071_20140406T204708,caom:JCMT/scuba2_00071_20140406T204708/raw-850um
oCeti,34.84222963,-2.965055625,JCMTCAL,56668.25398,14,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00014_20140111T060533,caom:JCMT/scuba2_00014_20140111T060533/raw-850um
oCeti,34.84306407,-2.964777852,JCMTCAL,57004.44535,33,SCUBA-2,SCUBA-2-850um,351,pointing,science,scuba2_00033_20141213T104106,caom:JCMT/scuba2_00033_20141213T104106/raw-850um
oCeti,34.84181241,-2.965194513,JCMTCAL,56954.45979,41,SCUBA-2,SCUBA-2-850um,191,pointing,science,scuba2_00041_20141024T110109,caom:JCMT/scuba2_00041_20141024T110109/raw-850um
oCeti,34.83444146,-2.973527799,JCMTCAL,56825.74499,71,SCUBA-2,SCUBA-2-850um,206,pointing,science,scuba2_00071_20140617T175147,caom:JCMT/scuba2_00071_20140617T175147/raw-850um
oCeti,34.84348129,-2.964638967,JCMTCAL,56897.70778,80,SCUBA-2,SCUBA-2-850um,188,pointing,science,scuba2_00080_20140828T165841,caom:JCMT/scuba2_00080_20140828T165841/raw-850um
oCeti,34.84000445,-2.968250076,JCMTCAL,56838.72396,54,SCUBA-2,SCUBA-2-850um,278,pointing,science,scuba2_00054_20140630T172123,caom:JCMT/scuba2_00054_20140630T172123/raw-850um
oCeti,34.84028262,-2.972694472,JCMTCAL,56957.33535,26,SCUBA-2,SCUBA-2-850um,189,pointing,science,scuba2_00026_20141027T080239,caom:JCMT/scuba2_00026_20141027T080239/raw-850um
oCeti,34.84056077,-2.973111137,JCMTCAL,56954.32144,27,SCUBA-2,SCUBA-2-850um,190,pointing,science,scuba2_00027_20141024T074235,caom:JCMT/scuba2_00027_20141024T074235/raw-850um
oCeti,34.84000446,-2.971027824,JCMTCAL,56886.55513,40,SCUBA-2,SCUBA-2-850um,229,pointing,science,scuba2_00040_20140817T131844,caom:JCMT/scuba2_00040_20140817T131844/raw-850um
oCeti,34.84292499,-2.962555637,JCMTCAL,56957.54309,46,SCUBA-2,SCUBA-2-850um,270,pointing,science,scuba2_00046_20141027T130147,caom:JCMT/scuba2_00046_20141027T130147/raw-850um
oCeti,34.84056077,-2.972972247,JCMTCAL,56885.52744,35,SCUBA-2,SCUBA-2-850um,228,pointing,science,scuba2_00035_20140816T123853,caom:JCMT/scuba2_00035_20140816T123853/raw-850um
oCeti,34.83249446,-2.958805649,JCMTCAL,56823.80855,71,SCUBA-2,SCUBA-2-850um,265,pointing,science,scuba2_00071_20140615T192319,caom:JCMT/scuba2_00071_20140615T192319/raw-850um
oCeti,34.84320315,-2.964777853,JCMTCAL,56988.39589,34,SCUBA-2,SCUBA-2-850um,352,pointing,science,scuba2_00034_20141127T092920,caom:JCMT/scuba2_00034_20141127T092920/raw-850um
oCeti,34.84362037,-2.964777854,JCMTCAL,56672.28128,17,SCUBA-2,SCUBA-2-850um,231,pointing,science,scuba2_00017_20140115T064227,caom:JCMT/scuba2_00017_20140115T064227/raw-850um
oCeti,34.84083892,-2.975194459,JCMTCAL,56972.24907,27,SCUBA-2,SCUBA-2-850um,269,pointing,science,scuba2_00027_20141111T055757,caom:JCMT/scuba2_00027_20141111T055757/raw-850um
oCeti,34.84097797,-2.966027858,JCMTCAL,56888.61554,49,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00049_20140819T144518,caom:JCMT/scuba2_00049_20140819T144518/raw-850um
oCeti,34.84209056,-2.964916736,JCMTCAL,56884.65657,53,SCUBA-2,SCUBA-2-850um,186,pointing,science,scuba2_00053_20140815T154517,caom:JCMT/scuba2_00053_20140815T154517/raw-850um
oCeti,34.84042167,-2.966861194,JCMTCAL,57010.27038,22,SCUBA-2,SCUBA-2-850um,230,pointing,science,scuba2_00022_20141219T062915,caom:JCMT/scuba2_00022_20141219T062915/raw-850um
oCeti,34.842925,-2.964777853,JCMTCAL,57009.4327,39,SCUBA-2,SCUBA-2-850um,351,pointing,science,scuba2_00039_20141218T102251,caom:JCMT/scuba2_00039_20141218T102251/raw-850um
oCeti,34.84320315,-2.964777854,JCMTCAL,56954.56869,51,SCUBA-2,SCUBA-2-850um,191,pointing,science,scuba2_00051_20141024T133838,caom:JCMT/scuba2_00051_20141024T133838/raw-850um
oCeti,34.84334222,-2.964638967,JCMTCAL,56898.71289,54,SCUBA-2,SCUBA-2-850um,356,pointing,science,scuba2_00054_20140829T170617,caom:JCMT/scuba2_00054_20140829T170617/raw-850um
oCeti,34.84139518,-2.963805638,JCMTCAL,57022.27671,10,SCUBA-2,SCUBA-2-850um,190,pointing,science,scuba2_00010_20141231T063733,caom:JCMT/scuba2_00010_20141231T063733/raw-850um
oCeti,34.83986538,-2.968388965,JCMTCAL,56844.70684,58,SCUBA-2,SCUBA-2-850um,191,pointing,science,scuba2_00058_20140706T165736,caom:JCMT/scuba2_00058_20140706T165736/raw-850um
oCeti,34.84292499,-2.962694526,JCMTCAL,56923.59287,47,SCUBA-2,SCUBA-2-850um,190,pointing,science,scuba2_00047_20140923T141332,caom:JCMT/scuba2_00047_20140923T141332/raw-850um
oCeti,34.842925,-2.964777853,JCMTCAL,57008.43676,43,SCUBA-2,SCUBA-2-850um,435,pointing,science,scuba2_00043_20141217T102843,caom:JCMT/scuba2_00043_20141217T102843/raw-850um
oCeti,34.84139522,-2.973527801,JCMTCAL,56985.21851,10,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00010_20141124T051357,caom:JCMT/scuba2_00010_20141124T051357/raw-850um
oCeti,34.84014354,-2.972138922,JCMTCAL,56973.30192,24,SCUBA-2,SCUBA-2-850um,435,pointing,science,scuba2_00024_20141112T071427,caom:JCMT/scuba2_00024_20141112T071427/raw-850um
oCeti,34.84195152,-2.973805577,JCMTCAL,56867.52144,36,SCUBA-2,SCUBA-2-850um,230,pointing,science,scuba2_00036_20140729T122728,caom:JCMT/scuba2_00036_20140729T122728/raw-850um
oCeti,34.84195152,-2.973805576,JCMTCAL,56865.52807,41,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00041_20140727T123945,caom:JCMT/scuba2_00041_20140727T123945/raw-850um
oCeti,34.84181245,-2.973944465,JCMTCAL,56865.53108,42,SCUBA-2,SCUBA-2-850um,272,pointing,science,scuba2_00042_20140727T124437,caom:JCMT/scuba2_00042_20140727T124437/raw-850um
oCeti,34.84000445,-2.969083402,JCMTCAL,57020.21596,8,SCUBA-2,SCUBA-2-850um,276,pointing,science,scuba2_00008_20141229T050949,caom:JCMT/scuba2_00008_20141229T050949/raw-850um
oCeti,34.83541499,-2.970750035,JCMTCAL,56842.73338,62,SCUBA-2,SCUBA-2-850um,235,pointing,science,scuba2_00062_20140704T173548,caom:JCMT/scuba2_00062_20140704T173548/raw-850um
oCeti,34.84334222,-2.964777855,JCMTCAL,57010.40296,34,SCUBA-2,SCUBA-2-850um,228,pointing,science,scuba2_00034_20141219T093941,caom:JCMT/scuba2_00034_20141219T093941/raw-850um
oCeti,34.84028262,-2.97283336,JCMTCAL,56903.47968,37,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00037_20140903T113006,caom:JCMT/scuba2_00037_20140903T113006/raw-850um
oCeti,34.84362037,-2.964638967,JCMTCAL,56960.50916,37,SCUBA-2,SCUBA-2-850um,272,pointing,science,scuba2_00037_20141030T121305,caom:JCMT/scuba2_00037_20141030T121305/raw-850um
oCeti,34.84139519,-2.965611186,JCMTCAL,56897.59801,69,SCUBA-2,SCUBA-2-850um,272,pointing,science,scuba2_00069_20140828T141926,caom:JCMT/scuba2_00069_20140828T141926/raw-850um
oCeti,34.84167337,-2.973944465,JCMTCAL,56957.28097,22,SCUBA-2,SCUBA-2-850um,190,pointing,science,scuba2_00022_20141027T064422,caom:JCMT/scuba2_00022_20141027T064422/raw-850um
oCeti,34.84292499,-2.962694527,JCMTCAL,56685.27279,13,SCUBA-2,SCUBA-2-850um,271,pointing,science,scuba2_00013_20140128T063237,caom:JCMT/scuba2_00013_20140128T063237/raw-850um
oCeti,34.84056077,-2.975055573,JCMTCAL,56875.51811,53,SCUBA-2,SCUBA-2-850um,192,pointing,science,scuba2_00053_20140806T122324,caom:JCMT/scuba2_00053_20140806T122324/raw-850um
oCeti,34.84320315,-2.964916742,JCMTCAL,57005.35213,28,SCUBA-2,SCUBA-2-850um,354,pointing,science,scuba2_00028_20141214T082643,caom:JCMT/scuba2_00028_20141214T082643/raw-850um
oCeti,34.84209059,-2.973944464,JCMTCAL,56959.26947,17,SCUBA-2,SCUBA-2-850um,269,pointing,science,scuba2_00017_20141029T062719,caom:JCMT/scuba2_00017_20141029T062719/raw-850um
