Source,Wavelength,Obs_ID,UT_Date,MJD,Obs_Time
IRC+10216,850,scuba2_00074_20091205T130936,20091205,55170.5487149,2009-12-05T13:10:08.971
IRC+10216,850,scuba2_00087_20091208T145301,20091208,55173.6205784,2009-12-08T14:53:37.971
IRC+10216,850,scuba2_00056_20091214T152553,20091214,55179.6432404,2009-12-14T15:26:15.971
IRC+10216,850,scuba2_00069_20100110T123728,20100110,55206.5263191,2010-01-10T12:37:53.971
IRC+10216,850,scuba2_00096_20100110T152956,20100110,55206.6460529,2010-01-10T15:30:18.970
IRC+10216,850,scuba2_00058_20100217T114620,20100217,55244.490914,2010-02-17T11:46:54.970
IRC+10216,850,scuba2_00055_20100218T091923,20100218,55245.3888422,2010-02-18T09:19:55.968
IRC+10216,850,scuba2_00068_20100219T110949,20100219,55246.4655321,2010-02-19T11:10:21.974
IRC+10216,850,scuba2_00077_20100219T123615,20100219,55246.5255436,2010-02-19T12:36:46.969
IRC+10216,850,scuba2_00079_20100219T124215,20100219,55246.5297219,2010-02-19T12:42:47.968
IRC+10216,850,scuba2_00089_20100219T141356,20100219,55246.5934371,2010-02-19T14:14:32.968
IRC+10216,850,scuba2_00037_20100221T082859,20100221,55248.3538425,2010-02-21T08:29:31.988
IRC+10216,850,scuba2_00067_20100221T125021,20100221,55248.535343,2010-02-21T12:50:53.631
IRC+10216,850,scuba2_00038_20100222T074305,20100222,55249.3219668,2010-02-22T07:43:37.935
IRC+10216,850,scuba2_00045_20100222T085950,20100222,55249.3752717,2010-02-22T09:00:23.474
IRC+10216,850,scuba2_00051_20100222T101355,20100222,55249.426699,2010-02-22T10:14:26.797
IRC+10216,850,scuba2_00080_20100223T120045,20100223,55250.5006595,2010-02-23T12:00:56.981
IRC+10216,850,scuba2_00068_20100224T111725,20100224,55251.4705725,2010-02-24T11:17:37.467
IRC+10216,850,scuba2_00058_20100225T102732,20100225,55252.4359254,2010-02-25T10:27:43.957
IRC+10216,850,scuba2_00059_20100225T103039,20100225,55252.438102,2010-02-25T10:30:52.016
IRC+10216,850,scuba2_00072_20100225T114956,20100225,55252.4931434,2010-02-25T11:50:07.586
IRC+10216,850,scuba2_00088_20100225T131507,20100225,55252.5523029,2010-02-25T13:15:18.973
IRC+10216,850,scuba2_00046_20100226T092107,20100226,55253.3898021,2010-02-26T09:21:18.904
IRC+10216,850,scuba2_00060_20100226T105013,20100226,55253.4516779,2010-02-26T10:50:24.974
IRC+10216,850,scuba2_00067_20100226T115018,20100226,55253.4934124,2010-02-26T11:50:30.833
IRC+10216,850,scuba2_00073_20100226T124026,20100226,55253.5282113,2010-02-26T12:40:37.453
IRC+10216,850,scuba2_00082_20100226T132213,20100226,55253.5572333,2010-02-26T13:22:24.959
IRC+10216,850,scuba2_00054_20100227T103240,20100227,55254.4394887,2010-02-27T10:32:51.825
IRC+10216,850,scuba2_00034_20100301T080013,20100301,55256.333625,2010-03-01T08:00:25.199
IRC+10216,850,scuba2_00052_20100301T104011,20100301,55256.4447099,2010-03-01T10:40:22.933
IRC+10216,850,scuba2_00051_20100302T104428,20100302,55257.4476903,2010-03-02T10:44:40.445
IRC+10216,850,scuba2_00059_20100302T121438,20100302,55257.5102914,2010-03-02T12:14:49.176
IRC+10216,850,scuba2_00079_20100303T131433,20100303,55258.5522316,2010-03-03T13:15:12.810
IRC+10216,850,scuba2_00030_20100307T074212,20100307,55262.3214706,2010-03-07T07:42:55.056
IRC+10216,850,scuba2_00071_20100308T133539,20100308,55263.5669265,2010-03-08T13:36:22.448
IRC+10216,850,scuba2_00069_20100309T105832,20100309,55264.4578392,2010-03-09T10:59:17.309
IRC+10216,850,scuba2_00049_20100310T080830,20100310,55265.3397574,2010-03-10T08:09:15.043
IRC+10216,850,scuba2_00070_20100313T115151,20100313,55268.494875,2010-03-13T11:52:37.197
IRC+10216,850,scuba2_00037_20100314T095506,20100314,55269.4138007,2010-03-14T09:55:52.376
