source,stellar_type,160_three_sigma(arcsec),DeBeck_CO_Mass_Loss_Rate(M_sun/yr),Dust_Mass_Loss_Rate(M_sun/yr),3sigma_radius_160_Time(years),Dust-to-gasRatio
cit6,c,70.4,5.9E-06,2.68960513103933E-08,7064.63675077,0.00455865276447
epaqr,o,25.6,3.1E-07,3.63844439344521E-10,1200.0128556,0.00117369173982
iktau,o,99.2,4.5E-06,1.42873398325688E-07,6613.64877146,0.0317496440724
irc10011,o,67.2,1.9E-05,3.73859398610549E-07,11914.16576,0.0196768104532
irc10216,c,265.6,1.6E-06,9.15343243360113E-08,11296.170955,0.0572089527099
lpand,c,44.8,4.6E-06,1.65896383032275E-08,9563.533056,0.0036064431094
nmlcyg,rsg,38.4,8.7E-05,2.30279434720548E-06,8887.323648,0.0264689005425
ocet,o,92.8,2.5E-07,1.30683591622327E-08,4981.56621889,0.0522734366489
rcas,o,121.6,4E-07,6.16963608291227E-09,5374.94171409,0.0154240902073
rleo,o,35.2,9.2E-08,2.29435364421762E-08,1322.42207466,0.249386265676
rxboo,o,32,3.6E-07,2.4756414545517E-09,3218.87430025,0.00687678181819
txcam,o,28.8,6.5E-06,1.05196958283074E-08,2448.88312755,0.00161841474282
uhya,c,124.8,4.9E-08,8.8430021556956E-09,14510.4727832,0.180469431749
waql,s,54.4,1.3E-05,3.72636444496233E-08,4387.0810368,0.00286643418842
whya,o,86.4,7.8E-08,2.48570611799848E-08,5028.08777856,0.318680271539
