Density,Plus_Unc,Minus_Unc
-6.0058370708,0.4099820657,0.422510185
-5.5505645577,0.1106176136,0.0903857883
-5.2991175804,0.0328703508,0.0294300738
-5.4588884757,0.0367266112,0.0327465077
-5.600622803,0.0547460152,0.0408824321
-5.7873462554,0.0617492799,0.0536992974
-5.8375676579,0.1112502401,0.086285803
-5.8105038948,0.1906767972,0.1438598307
-5.6852207317,0.1638061494,0.2008079229
-5.6751165394,0.146779999,0.173308725
-5.7144782933,0.1561651204,0.1891494463
-5.7270044514,0.1606800574,0.1745535095
-5.7824394914,0.1814055335,0.1969138427
-5.8946499438,0.1974287761,0.232906812
-5.9736115642,0.2314228344,0.2861394838
-6.0927262491,0.2771396369,0.367372862
-6.2237654116,0.3285614367,0.4686879939
-7.1089705425,0.6278037117,0.5207360987
-7.1671518483,0.7004533426,0.5620989912
-7.1836264728,0.7720075797,0.5892164384
-7.2300766702,0.7556547285,0.5912553498
-7.3100891293,0.8464579394,0.636108964
-7.4350031058,0.9755690239,0.7485356081
-8.1692056308,1.9268443268,1.2480115392
-8.1491313151,1.8984153089,1.2648716887
-8.1696278672,1.8931391841,1.2521792825
-8.1596808975,1.8979065567,1.2601487466
-8.1431559292,1.9173312333,1.2633332633
-8.1475879061,1.9170624285,1.2673546727
-8.1525260593,1.9209655031,1.2626082705
-8.1438879542,1.9168782086,1.2595444671
-8.123850093,1.9435908003,1.2870658679
-8.1268976182,1.9325957951,1.2805759983
-8.1190138154,1.9320435175,1.2803921756
-8.1178324481,1.9694730007,1.288446054
