Density,Plus_Unc,Minus_Unc
-8.2724674216,1.1800483094,1.1741318176
-6.5790793386,0.3464838012,0.2890718549
-6.7526495735,0.315007371,0.2734832423
-6.8574199447,0.3324557326,0.295556535
-6.861000313,0.3738222754,0.329358142
-6.8949671082,0.3671554222,0.320887565
-6.8921283526,0.3513306783,0.329228139
-6.8887261012,0.3600308447,0.3334223855
-6.9109575581,0.4029848726,0.3629924285
-6.9402554993,0.4480405138,0.3792993558
-6.9437610841,0.5287355008,0.4283311105
-6.9890956076,0.5076957807,0.4356066547
-6.9774610375,0.5680687111,0.4672969911
-7.0469081567,0.551895116,0.4700313223
-7.063533927,0.623113458,0.5002999938
-7.0804403461,0.5909449193,0.4873463063
-7.055420568,0.6208663348,0.5069621861
-7.0462970077,0.6045516696,0.5006050154
-7.0254124046,0.6147045258,0.4984211067
-7.0456096777,0.5834205378,0.4946584405
-7.0626831611,0.621958515,0.5133191753
-7.0577898744,0.6113492963,0.5120025745
-7.0637113298,0.620069471,0.5159812663
-7.0616112951,0.6159277608,0.5157549741
-7.0672733291,0.626565,0.5111671176
-7.0786892346,0.6384806502,0.513816903
-7.0922022252,0.6023620037,0.5131233267
-7.0714646174,0.6226768807,0.5220569435
-7.0992016745,0.6347167676,0.5258230752
-7.0961745481,0.6030111151,0.5157944865
-7.0692746842,0.6605968131,0.5461655225
-7.1151176056,0.6315878976,0.5225926429
-7.069360341,0.6643359979,0.5456954788
-7.1188774918,0.622407978,0.5231176643
-7.0983136994,0.6161334245,0.5274128597
