Density,Plus_Unc,Minus_Unc
-7.8679350075,1.4494119612,1.4422201807
-5.8695478573,0.2872650682,0.2482030042
-5.5390482576,0.167660981,0.1755032586
-5.8543120698,0.1942761813,0.1567379645
-5.9047884745,0.1109139797,0.0970887702
-5.6362112618,0.1666951078,0.1947432759
-5.4295442153,0.1275001599,0.1278266987
-5.4646089513,0.1399202855,0.1372759974
-5.4350964154,0.1499632946,0.1453574041
-5.4904692242,0.1468674933,0.1502380456
-5.4970346838,0.1571945943,0.1691038953
-5.4641813394,0.1742750717,0.1809302529
-5.5043682373,0.1841700663,0.1999745988
-5.4750188498,0.2265768437,0.2188329258
-5.4618410798,0.2000188539,0.2133089739
-5.4689906408,0.2121982113,0.235755248
-5.4684709324,0.2284907626,0.2500012953
-5.460718723,0.2565645505,0.2830407037
-5.365396115,0.288495396,0.3007757384
-5.3660847238,0.2391243668,0.2494049495
-5.4139960709,0.2755694955,0.2916782867
-5.1126567386,0.4964078965,0.4399698768
-5.238760827,0.5543100067,0.5370845916
-5.4575721072,0.6707745898,1.3341271328
-5.5815166179,0.7374765458,1.8396906462
-8.1485759455,1.9324177827,1.2735497526
-8.1297656463,1.9363918687,1.2670809283
-8.1262274084,1.9291971036,1.27963362
-8.1276771852,1.9320679584,1.2768926914
-8.1086767171,1.9338225431,1.2902015071
-8.1249907836,1.9282669286,1.2824965593
-8.129602671,1.9228682159,1.2787694421
-8.1344867162,1.8965232633,1.2703856378
-8.1259614143,1.9316323975,1.2771997419
-8.1242477589,1.9315998709,1.2913580315
