Density,Plus_Unc,Minus_Unc
-2.0245208433,0.0566987409,0.0737404182
-3.5253475726,0.020829043,0.0129086044
-3.0457304254,0.0184860558,0.0153080118
-4.0963668367,1.5417786903,0.0038946783
-4.3007803558,0.0032405995,0.0017669759
-4.5881952509,0.0020208111,0.0020267343
-4.8969861251,0.0038029249,0.0032351968
-5.1901579933,0.0054840178,0.0052750294
-5.3017788812,0.0262050542,0.0243982909
-5.2637999043,0.0229355959,0.0232123996
-5.2699474625,0.0257433829,0.024058721
-5.2197847112,0.0217168669,0.022063549
-5.1284192278,0.0225038649,0.0216001854
-5.0701365111,0.0239955311,0.0224770123
-4.9984449264,0.027936692,0.0256600513
-4.8608241144,0.0467330565,0.0414868713
-4.7373317693,0.0667232562,0.0550819936
-4.7932002717,0.0696341808,0.0576423369
-4.8390012262,0.0687676033,0.0579825409
-4.8930495708,0.0716204211,0.0628518724
-4.949376468,0.0726826138,0.0695519201
-5.0430074227,0.0686326623,0.0632981205
-5.0865403352,0.0708243667,0.0631280115
-5.0606992819,0.0812210382,0.0769231815
-5.1105730193,0.0838476424,0.0787600869
-5.1566014636,0.0921112478,0.086127486
-5.1984589316,0.0946490569,0.0868764249
-5.2199209581,0.0903213201,0.0844962663
-5.2598600824,0.0934550948,0.0863706105
-5.3018081464,0.0996266421,0.0933320405
-5.3348588923,0.1044119467,0.09193151
-5.3749484425,0.1106713842,0.0991689371
-5.4090718693,0.1103313213,0.0960437869
-5.4544197799,0.1107075793,0.1011877779
-5.4939147744,0.1175795954,0.108986209
