Density,Plus_Unc,Minus_Unc
-8.0617157872,1.3287149688,1.3171928096
-6.2340948126,0.272179553,0.2361223072
-5.4229223487,0.1334875527,0.1447015169
-5.7586525463,0.2005482375,0.1730088427
-5.9452320098,0.2017579062,0.1380165805
-5.6416655962,0.1515666413,0.1515973281
-5.726785473,0.1736250129,0.1860308412
-5.7614352634,0.1943120486,0.2163166134
-5.7964363129,0.229480904,0.2739236909
-5.9149384583,0.2688093363,0.3599363278
-6.0950940612,0.3658532519,0.619383558
-7.4046917301,0.8888058328,0.6272181541
-8.2725887372,1.8057359307,1.1793388333
-8.2274691941,1.8682140909,1.2119393056
-8.2137851304,1.8894606929,1.2178493132
-8.2432406596,1.8641699986,1.1974264244
-8.2424789123,1.8589060768,1.1971985736
-8.2106891929,1.8902963136,1.2302262221
-8.2156941151,1.879770887,1.2146860312
-8.2094500853,1.8737418873,1.2235959991
-8.1986655307,1.8660898961,1.2298030974
-8.2121317915,1.8993835695,1.2248616482
-8.1889023074,1.8776823361,1.2420020185
-8.2102829924,1.916746965,1.2222173707
-8.2032345228,1.892551725,1.2264474797
-8.1764822858,1.9187523938,1.2389898308
-8.1687878733,1.9212154456,1.2463978883
-8.1617688871,1.950786624,1.2555631611
-8.15826591,1.9255155719,1.2585541828
-8.1745716228,1.9346674872,1.2523272817
-8.1784104546,1.9341606523,1.2518149569
-8.1560167482,1.923526417,1.2572351002
-8.1417294188,1.9626483012,1.2711723136
-8.1275794747,1.96546763,1.2745495755
-8.1375199037,1.9529657338,1.2675487365
