Density,Plus_Unc,Minus_Unc
-3.2023834507,0.1025316033,0.1396437228
-4.1137860327,0.0693323378,0.0719537918
-5.683081974,0.0598537417,0.0458243516
-5.6861794065,0.0268789497,0.0247606444
-5.8932684213,0.0368845736,0.0353533138
-6.2148903696,0.0923892085,0.0820765182
-6.2215076627,0.152969319,0.1462777959
-6.0745572933,0.1693476732,0.1797265206
-5.9103995613,0.160476072,0.1807392672
-5.9375034981,0.1487322488,0.1663881657
-5.9205517149,0.1733040177,0.1791399248
-5.9674285205,0.1711018269,0.1905931112
-6.0403402823,0.1861574293,0.2066876892
-6.1056717407,0.2061551458,0.2381872355
-6.1531493384,0.2148000175,0.2573721993
-6.1630063818,0.219357323,0.2635110514
-6.0975340561,0.2204599391,0.2511744922
-6.1283950164,0.2158218967,0.2625712349
-6.1278904313,0.2144274784,0.2549343525
-6.1359213634,0.224612728,0.2667402593
-6.2323810242,0.2426349462,0.29566569
-6.2752268903,0.284168734,0.3670940256
-6.3224344245,0.2972356621,0.3928950839
-6.9469348283,0.4798750205,0.432810954
-6.9407040472,0.52792794,0.4737958579
-6.9836812677,0.5496963814,0.4834815614
-7.0098923377,0.5762950245,0.5024065006
-7.0382019969,0.6325970914,0.5348672985
-7.0646789232,0.6910110384,0.5624701271
-7.0839505207,0.7241518397,0.5736733089
-7.1159661561,0.7202268714,0.5878096134
-7.1147854704,0.7485442387,0.5943782411
-7.1492185912,0.7637941872,0.6053298038
-7.1685506931,0.7865523471,0.6238538383
-7.2180251329,0.8293269583,0.6560205447
