Density,Plus_Unc,Minus_Unc
-8.0421506971,1.3395104568,1.3374501618
-6.0638153316,0.2333901212,0.2165274307
-6.0976117582,0.2094166642,0.1683630629
-6.1334991498,0.2073634935,0.186334255
-6.1194972717,0.1840720722,0.1976677049
-6.0851371201,0.201094426,0.2043786154
-6.0428361638,0.1827029082,0.1969707019
-6.1470863825,0.1987900932,0.2291849937
-6.2399861297,0.2210675369,0.261558315
-6.2886060494,0.2477613124,0.2864648651
-6.3786259576,0.2911105692,0.3347439281
-6.428088366,0.2941865274,0.3649725519
-6.4470351797,0.3157111401,0.4091010969
-6.3831759948,0.3099358483,0.3938450281
-6.4492942906,0.3159469357,0.4132471959
-6.4838842991,0.3677309065,0.4409189337
-6.4889783606,0.3491657531,0.4232548853
-6.3858851869,0.3137284972,0.4161127043
-6.3307357551,0.2872319807,0.3756887234
-6.3657796069,0.3065924952,0.37681344
-6.3958847923,0.3087146496,0.3851060611
-6.3933506065,0.3004248853,0.4070884476
-6.407933689,0.3187965057,0.399658467
-6.3628390255,0.3195754116,0.4080499628
-6.9789393131,0.5696544982,0.4607555954
-7.002705433,0.5269639994,0.457995558
-6.4832639432,0.3717095502,0.4946204971
-7.0239734091,0.5368302834,0.4684442907
-6.4073001747,0.3543781833,0.4792779597
-6.4559934079,0.3405472553,0.4739971799
-7.0524248109,0.5294791209,0.4710502959
-7.05102544,0.5367358484,0.4826666355
-7.0214621157,0.6539582774,0.5155693626
-7.0735958462,0.6000756897,0.4999916312
-7.0745468063,0.5605743819,0.4935847867
