Density,Plus_Unc,Minus_Unc
-8.007598424,1.3585556886,1.3497850546
-3.6610322267,0.4000692818,0.4511978029
-6.5506566939,0.4541121984,0.3796736191
-6.7743907867,0.4206045579,0.3364813069
-6.8518461396,0.4034769122,0.3477899549
-6.5722242121,0.3448273281,0.3686231375
-6.4841937964,0.3521906176,0.4070721494
-6.9902224517,0.4713783783,0.389135222
-6.4347423243,0.3701088015,0.4862213356
-6.9781539222,0.5799560645,0.4712373041
-7.0593875894,0.5918977965,0.4656280246
-7.091839994,0.5805852446,0.4737424552
-7.0991321182,0.6338793325,0.5014025614
-7.10361505,0.6147992567,0.502425599
-7.1048368958,0.6584593372,0.5366386822
-7.1304081159,0.6481221928,0.5191206358
-7.1145944191,0.6721156302,0.5273745734
-7.1169310178,0.6565181217,0.5354009465
-7.1139387744,0.6232228424,0.5271407136
-7.0988367075,0.6223682767,0.511514075
-7.0743691915,0.621775124,0.5092054068
-7.1023767064,0.5675296639,0.4911081547
-7.0882699543,0.5780473315,0.5002904345
-7.1160111437,0.625180793,0.5088985319
-7.129852947,0.6582513893,0.5410634196
-7.1896958426,0.7176265504,0.5716690545
-7.2790935997,0.7712123357,0.5978377761
-7.3258628461,0.8399912613,0.640051806
-7.3616567265,0.8823752672,0.6866397605
-8.1267534239,1.9299830998,1.2759346772
-8.1245073494,1.9287871294,1.2764577209
-8.1299411384,1.9412294987,1.2721031218
-8.123245685,1.9053880018,1.2790064289
-8.1318792039,1.9255459329,1.2785100314
-8.137456933,1.9450741408,1.2700138311
