Density,Plus_Unc,Minus_Unc
-8.1796656138,1.2329799408,1.2286024031
-5.9541584894,0.138312289,0.1286714791
-5.9420649611,0.1228515864,0.0930908087
-6.1353635839,0.1089674483,0.1126427748
-6.1607794345,0.1263832141,0.1366286411
-6.202253373,0.257529108,0.2403537144
-6.2106193947,0.259026121,0.2923322656
-6.246388706,0.2838205261,0.3793625333
-6.8663047518,0.5552170289,0.4660056848
-6.9195598843,0.6155001471,0.5015297052
-6.9746232635,0.6755072471,0.5380089264
-7.0125538686,0.703621119,0.5501316882
-7.0068596357,0.7261397626,0.5694419405
-7.0888472791,0.712403593,0.5648634306
-7.0802605239,0.8310012055,0.6218828176
-7.2101034069,0.9856776969,0.7026035774
-8.1527525645,1.8299151906,1.2529978249
-8.1750020833,1.8442425591,1.2421537632
-8.130646928,1.8846479772,1.2776376572
-8.1756369627,1.8587023908,1.2476568295
-8.1247897253,1.8830568607,1.2762765008
-8.1380654953,1.8960348599,1.2652193504
-8.1375850731,1.8966925176,1.2658483877
-8.1282057333,1.8794571894,1.2807257063
-8.1221394495,1.8947831209,1.2840959356
-8.1178900797,1.8873659723,1.2852222119
-8.1190820774,1.8879484461,1.2746453807
-8.1208786316,1.901940798,1.2850904176
-8.1131823047,1.87786731,1.284492511
-8.0852470226,1.9292659304,1.2965937762
-8.1202423741,1.9182322298,1.283600246
-8.0914924482,1.9423344696,1.2989191817
-8.0913622652,1.9251703366,1.3034475911
-8.0798479328,1.9387988679,1.3101123849
-8.1117868614,1.9318350056,1.2883792385
