Density,Plus_Unc,Minus_Unc
-6.3485755753,0.4227903658,0.4513425824
-6.2109663424,0.3334839964,0.2815260858
-6.1066399027,0.1578429575,0.1613642249
-6.0972613815,0.1507793822,0.1904702976
-5.9559297409,0.1373861941,0.1622341233
-6.506967669,0.4820595963,0.6392861402
-6.5939565569,0.6497212709,0.6951363556
-6.8085777545,0.7439290435,0.6473682002
-6.7403149813,0.8732687849,0.7854096132
-6.8215034952,0.8803103446,0.7578889471
-6.5451836956,0.9557929073,1.0062748988
-6.2265042843,1.2471192853,1.2775411179
-6.7192302458,1.070822479,0.9489476888
-6.9484963643,1.0494829112,0.7982490749
-7.2826273788,0.8833948168,0.6488090673
-7.2746446529,0.8809684199,0.6503258624
-7.2918029089,0.9167720947,0.6832634249
-8.1584016827,1.8573806919,1.2539186036
-8.1323220573,1.8656293713,1.2704958878
-8.1396961408,1.8645656504,1.2632234239
-8.165854756,1.8807369185,1.250653661
-8.1245543216,1.8678717492,1.2782244929
-8.1079204535,1.9072878036,1.2910302304
-8.1245207789,1.8959131225,1.2722668716
-8.1120849104,1.9179183648,1.2943511697
-8.1337575733,1.8941616109,1.2737031849
-8.122282397,1.9196978727,1.2857960932
-8.1448375109,1.8887853235,1.2669848924
-8.1302270613,1.8850949873,1.2708343493
-8.1284281723,1.8951146305,1.2734684735
-8.0998199171,1.9262666188,1.3017123241
-8.098776336,1.9218120559,1.294411626
-8.062037722,1.9381058371,1.3232065231
-8.0999848425,1.9299148872,1.2979205968
-8.0695317078,1.9322650968,1.3131230397
