Density,Plus_Unc,Minus_Unc
-8.4831460408,1.0654768809,1.0326225339
-6.8413499738,0.4738639055,0.3401052894
-6.9072169034,0.5164247254,0.3850311663
-7.060109027,0.6040670455,0.4508865953
-6.9322427527,0.9499632673,0.6298904214
-7.2474022729,0.7655628742,0.5219339654
-7.2020618678,0.8133413408,0.5449270602
-7.2013505786,0.8002832282,0.5594022994
-7.1955848438,0.8175671839,0.5692560236
-5.9050433833,0.327144143,0.5041690167
-7.0686278917,0.7853695814,0.5574071938
-7.1311318577,0.7130408835,0.5274674298
-6.0716513794,0.3915751821,0.6250618882
-5.9543453125,0.3035985702,0.4570240434
-5.9675640873,0.3254826763,0.5068970754
-5.9094923347,0.2783337924,0.3925122666
-5.8578351763,0.2659980216,0.3552730998
-5.8819813057,0.2591612662,0.3233142809
-5.81326219,0.2324662498,0.282255456
-5.8040041726,0.2319838425,0.2575807914
-5.7668459406,0.2144749237,0.2584679285
-5.7596917387,0.2104235303,0.2424581439
-5.7767317416,0.2120574168,0.2441303576
-5.747452266,0.1952594334,0.2227588449
-5.7160721026,0.1759412941,0.1961464561
-5.6758494475,0.1825819875,0.1856938401
-5.6289189409,0.1551081186,0.1650247632
-5.6187382228,0.1570865853,0.1609612655
-5.6657482224,0.157873442,0.1662615367
-5.7802286428,0.1865586531,0.197176093
-5.9232511984,0.2452448639,0.2905099093
-7.1493569197,0.7405216689,0.5911464389
-8.1017218588,1.9626945176,1.292176778
-8.0904578908,1.9165229074,1.3023275822
-8.1051758165,1.9384182619,1.2856521624
