Density,Plus_Unc,Minus_Unc
-8.2407496939,1.2213175436,1.1989190293
-6.083419796,0.0948805608,0.0866709739
-5.702661379,0.053895449,0.0528839144
-5.7555964233,0.0591616496,0.0559142517
-5.7548243636,0.0708550272,0.0602220418
-5.8535011498,0.0726632273,0.0706333894
-5.8239464141,0.0827734974,0.0785727371
-5.8502045844,0.0789680252,0.0862897699
-5.8774285735,0.0978182562,0.0995380381
-5.9107653274,0.0938021231,0.1016264401
-6.0074775924,0.1206659448,0.1291694296
-5.8772849251,0.1229598763,0.1330560793
-5.7974068594,0.1527353565,0.1632520305
-5.8458942528,0.2397841018,0.2449531363
-6.7522962552,0.8407211462,0.8342464984
-6.2002013098,2.6286605789,1.2973167329
-4.0407982545,0.9548131313,3.1304570144
-3.8070087058,0.8215780018,0.6908977439
-8.2027654546,1.8927219204,1.2202326382
-4.4316885765,1.0290384982,4.0201944594
-8.1930779686,1.9155264919,1.2337100122
-8.1910577979,1.9207371488,1.2293010136
-8.191435339,1.9279385196,1.233057624
-8.1755221303,1.9455114138,1.2532539712
-8.1740150142,1.9655616816,1.2439325643
-8.1882916887,1.9145354237,1.2326578491
-8.1606532548,1.9505010075,1.2516275807
-8.1746366741,1.9812057296,1.2549098711
-8.1823217782,1.9573185767,1.244484916
-8.1649337704,1.9501083887,1.2586259266
-8.1896395035,1.9459207709,1.2438109521
-8.1469528488,1.9463474652,1.2623107412
-8.1559422132,1.9410701398,1.26170008
-8.1357922474,1.9543763632,1.2796528931
-8.1612057454,1.933882275,1.2425786331
