Density,Plus_Unc,Minus_Unc
-7.8237202648,1.4540332814,1.48374206
-3.573880828,0.7020742953,0.4820634993
-5.3798172967,0.0723331189,0.0738143754
-5.9507916048,0.1234645557,0.1336520771
-6.0259182357,0.1484525117,0.1359650767
-6.2064804316,0.1621252028,0.1333980108
-6.1141169967,0.1525585462,0.1303821955
-6.0563536271,0.1876157359,0.1292962122
-6.0486210671,0.2343870209,0.144615396
-5.9606362899,0.258274522,0.1961024644
-5.9855843521,0.2176622777,0.1933061458
-5.9591250586,0.2052085328,0.2348575561
-5.9152606731,0.1892205554,0.2235230441
-5.9080618796,0.1778436955,0.2046799962
-5.8969017464,0.1953214625,0.1998340332
-5.8972111698,0.1780331422,0.1863976627
-5.9211828015,0.1899484492,0.1882799799
-5.9626841699,0.1710021031,0.1847185207
-5.99170132,0.2120624104,0.2110619217
-6.0959142441,0.2108388853,0.2533938113
-6.2690217436,0.2591778139,0.3244633698
-6.4579707273,0.3581594161,0.4361276596
-6.966354505,0.537012206,0.4686660519
-6.9870309373,0.6188011539,0.5135095525
-7.0433093361,0.6505402782,0.5337631632
-7.1038320596,0.7117368335,0.5714192064
-7.1463795665,0.7254220917,0.5755960519
-7.1283486396,0.7265961261,0.5891427548
-7.1229611772,0.7692557781,0.6068049334
-7.1629631655,0.7672270159,0.6104924681
-7.1490586444,0.7783323448,0.6101738895
-7.1661302268,0.7771198563,0.6235055345
-7.2287590457,0.8107983387,0.6265651253
-7.1771001975,0.7755578297,0.6156355595
-7.1684933726,0.7798159587,0.6238022381
