x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,2.2137934514,0.3807650079,2.2137934514,0,0.5384830383,0,nan
2,1.6351971247,0.228350487,1.8726598645,-0.2374627398,0.3948248651,-0.1268050564,-0.2119614722
4,0.9781573386,0.1916984982,1.1459967629,-0.1678394242,0.2749540174,-0.1464571539,-0.2412443993
6,0.7041654303,0.1813318783,0.5336500801,0.1705153502,0.2032385851,0.3195265147,0.3847910139
8,0.2622169019,0.1736047737,0.2211872169,0.0410296851,0.1777242863,0.1854975421,0.8041347982
10,0.0198423195,0.1531506288,0.1097218897,-0.0898795703,0.1543089749,-0.8191580593,-1.4134043625
12,0.1403315495,0.1572234963,0.0735899198,0.0667416297,0.1577321557,0.9069398345,2.1490622969
14,0.0427768245,0.146542795,0.0560211751,-0.0132443506,0.1468592275,-0.2364168659,-2.621810298
16,-0.012240222,0.1413842817,0.0426898269,-0.0549300489,0.1415748124,-1.2867245639,-3.3237357575
18,0.0669532302,0.1415549387,0.0315564843,0.035396746,0.1416589553,1.1216948527,4.4932039722
20,0.0879566374,0.135022217,0.0225243532,0.0654322842,0.1350777844,2.9049572976,6.017744292
22,0.0535685021,0.1375079643,0.0155173609,0.0380511412,0.1375338629,2.4521657693,8.8732544539
24,0.0553537468,0.1300357089,0.0103174263,0.0450363205,0.1300478168,4.3650731674,12.6270158248
26,0.025931439,0.1256508465,0.006620826,0.019310613,0.1256560066,2.9166471039,18.9855305064
28,0.0725375087,0.1273441092,0.0041005324,0.0684369764,0.1273460622,16.6897784263,31.1883685183
30,0.0597023415,0.1249670563,0.0024510692,0.0572512723,0.1249677674,23.3576726961,51.1430368546
32,0.0026668906,0.125027927,0.0014140285,0.0012528621,0.1250281635,0.8860232083,88.4199628126
34,0.0135891662,0.119626054,0.0007873141,0.0128018521,0.1196261307,16.2601585512,151.967801984
36,0.0725537576,0.1189118829,0.0004230826,0.072130675,0.1189119052,170.488403456,282.586275021
38,0.0397836665,0.1191967384,0.0002194267,0.0395642397,0.1191967444,180.307289084,544.103397159
40,-0.0059421899,0.1184032373,0.0001098351,-0.0060520251,0.1184032388,-55.1010055023,-1078.05066405
42,0.0150622676,0.1145534497,5.30615716982E-05,0.015009206,0.11455345,282.863954242,2159.42594416
44,0.0345369116,0.1164802493,2.47403757069E-05,0.0345121713,0.1164802494,1394.97361164,4714.21311535
46,0.064263472,0.116118139,1.113319294E-05,0.0642523388,0.1161181391,5771.24093113,10477.0334502
48,0.1142333926,0.11416139,4.83526682442E-06,0.1142285573,0.11416139,23624.0442264,23957.2406225
50,0.0780004979,0.1118060618,2.02678843814E-06,0.0779984711,0.1118060618,38483.7754255,55559.8387358
52,0.0911765174,0.1108864088,8.19942987297E-07,0.0911756975,0.1108864088,111197.60627,136582.437962
54,0.0725115576,0.1133627508,3.20144582982E-07,0.0725112374,0.1133627508,226495.28148,356235.071793
56,0.0753538388,0.1129428023,1.20641276509E-07,0.0753537182,0.1129428023,624609.755249,942330.932546
58,0.0759211054,0.1097005571,4.38765987325E-08,0.0759210615,0.1097005571,1730331.51376,2517857.21116
60,0.0519734285,0.1106709644,1.54012953259E-08,0.0519734131,0.1106709644,3374613.11094,7209225.0163
62,0.106810305,0.1083672527,5.21757628469E-09,0.1068102997,0.1083672527,20471248.3171,21065988.1229
64,0.0774871884,0.1099073881,1.70595523329E-09,0.0774871867,0.1099073881,45421582.6818,64897657.0261
66,0.0689715451,0.1093663893,5.38336364979E-10,0.0689715446,0.1093663893,128119794.708,204347862.425
68,0.0417044508,0.1072840462,1.63955907409E-10,0.0417044507,0.1072840462,254363818.46,655807864.532
70,0.0771114669,0.1102371526,4.81934131305E-11,0.0771114669,0.1102371526,1600041621.35,2303886076.04
72,0.0919264005,0.1077039584,1.36721106544E-11,0.0919264005,0.1077039584,6723643685.55,7962070474.6
74,0.0276802255,0.108729692,3.74343855309E-12,0.0276802255,0.108729692,7394331478.62,29073236422
76,0.133749072,0.1059727393,9.89220521086E-13,0.133749072,0.1059727393,135206527961,109622549155
78,0.0771551428,0.1075175945,2.52291599206E-13,0.0771551428,0.1075175945,305817328311,429397786195
80,0.0852294526,0.1093323972,6.21011619852E-14,0.0852294526,0.1093323972,1372429272350,1776307562540
82,0.0870783239,0.1060347007,1.47531217826E-14,0.0870783239,0.1060347007,5902365967880,7258614543800
84,0.0915402405,0.1073600957,3.3826369817E-15,0.0915402405,0.1073600957,27061798530400,32078064283700
86,0.0574798548,0.1055686955,7.48538464639E-16,0.0574798548,0.1055686955,76789447037600,141650175780000
88,0.0568438597,0.1073805891,1.5986747503E-16,0.0568438597,0.1073805891,355568634175000,674463419458000
90,0.0798791727,0.1083674257,3.29528797523E-17,0.0798791727,0.1083674257,2424042246540000,3314880962670000
92,0.0366551122,0.1066367097,6.55562187431E-18,0.0366551122,0.1066367097,5591401222900000,1.62948561612E+016
94,0.0646722389,0.107743989,1.25869840541E-18,0.0646722389,0.107743989,5.13802500945E+016,8.6054492984E+016
96,0.0643724957,0.1066580138,2.33247357664E-19,0.0643724957,0.1066580138,2.75983815394E+017,4.59731433115E+017
98,0.0391086784,0.1080631542,4.17156531036E-20,0.0391086784,0.1080631542,9.37506079552E+017,2.59548386225E+018
100,0.0253278448,0.1060547955,7.2005990082E-21,0.0253278448,0.1060547955,3.51746358131E+018,1.4741027428E+019
102,0.0533147865,0.1076863958,1.19956965074E-21,0.0533147865,0.1076863958,4.44449278088E+019,9.00957452249E+019
104,0.0189441035,0.1094337445,1.92872174534E-22,0.0189441035,0.1094337445,9.82210290767E+019,5.67641451006E+020
106,0.0627556868,0.1076422868,2.99296024772E-23,0.0627556868,0.1076422868,2.09677648872E+021,3.61455193236E+021
108,-0.0039491689,0.1099826392,4.48249263319E-24,-0.0039491689,0.1099826392,-8.8102071802E+020,-2.45365125246E+022
110,0.0647135791,0.1067681127,6.47926114737E-25,0.0647135791,0.1067681127,9.98780225381E+022,1.65677409218E+023
112,-0.031325552,0.1100175878,9.03896383769E-26,-0.031325552,0.1100175878,-3.46561315702E+023,-1.21860692543E+024
114,0.0193903504,0.1094991438,1.21702381714E-26,0.0193903504,0.1094991438,1.59325973464E+024,9.00146074264E+024
116,-0.0242226446,0.1100968312,1.58149116553E-27,-0.0242226446,0.1100968312,-1.5316332532E+025,-6.96656629999E+025
118,-0.0127421027,0.1104764852,1.98345214749E-28,-0.0127421027,0.1104764852,-6.4242047617E+025,-5.57100514333E+026
120,-0.0551360737,0.109640053,2.4008440368E-29,-0.0551360737,0.109640053,-2.29652875461E+027,-4.58378005243E+027
122,-0.0203609989,0.1104049887,2.80474533172E-30,-0.0203609989,0.1104049887,-7.25948221782E+027,-3.93834389109E+028
124,-0.056001232,0.1110667262,3.1623518113E-31,-0.056001232,0.1110667262,-1.77087292541E+029,-3.52533837895E+029
126,-0.0198159728,0.1112852795,3.44123393833E-32,-0.0198159728,0.1112852795,-5.75839164784E+029,-3.23539349998E+030
128,-0.0623525629,0.1128935282,3.61414419229E-33,-0.0623525629,0.1128935282,-1.72523727901E+031,-3.13772132395E+031
130,-0.0577443002,0.1107852882,3.66339727295E-34,-0.0577443002,0.1107852882,-1.57625002002E+032,-3.03624148955E+032
132,-0.0269515152,0.1135185616,3.5838500009E-35,-0.0269515152,0.1135185616,-7.52026875778E+032,-3.17014299456E+033
134,-0.0379204351,0.112758498,3.38378604554E-36,-0.0379204351,0.112758498,-1.12065108782E+034,-3.33788742719E+034
136,-0.0403319841,0.1115494546,3.08349486894E-37,-0.0403319841,0.1115494546,-1.30799582304E+035,-3.6246190445E+035
138,-0.0089991767,0.1145513235,2.71188225475E-38,-0.0089991767,0.1145513235,-3.3184245629E+035,-4.22443784345E+036
140,-0.0508840964,0.1133777114,2.30189597068E-39,-0.0508840964,0.1133777114,-2.2105298003E+037,-4.94005814464E+037
142,0.0148642109,0.1150918984,1.88576608312E-40,0.0148642109,0.1150918984,7.88231954941E+037,6.10469619514E+038
144,-0.0354865023,0.1128165183,1.49099851958E-41,-0.0354865023,0.1128165183,-2.38004946558E+039,-7.57757317815E+039
146,-0.054592334,0.1143531258,1.1377684018E-42,-0.054592334,0.1143531258,-4.79819389353E+040,-1.00844757788E+041
148,-0.0331039662,0.1151099017,8.37949389049E-44,-0.0331039662,0.1151099017,-3.95059255273E+041,-1.37538895359E+042
150,-0.0079265407,0.115074654,5.95619589835E-45,-0.0079265407,0.115074654,-1.33080590422E+042,-1.93215152335E+043
152,-0.0063940526,0.1156080108,4.08608523743E-46,-0.0063940526,0.1156080108,-1.56483584185E+043,-2.82943783277E+044
154,-0.0725556354,0.115555218,2.70541027386E-47,-0.0725556354,0.115555218,-2.68187180724E+045,-4.29609936825E+045
156,-0.0337724208,0.1170966538,1.72880540688E-48,-0.0337724208,0.1170966538,-1.95351198134E+046,-6.78159844787E+046
158,-0.0217287047,0.1167926777,1.06621884335E-49,-0.0217287047,0.1167926777,-2.0379216545E+047,-1.09595190258E+048
160,-0.0388240023,0.1161049275,6.34649378687E-51,-0.0388240023,0.1161049275,-6.11739388388E+048,-1.83245739715E+049
162,0.015178735,0.1177534669,3.64593254307E-52,0.015178735,0.1177534669,4.16319687012E+049,3.23051517052E+050
164,-0.0024620786,0.116459928,2.02148565208E-53,-0.0024620786,0.116459928,-1.21795502141E+050,-5.76114392765E+051
166,0.0292371657,0.1189104029,1.08173270793E-54,0.0292371657,0.1189104029,2.70280870076E+052,1.10024117496E+053
168,0.0059327711,0.1179918408,5.58671509207E-56,0.0059327711,0.1179918408,1.06194265994E+053,2.11208646099E+054
170,0.0150918996,0.1179499697,2.78471241353E-57,0.0150918996,0.1179499697,5.41955409042E+054,4.23665037922E+055
172,-0.028262198,0.1188076879,1.33965028797E-58,-0.028262198,0.1188076879,-2.10966983003E+056,-8.87597988087E+056
174,-0.0004893785,0.1191307006,6.21999158277E-60,-0.0004893785,0.1191307006,-7.86783253118E+055,-1.91528764503E+058
176,-0.0204356628,0.1209015268,2.78724674148E-61,-0.0204356628,0.1209015268,-7.33184562547E+058,-4.33950129091E+059
178,0.0619332521,0.1180762496,1.20544749847E-62,0.0619332521,0.1180762496,5.1377809598E+060,9.8350013498E+060
180,-0.0062372803,0.1206814645,5.03162710446E-64,-0.0062372803,0.1206814645,-1.23961497844E+061,-2.3985527978E+062
182,-0.0111559003,0.1201408674,2.02700985428E-65,-0.0111559003,0.1201408674,-5.50362412122E+062,-5.92775553824E+063
184,-0.0108202028,0.1206361018,7.88116711125E-67,-0.0108202028,0.1206361018,-1.37291884243E+064,-1.53087041859E+065
186,0.0125845397,0.1210949519,2.95741639993E-68,0.0125845397,0.1210949519,4.25524782275E+065,4.09527366353E+066
188,0.0003622749,0.1205629837,1.07107943696E-69,0.0003622749,0.1205629837,3.38233437669E+065,1.12562145829E+068
190,-0.0302905321,0.1220983808,3.74384750436E-71,-0.0302905321,0.1220983808,-8.09074943875E+068,-3.26427508657E+069
192,-0.0472233086,0.1217567122,1.26299573444E-72,-0.0472233086,0.1217567122,-3.73899193134E+070,-9.66173686492E+070
194,0.0516354884,0.1207529242,4.11218724076E-74,0.0516354884,0.1207529242,1.25566967971E+072,2.94439603715E+072
196,0.0384915068,0.1217800665,1.29220418391E-75,0.0384915068,0.1217800665,2.97874804044E+073,9.43812828617E+073
198,0.0329940494,0.1210468015,3.91901268084E-77,0.0329940494,0.1210468015,8.41896980655E+074,3.09209899799E+075
200,0.0182603198,0.1226632216,1.14712160353E-78,0.0182603198,0.1226632216,1.5918381918E+076,1.06966360534E+077
202,0.007613023,0.1208173038,3.24063048495E-80,0.007613023,0.1208173038,2.34924129667E+077,3.72842259785E+078
204,0.0135562176,0.1220324032,8.83561597362E-82,0.0135562176,0.1220324032,1.53426967178E+079,1.38139407864E+080
206,0.033107342,0.1230256533,2.32504527615E-83,0.033107342,0.1230256533,1.42394396857E+081,5.29698789577E+081
208,0.0045533113,0.1214389277,5.90490971076E-85,0.0045533113,0.1214389277,7.71105995068E+081,2.05661828742E+083
210,0.0015305216,0.1226719999,1.4473793514E-86,0.0015305216,0.1226719999,1.05744329838E+083,8.4754755003E+084
212,0.0052697444,0.1211442757,3.42403935757E-88,0.0052697444,0.1211442757,1.53904318803E+085,3.538150519E+086
214,-0.0256105429,0.1222045318,7.81776097058E-90,-0.0256105429,0.1222045318,-3.27594345306E+087,-1.56418053058E+088
216,-0.0372744822,0.1227223879,1.72271443006E-91,-0.0372744822,0.1227223879,-2.16370639256E+089,-7.13349414975E+089
218,0.02552333,0.1223173406,3.66379748013E-93,0.02552333,0.1223173406,6.96635938763E+090,3.34068933616E+091
220,0.0440190468,0.122452021,7.52032988956E-95,0.0440190468,0.122452021,5.85333987575E+092,1.63138929292E+093
222,0.0123567767,0.1209341252,1.48980555218E-96,0.0123567767,0.1209341252,8.29422116507E+093,8.11869703807E+094
224,0.0256123893,0.122257473,2.84845622236E-98,0.0256123893,0.122257473,8.99167383074E+095,4.29484618056E+096
226,0.0247490554,0.1217723863,5.25625921096E-100,0.0247490554,0.1217723863,4.70849218767E+097,2.31812701081E+098
228,0.0152986531,0.12073997,9.36119438364E-102,0.0152986531,0.12073997,1.63426294691E+099,1.29009861478E+100
