x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.3344151475,0.0037315893,0.3344151475,0,0.0052772643,0,nan
1.6,0.249554275,0.0033214045,0.2481448716,0.0014094034,0.0043242045,0.0056797604,0.017426244
3.2,0.1156607188,0.0024188596,0.1212928054,-0.0056320865,0.0027717711,-0.0464338055,-0.0228577734
4.8,0.0502737726,0.0010422395,0.0448573277,0.0054164449,0.0011562034,0.120748273,0.0258103215
6.4,0.0282316199,0.0003563599,0.0201310185,0.0081006013,0.000421251,0.402394013,0.0214017871
8,0.0172102951,0.0002218384,0.0118886753,0.0053216198,0.0002584784,0.4476209266,0.0223079277
9.6,0.0108869524,0.0001565084,0.0063399974,0.0045469549,0.0001717549,0.7171856072,0.0282480045
11.2,0.0070545182,0.000106894,0.0032407399,0.0038137783,0.0001128451,1.1768233106,0.0372145976
12.8,0.0052209345,8.80905390602E-05,0.0020291,0.0031918345,9.09538077762E-05,1.5730296499,0.0481388887
14.4,0.0043368269,8.32891648273E-05,0.0016821807,0.0026546462,8.53781254293E-05,1.5780980849,0.0537224292
16,0.003662821,7.651157661E-05,0.0014621637,0.0022006573,7.82318425585E-05,1.5050690663,0.0560780447
17.6,0.0030413908,7.70223768797E-05,0.0010893138,0.001952077,7.79756027038E-05,1.7920244611,0.0743228333
19.2,0.0025178087,7.11121412776E-05,0.0007489146,0.0017688941,7.16014860768E-05,2.3619435702,0.0991732431
20.8,0.0022188938,6.61010709347E-05,0.0005079662,0.0017109276,6.63436485698E-05,3.3681919997,0.1359066132
22.4,0.002042378,6.68979488212E-05,0.0004060708,0.0016363072,6.70512266604E-05,4.0296101969,0.1711347132
24,0.0019163568,6.46258845412E-05,0.0003474014,0.0015689554,0.000064742,4.5162615595,0.1930545238
25.6,0.0018441758,6.41313764753E-05,0.0002952555,0.0015489203,6.42159481332E-05,5.246034539,0.2252328856
27.2,0.001772641,6.19529476234E-05,0.0002595074,0.0015131336,6.20205849583E-05,5.8307905615,0.2476915341
28.8,0.001696497,6.2669535102E-05,0.0002211684,0.0014753286,6.27181094705E-05,6.6706126646,0.2931825162
30.4,0.0016043425,6.28718448464E-05,0.0001950508,0.0014092916,6.29095061316E-05,7.2252534562,0.3324529259
32,0.0015548846,6.23503799299E-05,0.0001768468,0.0013780379,6.23815998897E-05,7.792269655,0.3633022706
33.6,0.0014477994,5.98015573796E-05,0.0001611266,0.0012866727,5.98285789025E-05,7.9854756988,0.3818560808
35.2,0.0013788172,6.01234910694E-05,0.000149956,0.0012288612,6.01467711801E-05,8.1948140513,0.4113877362
36.8,0.0012500166,5.87140684684E-05,0.0001378851,0.0011121316,5.87342244301E-05,8.0656422336,0.4353693096
38.4,0.0011727764,5.68633314433E-05,0.0001264903,0.0010462861,5.68808460799E-05,8.2716702031,0.4590601668
40,0.0010863726,5.56636329059E-05,0.0001185759,0.0009677967,5.56793562795E-05,8.161833744,0.4783178107
41.6,0.0009963969,5.47438039535E-05,0.0001092241,0.0008871728,5.47573694088E-05,8.1224966802,0.5094573337
43.2,0.0009166017,5.640836736E-05,0.0001000649,0.0008165368,5.64194173774E-05,8.1600754624,0.5711334998
44.8,0.0008345664,5.52031408952E-05,9.2648949107E-05,0.0007419175,5.52128206631E-05,8.007834807,0.6025976127
46.4,0.0007972662,5.4098468457E-05,0.000086425,0.0007108412,5.41070634476E-05,8.2249458135,0.6327492917
48,0.0007604411,5.37482578208E-05,8.05756318185E-05,0.0006798655,5.37557774856E-05,8.4376068352,0.67375767
