x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,8.5979246802,0.370144763,8.5979246802,0,0.5234637439,0,nan
2,6.4607103649,0.2197468586,7.2730310302,-0.8123206653,0.3825244601,-0.1116894266,-0.0528142484
4,3.7459489242,0.1852587824,4.4508189528,-0.7048700286,0.266524226,-0.158368614,-0.0602689357
6,1.8809720994,0.1748853571,2.0725886561,-0.1916165567,0.1963317472,-0.0924527673,-0.094811371
8,1.2572463509,0.1669621491,0.8590462808,0.3982000701,0.1710089285,0.463537389,0.2000660678
10,1.0126801002,0.1471274734,0.4261375619,0.5865425383,0.1482668137,1.376415953,0.3529415581
12,0.6107728687,0.1507677241,0.2858083203,0.3249645483,0.1512689644,1.137001708,0.5315258252
14,0.523564943,0.1408632569,0.2175748797,0.3059900633,0.1411743328,1.4063666893,0.6516726109
16,0.4619703918,0.1356999747,0.1657986276,0.2961717641,0.135887564,1.7863342321,0.8231939997
18,0.5284355451,0.1358490739,0.1225589834,0.4058765617,0.1359514965,3.3116834881,1.118398379
20,0.405126858,0.1296723477,0.0874800186,0.3176468393,0.1297270248,3.6310787812,1.4911494709
22,0.4159900064,0.1319331849,0.0602662819,0.3557237245,0.1319586931,5.9025331109,2.2042895591
24,0.3922394631,0.124785031,0.0400707906,0.3521686725,0.1247969544,8.7886629418,3.1373103092
26,0.4270679204,0.1206763863,0.0257139452,0.4013539752,0.1206814636,15.6084168586,4.7410891261
28,0.3912070859,0.1223089099,0.0159256358,0.3752814501,0.1223108315,23.564613317,7.7468331723
30,0.3307195018,0.1198100674,0.0095194556,0.3212000462,0.1198107683,33.7414302227,12.6694313456
32,0.3371216307,0.1202177329,0.0054917999,0.3316298308,0.1202179654,60.3863642366,22.0442734486
34,0.2524303669,0.1147209371,0.0030577682,0.2493725986,0.1147210126,81.5537929324,37.6818085154
