x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,2.7645537224,0.0285253335,2.7645537224,0,0.0403409135,0,nan
1.6,1.9557023674,0.0305248984,2.0513718761,-0.0956695088,0.0371455555,-0.0466368433,-0.0181140583
3.2,0.8287855264,0.0188511754,1.0027072013,-0.1739216749,0.0215037243,-0.1734521052,-0.0215202164
4.8,0.3505540679,0.0071760279,0.3708279764,-0.0202739085,0.0081323977,-0.0546720037,-0.0219376322
6.4,0.2091587313,0.0027957415,0.1664197411,0.0427389902,0.0032809764,0.2568144252,0.019892353
8,0.1322724011,0.0016202309,0.0982816769,0.0339907241,0.0019114222,0.3458500627,0.0197730943
9.6,0.0735469417,0.0010009267,0.0524116915,0.0211352502,0.0011376797,0.4032544948,0.0221017974
11.2,0.0469545462,0.00045401,0.0267906514,0.0201638948,0.0005315449,0.752646678,0.0213064158
12.8,0.0328591283,0.0002593668,0.0167742283,0.0160849,0.0003118141,0.9589055119,0.0210580625
14.4,0.0265440005,0.0001849729,0.0139063049,0.0126376956,0.0002341025,0.9087745195,0.0192696616
16,0.0215509332,0.0001627613,0.0120874608,0.0094634724,0.0002050528,0.7829164888,0.0187893534
17.6,0.0165920607,0.0001505186,0.009005174,0.0075868867,0.0001768884,0.8425030675,0.0214806284
19.2,0.0125464176,0.0001257721,0.0061911511,0.0063552666,0.0001410656,1.0265080758,0.0251265457
20.8,0.0097026214,0.0001079676,0.0041992709,0.0055033505,0.0001163375,1.3105490459,0.0308282771
22.4,0.008018301,9.84371238191E-05,0.0033569193,0.0046613818,0.0001043534,1.3885891757,0.0342290571
24,0.006885188,9.25663693156E-05,0.0028719086,0.0040132794,9.71938794394E-05,1.3974258842,0.0367865829
25.6,0.0058650752,8.68222745555E-05,0.0024408271,0.0034242481,9.04012932107E-05,1.4029047935,0.0397654533
27.2,0.0049973497,7.94786035201E-05,0.0021453044,0.0028520453,8.25035798975E-05,1.3294361816,0.040830954
28.8,0.0042439093,7.52844765858E-05,0.0018283618,0.0024155475,7.76122330458E-05,1.3211539907,0.0445842282
30.4,0.0036475156,7.34721566918E-05,0.0016124523,0.0020350633,7.53323965422E-05,1.2620920556,0.0485001649
32,0.0032103689,7.17165252486E-05,0.0014619626,0.0017484063,7.32858356539E-05,1.1959309483,0.0516248872
33.6,0.0027963078,6.76645078931E-05,0.0013320067,0.0014643011,6.90462327015E-05,1.0993196682,0.0530628088
35.2,0.0025026955,6.74380515526E-05,0.0012396607,0.0012630348,6.86403927721E-05,1.0188552441,0.0563594678
36.8,0.0022579133,6.51467854632E-05,0.0011398726,0.0011180407,0.0000662,0.9808471223,0.0589518714
38.4,0.0020767153,6.54567304366E-05,0.0010456741,0.0010310412,0.00006634,0.9860062503,0.0642529222
40,0.0019197508,6.23101739962E-05,0.0009802469,0.0009395039,6.31257425567E-05,0.9584358955,0.0651527118
41.6,0.0017109787,6.06453366629E-05,0.0009029377,0.0008080411,6.13568113336E-05,0.8949024273,0.0685769403
43.2,0.0015538061,0.000062666,0.0008272194,0.0007265867,6.3244645535E-05,0.8783482624,0.076989798
44.8,0.0014144628,6.21610635834E-05,0.0007659133,0.0006485495,6.26614180295E-05,0.8467662596,0.0822778978
46.4,0.0012867411,0.000059916,0.0007144612,0.0005722799,6.03678220353E-05,0.800995107,0.0848974515
48,0.0011947511,0.000059525,0.0006661052,0.0005286459,5.99205145123E-05,0.793637335,0.0903284952
49.6,0.0011294191,5.65596542108E-05,0.000621498,0.0005079211,0.000056922,0.8172530402,0.091975829
51.2,0.0010438295,0.000057541,0.0005953637,0.0004484658,0.000057868,0.7532636504,0.0975079663
52.8,0.001012739,5.76651620157E-05,0.0005601197,0.0004526194,5.79540590014E-05,0.8080761643,0.1038026925
54.4,0.0009255548,5.55820720308E-05,0.0005282666,0.0003972882,5.5848704199E-05,0.7520600995,0.1060050887
56,0.0008665168,0.000055644,0.000501361,0.0003651559,0.000055884,0.7283292301,0.1117175638
57.6,0.0008138488,5.53128518093E-05,0.0004712108,0.0003426381,5.55261313896E-05,0.7271439662,0.1180757606
59.2,0.0007718924,5.53863451927E-05,0.0004473083,0.0003245841,5.55783184261E-05,0.725638313,0.1244759631
60.8,0.0007177582,5.37663604292E-05,0.000419779,0.0002979792,5.39405448178E-05,0.7098479194,0.1287060644
62.4,0.0006752712,5.45496433468E-05,0.0003929915,0.0002822798,5.4700150446E-05,0.7182847108,0.139386339
64,0.0006350274,5.43886454274E-05,0.0003708541,0.0002641734,5.45230898505E-05,0.7123378244,0.1472039533
65.6,0.0006045399,5.23369369334E-05,0.0003477828,0.0002567571,5.24598164964E-05,0.7382687533,0.1510329904
67.2,0.000557367,5.26249072472E-05,0.0003272683,0.0002300987,5.27331381967E-05,0.7030889851,0.1612944629
68.8,0.0005276811,5.2043775753E-05,0.0003138632,0.0002138178,5.21444396275E-05,0.681245283,0.1662861026
70.4,0.000506232,5.22876848073E-05,0.000297432,0.0002088,5.23776726304E-05,0.7020093503,0.1762485798
72,0.0004721411,5.24951840863E-05,0.0002862152,0.0001859259,5.25781890296E-05,0.6496019052,0.1838238694
73.6,0.0004517904,5.10711056253E-05,0.0002727761,0.0001790143,5.1148603401E-05,0.6562685108,0.1876335696
75.2,0.0004124784,5.08976242579E-05,0.0002536165,0.0001588619,5.09648525417E-05,0.6263864504,0.2010563773
76.8,0.0003934306,0.000049673,0.0002362949,0.0001571357,4.97327895127E-05,0.664998348,0.2105809745
78.4,0.0003809708,4.99899418646E-05,0.0002199919,0.0001609789,5.00414514851E-05,0.7317494006,0.2275948209
80,0.0003721775,4.90772331054E-05,0.0002023759,0.0001698015,4.91216371587E-05,0.839040164,0.2428790479
81.6,0.0003643372,4.97216363135E-05,0.0001899694,0.0001743678,4.97602582946E-05,0.9178732522,0.2621094743
83.2,0.000338563,4.9983322913E-05,0.0001810219,0.0001575412,5.00182101721E-05,0.8702879538,0.2764561898
84.8,0.0003100902,4.91495639171E-05,0.0001716904,0.0001383998,4.91814802329E-05,0.8061010306,0.2865751909
86.4,0.0002835003,4.97019102926E-05,0.0001623247,0.0001211756,4.97301236266E-05,0.7465010073,0.3064587951
88,0.00026519,4.79076736991E-05,0.0001558169,0.0001093731,4.79346438352E-05,0.7019335736,0.3077197053
89.6,0.0002221343,4.92474196724E-05,0.000148976,7.31582827258E-05,4.92714038444E-05,0.4910743224,0.3307726727
