x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,4.3694916771,0.5477209642,4.3694916771,0,0.774594416,0,nan
2,2.8315988887,0.3263998062,3.6961766631,-0.8645777744,0.5667471879,-0.2339113774,-0.1561116409
4,2.2958873672,0.2756824901,2.2619198346,0.0339675326,0.3954649845,0.0150171249,0.1748461194
6,1.4416982256,0.2603653482,1.053295908,0.3884023176,0.2919289894,0.3687494793,0.2809856409
8,1.3394239839,0.2489863159,0.4365699531,0.9028540308,0.2549293297,2.0680626883,0.6388933348
10,0.8792660114,0.2186818779,0.2165644152,0.6627015963,0.2203603911,3.0600668896,1.0874279226
12,0.6858029364,0.2256715119,0.1452486645,0.5405542719,0.2264047913,3.72157826,1.6270507672
14,0.5466636462,0.2099435509,0.1105722208,0.4360914254,0.2104005802,3.9439510413,1.9660080706
16,0.4287014227,0.2022625125,0.0842593708,0.3444420519,0.2025380954,4.087878283,2.4577566546
18,0.4389097818,0.2026277823,0.062284851,0.3766249308,0.2027781421,6.0468143446,3.3427282797
20,0.5078820254,0.1935099628,0.0444576136,0.4634244118,0.1935901908,10.4239605834,4.5463088505
22,0.5265970228,0.1965520474,0.0306275092,0.4959695136,0.1965895387,16.1935961012,6.7320473296
24,0.3185348778,0.1861647554,0.0203640986,0.2981707792,0.1861822554,14.6419826797,9.3250785776
26,0.5018039787,0.1802313465,0.0130679058,0.488736073,0.1802387904,37.3997243512,14.5674535652
28,0.3724137194,0.1822082628,0.0080934569,0.3643202624,0.1822110872,45.0141719462,23.2097193566
30,0.3593553321,0.1787394735,0.0048378165,0.3545175156,0.1787405022,73.2804800018,38.0713073865
32,0.3515564678,0.1789891336,0.0027909496,0.3487655182,0.1789894755,124.963031787,66.0173940432
34,0.3712935693,0.1710762549,0.0015539672,0.3697396021,0.1710763658,237.93269436,114.058598913
36,0.5057534901,0.1699995478,0.0008350625,0.5049184277,0.1699995801,604.647484355,217.228561934
38,0.3417626495,0.1703790841,0.0004330952,0.3413295543,0.1703790928,788.116708271,405.613469331
40,0.2847598304,0.1694375791,0.0002167879,0.2845430425,0.1694375813,1312.54124562,798.711836946
42,0.3711571059,0.163891192,0.0001047307,0.3710523753,0.1638911925,3542.91952905,1626.68056689
44,0.3302487603,0.166557642,4.88315048875E-05,0.3301999288,0.1665576422,6762.0264741,3514.60798977
46,0.4915522901,0.1660486773,2.19742243167E-05,0.4915303159,0.1660486773,22368.4945045,8059.95998452
48,0.4137353857,0.1632392276,9.54364470316E-06,0.4137258421,0.1632392276,43350.9267117,17946.9523968
50,0.369413919,0.1597925764,4.00038910869E-06,0.3694099186,0.1597925764,92343.4967299,41587.6531991
