x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,1.4830882131,0.0147036544,1.4830882131,0,0.0207941074,0,nan
1.6,1.0531300952,0.0143958962,1.1004906237,-0.0473605285,0.0180632454,-0.043035831,-0.0164193558
3.2,0.4858490386,0.0090380993,0.537918008,-0.0520689694,0.0104942125,-0.096797223,-0.0195325337
4.8,0.2074360322,0.0038831106,0.1989364853,0.0084995469,0.0043552854,0.0427249275,0.0218969414
6.4,0.1166363133,0.0013232167,0.0892784808,0.0273578325,0.0015919643,0.3064325499,0.0180883972
8,0.0703995615,0.0008222776,0.0527247474,0.0176748141,0.000974362,0.3352280477,0.0187766419
9.6,0.0410843757,0.0005170399,0.0281170741,0.0129673016,0.0005873982,0.4611895807,0.0213856646
11.2,0.0250627305,0.0002492935,0.0143722652,0.0106904653,0.000287142,0.7438260494,0.0212964532
12.8,0.0172088291,0.0001390334,0.0089987979,0.0082100312,0.0001651962,0.912347545,0.0204650111
14.4,0.0135578641,0.0001139554,0.0074602554,0.0060976087,0.0001358539,0.8173458383,0.0199319186
16,0.0107533902,9.6004348419E-05,0.006484508,0.0042688822,0.0001155417,0.6583201344,0.0189758623
17.6,0.0081184552,9.21836011125E-05,0.0048309668,0.0032874884,0.0001038834,0.680503193,0.0225371813
19.2,0.0059617119,8.18765487613E-05,0.0033213401,0.0026403718,0.00008825,0.7949718293,0.0277148766
20.8,0.0045896004,7.33266163471E-05,0.0022527647,0.0023368356,7.66525782481E-05,1.0373189743,0.0355462185
22.4,0.0036986159,7.04918243821E-05,0.001800872,0.0018977439,7.27177479496E-05,1.0537916594,0.0417088644
24,0.0031085554,6.5963885565E-05,0.0015406804,0.001567875,6.77092955007E-05,1.0176510272,0.0450908947
25.6,0.0026585028,6.30928415934E-05,0.00130942,0.0013490828,6.44145606391E-05,1.0302903596,0.0502424858
27.2,0.0022618922,0.000058081,0.0011508822,0.00111101,5.91911107644E-05,0.965355084,0.052314001
28.8,0.0019257891,5.62376986763E-05,0.0009808534,0.0009449357,5.70722570492E-05,0.9633812429,0.0589650206
30.4,0.0016271509,5.61249126793E-05,0.0008650253,0.0007621255,5.67763542323E-05,0.8810441538,0.066214153
32,0.0014238994,5.40942674214E-05,0.0007842928,0.0006396066,5.46502557094E-05,0.8155201991,0.0701484435
33.6,0.0012538311,0.000052028,0.0007145759,0.0005392552,5.2508115535E-05,0.754650786,0.0738614208
35.2,0.0011164092,5.25031789754E-05,0.0006650354,0.0004513738,5.29155502487E-05,0.6787213749,0.0798520409
36.8,0.0009804153,5.11763425097E-05,0.0006115025,0.0003689128,5.15341901282E-05,0.6032891133,0.0844866771
