x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.9497147711,0.01223881,0.9497147711,0,0.0173082911,0,nan
1.6,0.6820512554,0.0096244738,0.7047134429,-0.0226621875,0.0132327059,-0.0321580179,-0.0187820004
3.2,0.3287632401,0.0069010657,0.3444627726,-0.0156995325,0.0082054685,-0.0455768627,-0.0238283002
4.8,0.1407270561,0.0029375597,0.1273915583,0.0133354978,0.0033651667,0.1046811731,0.026450355
6.4,0.0807392676,0.0011009062,0.057170633,0.0235686346,0.0013246857,0.4122507192,0.0237719746
8,0.0494502413,0.0005784928,0.0337629758,0.0156872656,0.0007238535,0.4646292342,0.0222596839
9.6,0.0289922758,0.0003729327,0.018005133,0.0109871428,0.0004392224,0.6102228049,0.0256304719
11.2,0.0183880249,0.0001900287,0.0092034664,0.0091845585,0.0002240038,0.9979455605,0.0275277839
12.8,0.0130289701,0.0001159065,0.005762497,0.0072664732,0.0001376551,1.2609938461,0.0288913543
14.4,0.0103980211,9.43599448957E-05,0.0047772713,0.0056207498,0.0001126672,1.1765607186,0.0280374071
16,0.0082874217,8.38568337002E-05,0.0041524388,0.0041349829,0.000099476,0.9957962313,0.0271766282
17.6,0.0064275101,8.0810586477E-05,0.0030935723,0.0033339378,9.0109240454E-05,1.0776983776,0.032269394
19.2,0.0048691408,7.2212383735E-05,0.0021268632,0.0027422776,7.72389489831E-05,1.2893530469,0.0399365119
20.8,0.0038305846,6.60915813933E-05,0.0014425871,0.0023879975,6.86563836399E-05,1.6553575415,0.0521547414
22.4,0.0030598687,6.47973718479E-05,0.0011532117,0.001906657,6.64797402184E-05,1.6533451119,0.0614588676
24,0.0025581975,5.99248341631E-05,0.0009865947,0.0015716028,6.12587418541E-05,1.5929569269,0.065396553
25.6,0.0021745789,6.01482518406E-05,0.0008385041,0.0013360748,6.11111644769E-05,1.593402885,0.0757186063
27.2,0.0018604741,5.51614346795E-05,0.0007369823,0.0011234918,5.59730631387E-05,1.5244487371,0.0784486262
28.8,0.0015736044,5.45211509895E-05,0.0006281022,0.0009455023,5.5118714552E-05,1.5053319251,0.0898729644
30.4,0.0013412664,5.41334840891E-05,0.0005539302,0.0007873362,5.46021143587E-05,1.4213635234,0.1002595866
32,0.0011856563,5.37101092161E-05,0.0005022321,0.0006834242,5.40986590838E-05,1.3607737722,0.1091345462
33.6,0.001062923,5.11317946062E-05,0.0004575879,0.000605335,5.14707036653E-05,1.322882432,0.1137671881
35.2,0.0009287693,5.10725022304E-05,0.0004258641,0.0005029052,5.13665166184E-05,1.1809054743,0.1215734012
36.8,0.0008522046,5.08172672785E-05,0.0003915836,0.0004606211,5.10672056427E-05,1.1763033678,0.1312900811
38.4,0.0007619817,4.9116370589E-05,0.0003592233,0.0004027584,0.000049334,1.1211922891,0.1380932632
40,0.0006786174,4.83768737264E-05,0.0003367469,0.0003418705,4.85711234742E-05,1.0152148171,0.1448283986
41.6,0.0005955839,4.74241394875E-05,0.0003101887,0.0002853952,4.75923081433E-05,0.9200697315,0.1538876504
43.2,0.0005398262,4.8385404239E-05,0.000284177,0.0002556493,4.85237942407E-05,0.8996130222,0.1711451416
44.8,0.0004771605,4.72759250915E-05,0.0002631163,0.0002140442,4.7397364608E-05,0.8134964067,0.180443249
46.4,0.0004123352,0.000046486,0.0002454408,0.0001668944,4.65935247372E-05,0.6799783053,0.1900382263
48,0.0003945647,4.65238043053E-05,0.000228829,0.0001657358,4.66171669573E-05,0.7242780175,0.2039342833
49.6,0.0003651661,4.54409471057E-05,0.0002135049,0.0001516612,4.55241680923E-05,0.7103403684,0.2134194584
51.2,0.0003522988,4.60672970305E-05,0.0002045269,0.0001477719,4.61426352407E-05,0.7225059032,0.2257986949
52.8,0.0003107285,4.64871176997E-05,0.0001924195,0.0001183091,4.65532051145E-05,0.6148498835,0.242065771
54.4,0.0003025138,4.48553189321E-05,0.0001814769,0.0001210369,4.49162439739E-05,0.666955083,0.2476531329
56,0.0002852444,4.60354985477E-05,0.0001722339,0.0001130104,0.000046089,0.6561450822,0.2677287819
57.6,0.0002824666,4.43401881025E-05,0.0001618763,0.0001205902,4.438923269E-05,0.7449527987,0.2743849276
59.2,0.0002619556,4.46688267711E-05,0.0001536651,0.0001082905,4.47126994887E-05,0.7047180341,0.2911167289
60.8,0.0002425731,4.32732298768E-05,0.0001442078,9.83652477875E-05,4.33131158586E-05,0.682107525,0.300480635
62.4,0.0002364157,4.37335605896E-05,0.0001350054,0.0001014102,4.37681527731E-05,0.7511565598,0.3243399599
64,0.0002160422,4.4732565549E-05,0.0001274005,8.8641726366E-05,4.47626841231E-05,0.6957720989,0.3514684056
65.6,0.0001984951,0.000042695,0.0001194748,7.90203509657E-05,4.27227445453E-05,0.6613978048,0.3576895672
67.2,0.0001785022,0.000043126,0.0001124274,6.60748362212E-05,4.31503621726E-05,0.5877113079,0.3838812827
68.8,0.0001619129,4.16812179732E-05,0.0001078223,5.40905911505E-05,4.17043715536E-05,0.5016642414,0.3868420303
70.4,0.0001501774,4.2165334918E-05,0.0001021776,4.79997265616E-05,4.21858896698E-05,0.4697674789,0.4129125458
72,0.0001455685,4.24503873006E-05,9.83242805849E-05,4.72442475819E-05,4.24692935421E-05,0.4804942106,0.4319752666
73.6,0.0001389847,4.19230888638E-05,9.37075106063E-05,4.52772233793E-05,4.19404775781E-05,0.4831760345,0.4476112515
75.2,0.0001367411,4.16168744394E-05,8.71255614381E-05,4.96155520987E-05,0.000041632,0.5694718207,0.4778956495
76.8,0.0001241504,4.09085549059E-05,0.000081175,4.29754039776E-05,4.0921927693E-05,0.5294164678,0.5041657396
78.4,0.0001203173,4.11196544546E-05,7.55744152972E-05,4.47428989866E-05,4.11311863646E-05,0.5920376467,0.5443009711
80,0.0001078224,4.03321663807E-05,6.95227616214E-05,3.82996046905E-05,4.03421161021E-05,0.5508930284,0.5803154859
81.6,9.73785919513E-05,4.05358699316E-05,6.52607046955E-05,3.21178872558E-05,4.05445932013E-05,0.4921474171,0.6213035235
83.2,0.0001085617,4.10480857075E-05,6.21869441444E-05,4.63747897675E-05,4.10559078576E-05,0.7457319282,0.6602713448
84.8,8.74012905639E-05,4.05247701014E-05,5.89812760216E-05,0.00002842,4.05318975087E-05,0.4818480789,0.687227454
86.4,9.38889050445E-05,4.05902933538E-05,5.57638600599E-05,0.000038125,4.05966541494E-05,0.683687337,0.7280634264
88,8.89886462013E-05,3.91138851741E-05,5.35282054839E-05,3.54604407174E-05,0.00003912,0.6624627222,0.7308789072
89.6,7.73567309513E-05,3.98082865654E-05,5.11781326293E-05,2.6178598322E-05,3.981374952E-05,0.5115192168,0.7779724805
91.2,6.6785507445E-05,3.94791647527E-05,4.87847655982E-05,1.80007418467E-05,3.94841701086E-05,0.36898285,0.809368479
92.8,7.35388586198E-05,3.93656647306E-05,4.68724995237E-05,2.66663590961E-05,3.93702987204E-05,0.5689126752,0.8399765075
94.4,0.00005199,3.95111282715E-05,4.50932729442E-05,6.89676760081E-06,3.9515401367E-05,0.1529444893,0.8763059041
96,5.3899717172E-05,3.85993443121E-05,4.33202198768E-05,1.05794972951E-05,3.8603381144E-05,0.2442161495,0.8911224828
97.6,5.97556312844E-05,3.89167176358E-05,4.21066415306E-05,0.000017649,3.89205003707E-05,0.4191497852,0.9243474068
99.2,6.03723429229E-05,3.86321439317E-05,4.08608376754E-05,1.95115052476E-05,3.86357323871E-05,0.4775111417,0.9455643292
100.8,5.20407263416E-05,3.86909432664E-05,3.99500897933E-05,1.20906365482E-05,3.86943683327E-05,0.3026435387,0.968575596
102.4,4.47891580121E-05,3.83609165766E-05,3.98214288466E-05,4.96772916555E-06,3.83643488927E-05,0.1247501486,0.963410993
104,5.43944837869E-05,3.75856916876E-05,3.90031185559E-05,1.5391365231E-05,3.75890523021E-05,0.3946188356,0.9637582069
105.6,4.78226486347E-05,3.85006267159E-05,3.84995518282E-05,9.32309680654E-06,3.85038233102E-05,0.2421611776,1.0001158177
107.2,3.29715004821E-05,0.000037775,3.81992639561E-05,-5.22776347394E-06,3.77781784312E-05,-0.1368550839,-0.9889781788
108.8,3.06817237405E-05,3.72143937588E-05,3.7391695468E-05,-0.00000671,3.72175132457E-05,-0.1794508552,-0.9953443734
110.4,3.34482542965E-05,3.78410603649E-05,3.6487349788E-05,-3.03909549149E-06,0.000037844,-0.0832917575,-1.0371814365
112,0.00003351,3.74443546933E-05,3.56531848538E-05,-2.14314575051E-06,3.74471734394E-05,-0.0601109202,-1.0503180509
113.6,4.08586339832E-05,3.77357428376E-05,3.41934029962E-05,6.66523098695E-06,3.77383154772E-05,0.1949273954,1.1036752683
115.2,0.000040169,3.69623676929E-05,3.31235980435E-05,7.04541347071E-06,3.69648323855E-05,0.2127007296,1.1159700658
116.8,4.61234705082E-05,3.65564553923E-05,3.19200566144E-05,1.42034138938E-05,3.65587696488E-05,0.4449683177,1.1453371869
118.4,5.18935808999E-05,3.6962195648E-05,3.05452215304E-05,2.13483593694E-05,3.69642915862E-05,0.6989099538,1.2101832465
120,3.95545639419E-05,3.61226264177E-05,2.94155475779E-05,0.000010139,3.61246153711E-05,0.3446822242,1.2280870029
121.6,3.66833310355E-05,3.63645603069E-05,2.83948705501E-05,8.28846048546E-06,3.63664013013E-05,0.2918999215,1.2807439321
123.2,3.36752077111E-05,3.6283772142E-05,2.70265835755E-05,6.64862413555E-06,3.62854437016E-05,0.2460031294,1.3425871885
124.8,2.35174366664E-05,3.68047158762E-05,2.59795239367E-05,-2.46208727036E-06,3.68062385677E-05,-0.0947702997,-1.4167408276
126.4,3.47894948673E-05,3.62684907296E-05,2.52093506278E-05,9.58014423946E-06,3.62699456765E-05,0.3800234437,1.4387580358
128,2.80526966671E-05,3.61583529879E-05,2.39661782373E-05,4.0865184298E-06,3.61596719825E-05,0.1705118934,1.5087808316
129.6,0.000028336,3.62313879293E-05,2.29237449705E-05,5.41228116154E-06,3.62325922467E-05,0.2360993445,1.5805733062
131.2,2.05030721084E-05,3.53825432222E-05,2.22023406256E-05,-1.6992685172E-06,3.53837000358E-05,-0.0765355575,-1.5936926385
132.8,0.000009989,3.62055993687E-05,0.000021122,-0.000011133,3.62066225457E-05,-0.5270803102,-1.7141787122
134.4,1.08368876728E-05,3.54928953715E-05,2.03136440505E-05,-9.4767563777E-06,3.54938607339E-05,-0.4665217306,-1.7473019979
136,1.39837027675E-05,3.55227217955E-05,1.93515337974E-05,-5.36783102991E-06,3.55235971444E-05,-0.2773853011,-1.8357027855
137.6,0.000012783,0.000035701,1.84399418517E-05,-0.000005657,3.57017701137E-05,-0.3067780964,-1.9361148115
139.2,4.09776118429E-06,3.56287268197E-05,1.77249330289E-05,-1.36271718446E-05,3.56294590142E-05,-0.7688137282,-2.0101566381
140.8,1.48340612221E-05,3.61140783285E-05,1.68774560306E-05,-2.04339480845E-06,3.61147332594E-05,-0.1210724415,-2.1398214751
142.4,1.21378006876E-05,3.47153927532E-05,1.60077761948E-05,-0.00000387,0.000034716,-0.2417559729,-2.168698579
144,9.90079105026E-06,3.52133214335E-05,1.54430590836E-05,-5.54226803338E-06,3.52138837985E-05,-0.3588840788,-2.2802448685
145.6,4.62336970977E-06,3.5070172838E-05,1.47016344907E-05,-1.00782647809E-05,3.50706845813E-05,-0.6855200207,-2.3855119707
147.2,2.02458948677E-05,3.49444411496E-05,1.39684572254E-05,6.27743764239E-06,3.49449047864E-05,0.4494009282,2.501707802
148.8,1.14901446377E-05,3.47625740895E-05,1.34226333392E-05,-1.9324887015E-06,0.000034763,-0.1439723974,-2.5898802778
150.4,1.42209253056E-05,3.45408557626E-05,1.29162100313E-05,1.30471527433E-06,3.45412568108E-05,0.1010137859,2.6742566759
152,2.78561583597E-05,3.48568663509E-05,1.22781067296E-05,1.55780516301E-05,3.48572254665E-05,1.2687665919,2.8390210575
153.6,1.85297872392E-05,0.000034695,1.18387849117E-05,0.000006691,3.4695303512E-05,0.5651764414,2.9306563905
155.2,1.94895547539E-05,3.41528175949E-05,1.15266060861E-05,7.96294866774E-06,3.415314062E-05,0.6908320288,2.9629966121
156.8,0.000019603,3.42702561513E-05,1.09735279541E-05,8.62949854593E-06,3.42705479178E-05,0.7863923601,3.1230365013
158.4,1.36228027644E-05,3.41083105337E-05,1.06760558984E-05,2.94674686604E-06,3.41085880073E-05,0.2760145595,3.1948698537
160,1.50974242315E-05,3.45656086386E-05,1.03353849908E-05,0.000004762,3.45658652462E-05,0.4607510262,3.3444249781
161.6,1.10205658332E-05,3.38176751993E-05,9.88229376153E-06,1.13827207171E-06,3.38179149899E-05,0.1151829827,3.4220717363
163.2,1.97557112841E-05,3.39942015741E-05,9.66684490552E-06,1.00888663786E-05,3.39944298317E-05,1.0436565888,3.5166260331
