x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,1.3247794837,0.0100407056,1.3247794837,0,0.014199702,0,nan
4,0.9783813948,0.006033759,1.0245410763,-0.0461596815,0.0098338114,-0.0450540077,-0.009604332
8,0.4569073578,0.0050773816,0.4788617583,-0.0219544005,0.006241162,-0.0458470533,-0.0130379585
12,0.1615090646,0.0048159933,0.1445652594,0.0169438051,0.0049390597,0.1172052345,0.0341764607
16,0.0612235105,0.0046016362,0.0389412484,0.022282262,0.0046110915,0.5722020462,0.1184908866
20,0.0394465904,0.004065183,0.0182068012,0.0212397892,0.0040675244,1.1665854399,0.2235817607
24,0.0198683627,0.0041863406,0.0133499797,0.006518383,0.0041875632,0.4882691293,0.3136974479
28,0.0066403404,0.0039078778,0.0103176339,-0.0036772935,0.0039086601,-0.3564086028,-0.3788426208
32,0.0034088882,0.0037774399,0.0077270344,-0.0043181462,0.0037778938,-0.5588361524,-0.4889373338
36,0.0015177103,0.0037983968,0.0055700124,-0.0040523021,0.0037986314,-0.7275211972,-0.682001286
40,0.0002344334,0.0036333532,0.0038634844,-0.003629051,0.0036334712,-0.9393207323,-0.9404917867
44,0.001006095,0.0037096488,0.0025785664,-0.0015724714,0.0037097003,-0.6098238853,-1.438675135
48,-0.0014344112,0.0035269996,0.0016559744,-0.0030903855,0.0035270219,-1.8662037481,-2.1299240856
52,-0.002903788,0.0034301127,0.0010233048,-0.0039270927,0.0034301215,-3.8376570074,-3.352130012
56,-0.0025658766,0.0034905171,0.0006084607,-0.0031743372,0.0034905201,-5.2169966961,-5.736776921
60,-0.0036065637,0.0034418495,0.0003481257,-0.0039546894,0.0034418505,-11.3599458636,-9.8871780103
64,-0.0043520983,0.0034654999,0.0001916531,-0.0045437514,0.0034655002,-23.7082074422,-18.0830434793
68,-0.0022064506,0.0033325175,0.0001015247,-0.0023079753,0.0033325176,-22.733142902,-32.825152239
72,-0.0035620361,0.0033378135,5.17491985801E-05,-0.0036137853,0.0033378135,-69.8326820865,-64.5019816874
76,-0.0043641866,0.0033731265,2.538117295E-05,-0.0043895677,0.0033731265,-172.945818492,-132.905227899
80,-0.0015379124,0.0033803416,1.19783185866E-05,-0.0015498907,0.0033803416,-129.391341938,-282.206716876
84,-0.0007739065,0.0032932799,5.43946444728E-06,-0.000779346,0.0032932799,-143.276233465,-605.442916773
88,-0.0004413685,0.0033809406,2.37679944065E-06,-0.0004437453,0.0033809406,-186.698670705,-1422.47687056
92,-0.0007879874,0.0033933863,9.99321064709E-07,-0.0007889867,0.0033933863,-789.522717318,-3395.69699455
96,0.0012771302,0.0033678755,4.04290613907E-07,0.0012767259,0.0033678755,3157.94103169,8330.36764587
100,-0.0025436283,0.0033268518,1.57383205629E-07,-0.0025437857,0.0033268518,-16163.006049,-21138.8990138
