x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,12.5350576549,0.1404423675,12.5350576549,0,0.1986155008,0,nan
1.6,8.6598626139,0.1431383041,9.301343841,-0.6414812272,0.1770556516,-0.0689665104,-0.0190511679
3.2,3.5662348865,0.0825929826,4.5464815812,-0.9802466947,0.0970378513,-0.2156055572,-0.0214797695
4.8,1.3562606913,0.0280400583,1.6814106474,-0.3251499561,0.0337806568,-0.1933792656,-0.0202071525
6.4,0.8196997695,0.0099543606,0.7545814838,0.0651182857,0.0130600375,0.0862972218,0.0173346426
8,0.5151693219,0.0063825761,0.4456294254,0.0695398965,0.0081034253,0.156048709,0.0182680809
9.6,0.2961158059,0.0042801146,0.237645436,0.05847037,0.0050407011,0.2460403657,0.0213893945
11.2,0.1752963061,0.0018526515,0.1214743477,0.0538219583,0.0022988309,0.4430726266,0.0195646738
12.8,0.1209950304,0.0008891816,0.0760578162,0.0449372142,0.0012315853,0.5908296663,0.0174935634
14.4,0.0989427707,0.0005932417,0.0630540591,0.0358887116,0.0009225049,0.5691736912,0.0159597681
16,0.0804258899,0.0005163767,0.0548070443,0.0256188455,0.0008023154,0.4674370938,0.0155475216
17.6,0.0613845166,0.0005095521,0.040831319,0.0205531976,0.0006847807,0.5033684459,0.0176938353
19.2,0.0444463687,0.000380483,0.0280719578,0.016374411,0.0004936481,0.5833013535,0.0187602126
20.8,0.0329567635,0.000281971,0.0190403617,0.0139164018,0.0003535765,0.730889573,0.020295231
22.4,0.0273763327,0.0002447731,0.0152209654,0.0121553673,0.0002983222,0.7985937135,0.0215451554
24,0.0238212162,0.0002069291,0.0130218268,0.0107993894,0.0002531903,0.8293298313,0.0215496697
25.6,0.0209947975,0.0001945611,0.0110672144,0.0099275831,0.0002307145,0.8970263638,0.0231428409
27.2,0.0182932733,0.0001681263,0.0097272532,0.0085660201,0.0002003595,0.88062065,0.0228388706
28.8,0.0158316484,0.000153313,0.0082901702,0.0075414782,0.0001792543,0.9096891941,0.0239042299
30.4,0.013902604,0.0001486453,0.007311192,0.006591412,0.0001697215,0.9015509443,0.0253163088
32,0.0122830834,0.0001391253,0.0066288405,0.0056542429,0.0001577079,0.8529761606,0.0256388518
33.6,0.0107604235,0.0001260873,0.0060395934,0.0047208301,0.0001430974,0.7816470078,0.0252599161
35.2,0.0095584124,0.0001247533,0.0056208778,0.0039375347,0.0001397475,0.700519535,0.0260716437
36.8,0.0085348766,0.0001207045,0.0051684177,0.0033664589,0.000133876,0.6513519401,0.0269110842
38.4,0.0077253676,0.0001115833,0.0047413023,0.0029840653,0.0001235828,0.6293767337,0.0270021596
40,0.0070196414,0.000106732,0.0044446421,0.0025749993,0.0001177774,0.579349075,0.0272821681
41.6,0.0063685153,0.0001032361,0.0040941058,0.0022744094,0.000112968,0.5555326406,0.0282861277
43.2,0.0057492527,0.0001023153,0.0037507835,0.0019984692,0.0001106093,0.5328137893,0.030087794
44.8,0.005240593,9.82696133537E-05,0.003472809,0.0017677841,0.0001056922,0.5090357929,0.0309639835
46.4,0.0047395391,0.000092106,0.0032395145,0.0015000247,9.89993167667E-05,0.4630399616,0.0309971467
48,0.0044023065,8.96077772504E-05,0.0030202585,0.001382048,9.57842535561E-05,0.4575926333,0.0321256549
49.6,0.0040548527,8.08250567712E-05,0.0028180001,0.0012368526,8.67728656252E-05,0.4389114647,0.0311825516
51.2,0.0037891104,7.72960772508E-05,0.0026995019,0.0010896085,8.30027193932E-05,0.4036331493,0.031078207
52.8,0.0036048465,7.54842345647E-05,0.0025396983,0.0010651482,8.06693209223E-05,0.4193995132,0.0321090375
54.4,0.0034415016,6.98232689685E-05,0.0023952699,0.0010462317,0.000074803,0.4367907375,0.0316105769
56,0.0032516481,6.77101110022E-05,0.0022732742,0.0009783739,0.000072342,0.4303809435,0.0321860722
57.6,0.0030907265,6.67105114289E-05,0.002136567,0.0009541595,7.08753933005E-05,0.4465853495,0.0335477859
59.2,0.0029429883,6.42204473161E-05,0.0020281884,0.0009147999,6.81222056439E-05,0.4510428638,0.0339657456
60.8,0.0027830106,6.06157726848E-05,0.0019033646,0.000879646,6.42575870191E-05,0.4621531822,0.0341547751
62.4,0.0026696058,6.03398403079E-05,0.0017819044,0.0008877013,6.3556852589E-05,0.4981756141,0.0361020116
64,0.0025347261,5.96497403396E-05,0.0016815289,0.0008531972,6.25542113198E-05,0.5073937195,0.0376326494
65.6,0.0024176484,5.69514584229E-05,0.0015769189,0.0008407296,0.000059629,0.5331469935,0.0382825089
67.2,0.0023264667,0.000056841,0.0014839019,0.0008425648,5.92225273314E-05,0.5678035483,0.0404138447
68.8,0.0022368688,5.56691926211E-05,0.0014231207,0.0008137481,5.79075915771E-05,0.5718054479,0.041191815
70.4,0.0021444673,0.000057049,0.001348618,0.0007958493,5.90160719112E-05,0.5901220721,0.044257065
72,0.0020708368,6.11061943798E-05,0.0012977586,0.0007730782,6.2812258969E-05,0.5957025842,0.0488585787
73.6,0.0020012185,6.14857889812E-05,0.001236823,0.0007643955,0.000063028,0.6180314357,0.0514278828
75.2,0.00189306,5.99182774546E-05,0.0011499494,0.0007431106,6.12878233713E-05,0.6462115447,0.0537856324
76.8,0.0017626624,5.44818856845E-05,0.0010714099,0.0006912525,5.578864462E-05,0.6451802066,0.0525696614
78.4,0.0016690566,5.2753407673E-05,0.0009974886,0.0006715681,5.39242169453E-05,0.6732588776,0.0545837084
80,0.0015696119,5.10504794885E-05,0.0009176143,0.0006519976,5.20754142037E-05,0.7105356484,0.0573065147
81.6,0.0015144095,0.000050636,0.0008613604,0.0006530491,5.1547406988E-05,0.758160095,0.0604440298
83.2,0.0014627061,5.1166721147E-05,0.0008207906,0.0006419155,5.19865539839E-05,0.7820697851,0.0639404022
84.8,0.0014304893,0.000049751,0.0007784797,0.0006520096,5.05097764418E-05,0.8375421471,0.0655576489
86.4,0.0013810659,5.0232153391E-05,0.0007360138,0.0006450521,5.09045211589E-05,0.8764130488,0.06985602
88,0.0013449998,0.000048838,0.000706506,0.0006384938,4.94752995868E-05,0.9037345071,0.0707563754
89.6,0.0013070476,0.000049834,0.0006754879,0.0006315597,5.04054217287E-05,0.9349681512,0.0753524451
91.2,0.0012510808,4.90673491196E-05,0.0006438984,0.0006071824,4.95948552716E-05,0.9429785236,0.0777440154
92.8,0.0012147366,4.88483773079E-05,0.0006186589,0.0005960777,4.93377009629E-05,0.963499797,0.0804767415
94.4,0.0011777083,4.902662671E-05,0.0005951753,0.000582533,0.000049478,0.9787587159,0.0838520264
96,0.0011367318,4.81902827828E-05,0.0005717732,0.0005649586,4.86142142653E-05,0.9880816475,0.0857412771
97.6,0.0010949489,4.84157594257E-05,0.0005557555,0.0005391935,4.88145175838E-05,0.9701991215,0.0885045894
99.2,0.0010626925,4.85557066235E-05,0.0005393124,0.0005233801,4.89302330334E-05,0.9704581809,0.0913762691
100.8,0.001035325,4.74072969885E-05,0.0005272917,0.0005080333,0.000047774,0.9634769274,0.0912433759
102.4,0.001009062,4.7908285552E-05,0.0005255935,0.0004834685,4.82688407655E-05,0.9198525049,0.0924132945
104,0.001001415,4.62334865903E-05,0.0005147928,0.0004866221,4.65918651017E-05,0.945277661,0.0911236068
105.6,0.0009926562,4.7390151064E-05,0.0005081464,0.0004845098,4.77309078942E-05,0.9534847478,0.0945369437
107.2,0.0009694203,4.64204158702E-05,0.0005041829,0.0004652373,4.67628538626E-05,0.922755035,0.0933241977
108.8,0.0009429276,0.000046025,0.000493524,0.0004494036,4.63559332128E-05,0.9106011952,0.0944808783
110.4,0.0009487802,4.73995531541E-05,0.0004815878,0.0004671924,4.77056720654E-05,0.9701085747,0.0996536495
112,0.0009252938,4.58195720248E-05,0.0004705778,0.000454716,4.61219116375E-05,0.966292845,0.0986073508
113.6,0.000901799,4.64871720568E-05,0.0004513105,0.0004504885,4.67613626378E-05,0.9981785607,0.1042141991
115.2,0.000864236,4.51261926601E-05,0.0004371904,0.0004270455,4.53912577889E-05,0.9767952201,0.1044001097
116.8,0.0008424038,4.52268075759E-05,0.0004213052,0.0004210986,4.54724669781E-05,0.9995097125,0.1085117628
118.4,0.0008218193,4.53574088211E-05,0.0004031591,0.0004186602,4.55817688225E-05,1.0384492296,0.1136585708
120,0.0007893457,4.53311387804E-05,0.0003882488,0.0004010969,4.5539367594E-05,1.0330926069,0.1178640223
121.6,0.0007674748,4.45272118369E-05,0.0003747771,0.0003926977,4.47247594867E-05,1.0478167858,0.1199130149
123.2,0.0007451084,4.46322021336E-05,0.0003567174,0.000388391,4.48107875091E-05,1.0887917366,0.1262107682
124.8,0.0007272689,4.46704618824E-05,0.0003428975,0.0003843714,4.48353620058E-05,1.1209511912,0.1313561837
126.4,0.000718193,4.43194579381E-05,0.0003327322,0.0003854608,0.000044476,1.1584716781,0.1342976581
128,0.0006660468,4.38525492818E-05,0.0003163238,0.000349723,4.39955292517E-05,1.1055852288,0.1396343296
129.6,0.0006346486,4.42373443041E-05,0.000302565,0.0003320836,0.000044367,1.0975610599,0.1471511007
131.2,0.000611993,4.37175296878E-05,0.0002930434,0.0003189496,4.3840644618E-05,1.0884041759,0.1501007962
132.8,0.000594825,4.42094131085E-05,0.0002787844,0.0003160406,4.43196164715E-05,1.1336381597,0.1594810954
134.4,0.0005616199,4.38166624141E-05,0.0002681149,0.000293505,4.3919513025E-05,1.0946983977,0.1642670586
136,0.0005397821,4.35388519165E-05,0.0002554163,0.0002843659,4.36327951343E-05,1.1133428989,0.1712849501
137.6,0.0005209658,4.36687817112E-05,0.0002433844,0.0002775815,4.37538377548E-05,1.1405065593,0.180226148
139.2,0.0005329779,0.000043168,0.0002339471,0.0002990307,4.32475145024E-05,1.2781977414,0.1854140757
140.8,0.0004969954,4.41494406756E-05,0.0002227615,0.0002742339,4.42199297986E-05,1.2310652728,0.1989865595
142.4,0.000492312,0.000042602,0.0002112828,0.0002810292,4.26677615385E-05,1.3301089886,0.2024953262
144,0.0004787022,4.3415400083E-05,0.0002038292,0.000274873,4.34754210051E-05,1.3485453419,0.2138278227
145.6,0.0004644617,4.32314510032E-05,0.0001940434,0.0002704183,4.32860817346E-05,1.3935974297,0.2236200533
147.2,0.0004483671,4.29014158004E-05,0.0001843663,0.0002640008,4.29511154902E-05,1.4319360718,0.233517936
148.8,0.0004418797,4.28432857268E-05,0.0001771621,0.0002647176,4.28892414628E-05,1.494211078,0.2426685112
150.4,0.0004329221,4.20613281132E-05,0.000170478,0.0002624441,4.21046735515E-05,1.5394608476,0.2475816915
152,0.0004375438,4.23621708566E-05,0.0001620558,0.0002754881,4.24010632963E-05,1.6999581121,0.2623371705
153.6,0.0004156719,4.2005256167E-05,0.0001562573,0.0002594147,4.20417233359E-05,1.6601764067,0.2696966759
155.2,0.0004121764,4.1662944273E-05,0.0001521369,0.0002600395,4.16977981607E-05,1.7092463967,0.2747489598
156.8,0.0004056316,0.00004196,0.000144837,0.0002607946,4.19913297574E-05,1.8006080661,0.290622405
158.4,0.0004027784,4.13014063903E-05,0.0001409107,0.0002618677,4.13315696437E-05,1.8583943974,0.2940555441
160,0.0004091031,4.20542233789E-05,0.0001364143,0.0002726888,0.000042082,1.9989758857,0.3092986306
161.6,0.0003936175,4.09425226674E-05,0.000130434,0.0002631835,4.09685951608E-05,2.017751654,0.3149068903
163.2,0.0003930221,4.13314266434E-05,0.0001275904,0.0002654317,4.1356140424E-05,2.0803429238,0.324969101
164.8,0.0004022796,0.000041578,0.0001238453,0.0002784343,4.16011020921E-05,2.2482425583,0.3368549341
166.4,0.0004207047,0.00004089,0.0001179219,0.0003027827,4.09113413311E-05,2.5676542467,0.3481264997
168,0.0004183291,4.1761427099E-05,0.0001155171,0.000302812,4.17814776791E-05,2.6213595258,0.3628811637
169.6,0.0004020474,4.06537335107E-05,0.0001117329,0.0002903146,0.000040673,2.5982914297,0.3651821905
171.2,0.000411916,4.10138916154E-05,0.0001067712,0.0003051447,4.10313337181E-05,2.8579301043,0.385623709
172.8,0.0004109251,4.1558493975E-05,0.0001041287,0.0003067964,4.1574866258E-05,2.9463192942,0.4006265051
174.4,0.0004087526,4.12386974221E-05,0.0001004915,0.0003082611,4.12540643182E-05,3.0675354764,0.4119591896
176,0.0003902482,4.10222787205E-05,9.63667862956E-05,0.0002938815,4.10364847724E-05,3.0496136049,0.4272049518
177.6,0.000399761,4.06174101813E-05,9.42816562188E-05,0.0003054793,4.06311437175E-05,3.2400717611,0.4324811606
179.2,0.0004020832,4.0903544154E-05,9.01268993507E-05,0.0003119563,0.000040916,3.4613010409,0.4556355263
180.8,0.0004040657,4.04822222312E-05,8.72735694032E-05,0.0003167922,0.000040494,3.6298753181,0.4657685339
182.4,0.0003964738,4.03979354926E-05,8.57981347425E-05,0.0003106757,4.04093708219E-05,3.6210071698,0.4727260003
184,0.0004049331,4.05025654026E-05,8.27846155011E-05,0.0003221485,4.05131841535E-05,3.8914054577,0.4913188905
185.6,0.0004101902,4.08131920917E-05,8.01499043033E-05,0.0003300403,4.08230700347E-05,4.1177881451,0.5114191986
187.2,0.0004055363,4.04964407673E-05,7.78375863286E-05,0.0003276987,4.05058298927E-05,4.2100317305,0.5225224528
188.8,0.0004013976,3.99646176342E-05,0.000075618,0.0003257796,3.997359687E-05,4.3082288695,0.5308246987
190.4,0.000401815,3.98129284947E-05,7.35814734251E-05,0.0003282335,3.98214630305E-05,4.4608176827,0.5434915921
192,0.0004040772,3.98401821312E-05,7.19867978238E-05,0.0003320904,3.98483452012E-05,4.6132125675,0.5559585355
193.6,0.0004036423,4.00904294585E-05,7.00562925889E-05,0.000333586,4.00981123659E-05,4.7616847022,0.5748508377
195.2,0.0004041557,3.94904019147E-05,6.75974516224E-05,0.0003365583,3.94976636896E-05,4.9788601215,0.5869637154
196.8,0.0003904187,3.89274049684E-05,6.62325144333E-05,0.0003241862,3.8934477277E-05,4.8946680589,0.5903978127
198.4,0.0003865538,3.99408336359E-05,6.46668592114E-05,0.0003218869,3.99474045275E-05,4.9776175313,0.6202538074
200,0.0003701828,3.92252228282E-05,6.25205635011E-05,0.0003076622,3.92314768493E-05,4.9209766849,0.6299146852
201.6,0.0003552048,3.98330544633E-05,6.16062849304E-05,0.0002935986,0.000039839,4.7657240201,0.6488722321
203.2,0.0003384964,3.89797812687E-05,5.95566989271E-05,0.0002789397,3.89854921566E-05,4.6835998352,0.6566945068
204.8,0.0003370134,3.87953573148E-05,5.7551251774E-05,0.0002794621,3.88007154469E-05,4.8558824779,0.6763857102
