x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,10.8878682933,0.0899217056,10.8878682933,0,0.1271684956,0,nan
2,9.5458899598,0.0531730328,9.2101067287,0.3357832311,0.0928078382,0.0364581259,0.0100812363
4,6.5662480969,0.0447156727,5.6362357613,0.9300123356,0.0645469248,0.1650059321,0.0115329309
6,4.0711098467,0.0422753936,2.6245952544,1.4465145923,0.0475086142,0.5511381574,0.0186648396
8,2.3900408784,0.0403309207,1.087841905,1.3021989733,0.0413195112,1.1970479969,0.0392485391
10,1.4196467692,0.0355336515,0.5396336699,0.8800130993,0.0358120543,1.6307601777,0.0677165186
12,0.9209592528,0.0365463541,0.3619295893,0.5590296634,0.0366683915,1.5445812664,0.1021135424
14,0.6707312285,0.0340113452,0.2755230736,0.3952081549,0.0340873814,1.434392226,0.1242846667
16,0.4799947206,0.0327834503,0.209956901,0.2700378196,0.0328292767,1.286158342,0.1567223683
18,0.3461844616,0.0327751707,0.155200949,0.1909835126,0.0328002255,1.2305563455,0.211584588
20,0.2916063708,0.0312487171,0.1107791655,0.1808272054,0.0312621078,1.632321426,0.2825238752
22,0.2895775271,0.0317662082,0.0763174097,0.2132601175,0.0317724607,2.7943835938,0.4169591389
24,0.239078696,0.030101513,0.0507431161,0.1883355799,0.0301044302,3.7115493535,0.5940625877
26,0.2188939417,0.0291171944,0.0325625146,0.1863314271,0.0291184363,5.7222677409,0.8954797554
28,0.1732267862,0.0294815935,0.0201672185,0.1530595678,0.029482064,7.5895229706,1.4632236993
30,0.1371355802,0.0288995074,0.0120548368,0.1250807434,0.0288996789,10.3759798484,2.3988824193
32,0.1424028525,0.0289651847,0.0069544683,0.1354483842,0.0289652416,19.4764544367,4.168087909
34,0.1177332768,0.027663884,0.0038721644,0.1138611123,0.0276639024,29.4050304223,7.1484259465
36,0.1109518485,0.0274998873,0.0020808027,0.1088710458,0.0274998926,52.3216560503,13.2230642055
38,0.1132791089,0.0275500423,0.0010791835,0.1121999254,0.0275500437,103.967420048,25.5430359692
40,0.0760417747,0.0274213577,0.0005401905,0.0755015842,0.027421358,139.768437725,50.7755064998
42,0.0976373661,0.0264979478,0.0002609672,0.0973763989,0.0264979479,373.136591196,101.584232275
44,0.0836551653,0.0269497688,0.000121678,0.0835334873,0.0269497688,686.512677581,221.55688328
46,0.0929772659,0.0268467592,5.47552159124E-05,0.0929225107,0.0268467592,1697.05313235,490.505341721
48,0.0677606046,0.0263855991,2.37807860146E-05,0.0677368238,0.0263855991,2848.38456318,1109.78371449
50,0.0873718225,0.0257958587,9.96814113767E-06,0.0873618543,0.0257958587,8764.10688017,2588.84247015
52,0.0580987036,0.0255939403,4.03263965219E-06,0.0580946709,0.0255939403,14406.1150888,6347.81169559
54,0.0441130007,0.0261331609,1.57453354656E-06,0.0441114262,0.0261331609,28015.5518118,16599.0112998
56,0.050776477,0.0260622003,5.9333734525E-07,0.0507758837,0.0260622003,85576.753407,43930.4455065
58,0.0462475324,0.0252727055,2.15793676625E-07,0.0462473166,0.0252727055,214312.65871,117128.509145
60,0.0573798202,0.0254814049,7.57465765161E-08,0.0573797444,0.0254814049,757522.611195,336461.558657
62,0.0378729332,0.0249072179,2.56610585613E-08,0.0378729075,0.0249072179,1475890.30412,970699.699303
64,0.0256854936,0.0252338374,8.39022081439E-09,0.0256854852,0.0252338374,3061359.86132,3007635.86866
66,0.021092906,0.0250327502,2.64764331821E-09,0.0210929034,0.0250327502,7966671.05021,9454958.00272
68,0.0187658501,0.0245338089,8.06367154391E-10,0.0187658493,0.0245338089,23272090.4291,30425716.4947
70,0.0092169571,0.0251456845,2.37024612413E-10,0.0092169568,0.0251456845,38886074.8384,106089403.279
72,0.01851237,0.0245295972,6.7242108791E-11,0.0185123699,0.0245295972,275309181.534,364802266.944
74,0.0142703887,0.024679298,1.84109614675E-11,0.0142703886,0.024679298,775102846.441,1340482919.84
76,0.0239744081,0.0240508253,4.86517960382E-12,0.0239744081,0.0240508253,4927753974.5,4943628451.29
