x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,2.2209630453,0.0335868096,2.2209630453,0,0.0474989216,0,nan
1.6,1.6227171453,0.0286533655,1.648013237,-0.0252960917,0.0379754707,-0.0153494469,-0.0230443522
3.2,0.7884316757,0.0194111138,0.8055461615,-0.0171144858,0.0229170669,-0.0212458163,-0.0284509186
4.8,0.3574672578,0.0084581537,0.2979125437,0.0595547141,0.0095831827,0.1999067021,0.0323095152
6.4,0.2071328798,0.0028017072,0.1336968394,0.0734360404,0.0034550591,0.5492728228,0.0271446382
8,0.1322613226,0.0016435378,0.078956676,0.0533046466,0.0020314849,0.6751125978,0.0276806889
9.6,0.0877035208,0.001192506,0.0421060473,0.0455974735,0.0013518604,1.0829198264,0.0360415568
11.2,0.0570438458,0.0006057685,0.0215228398,0.035521006,0.0006876729,1.6503865851,0.0405434058
12.8,0.0400030494,0.0003187327,0.0134759332,0.0265271163,0.0003783141,1.9684808416,0.0409179821
14.4,0.0306212627,0.0002217394,0.0111719259,0.0194493368,0.0002787689,1.7409117233,0.0362733187
16,0.0241816535,0.0001819235,0.0097107188,0.0144709347,0.0002337982,1.4902022172,0.0329777134
17.6,0.0190459004,0.0001637949,0.0072344981,0.0118114024,0.0001969725,1.6326498697,0.0367545225
19.2,0.0148861432,0.0001354418,0.0049737929,0.0099123503,0.0001549259,1.9929157711,0.0433420451
20.8,0.0120598165,0.0001149727,0.0033735736,0.0086862429,0.0001257835,2.5747897933,0.0539101506
22.4,0.0103840159,0.0001100653,0.0026968525,0.0076871634,0.0001173783,2.8504204084,0.0612574129
24,0.0091699245,0.0001027525,0.0023072089,0.0068627156,0.0001085149,2.9744665811,0.0650803989
25.6,0.0081743478,0.00010187,0.0019608904,0.0062134574,0.0001060983,3.1686918185,0.072275967
27.2,0.0073062419,0.000094305,0.0017234759,0.0055827659,9.78404105545E-05,3.2392480149,0.074982467
28.8,0.0064558989,0.000092229,0.0014688534,0.0049870456,9.48662207854E-05,3.3951963404,0.0825075088
30.4,0.0058010098,8.95594948437E-05,0.0012953979,0.0045056119,0.000091677,3.4781683588,0.0881772909
32,0.0053015622,8.43252536049E-05,0.0011744988,0.0041270634,8.61755172775E-05,3.5138933814,0.0905939402
33.6,0.0048359555,7.95490947735E-05,0.0010700959,0.0037658596,8.11784282502E-05,3.5191795739,0.0926669557
35.2,0.0044693403,7.86737001043E-05,0.0009959078,0.0034734324,8.01022923129E-05,3.4877048013,0.0961824781
36.8,0.004242415,7.79441857969E-05,0.0009157409,0.0033266741,7.91648574562E-05,3.632767953,0.1024280262
38.4,0.0040545068,7.41886370623E-05,0.0008400645,0.0032144423,7.52684872239E-05,3.8264231733,0.1066597914
40,0.0039474744,7.15298720806E-05,0.0007875022,0.0031599721,7.25144774455E-05,4.0126516477,0.1102783383
41.6,0.0038227539,6.9981358013E-05,0.0007253942,0.0030973598,7.08359267399E-05,4.2698988733,0.1170700635
43.2,0.0036708061,0.000071818,0.0006645643,0.0030062418,7.25177432142E-05,4.5236282487,0.1287911077
44.8,0.0034610836,6.97342076369E-05,0.0006153127,0.0028457709,7.03522956514E-05,4.6249180579,0.1340314111
46.4,0.0032226513,6.77747956485E-05,0.0005739776,0.0026486737,6.83283706312E-05,4.61459441,0.137990237
48,0.0030486903,6.85228885397E-05,0.0005351298,0.0025135605,6.89991011746E-05,4.6971046821,0.1472103822
49.6,0.0028838991,6.5397280784E-05,0.0004992936,0.0023846055,6.58317279864E-05,4.7759584174,0.1503356641
51.2,0.0027787073,6.70662249103E-05,0.0004782981,0.0023004092,6.7455145413E-05,4.8095722685,0.1586822614
52.8,0.002609356,6.74983465558E-05,0.0004499841,0.0021593719,6.78405044825E-05,4.7987742337,0.1673188751
54.4,0.0024212414,6.50446259155E-05,0.0004243942,0.0019968472,6.53604891765E-05,4.7051706685,0.1696517514
56,0.002293719,6.62246866776E-05,0.000402779,0.00189094,6.65042131818E-05,4.6947332662,0.1797302764
57.6,0.0021796631,6.4155706858E-05,0.0003785572,0.0018011059,6.44106190565E-05,4.7578169948,0.1847352989
59.2,0.0020627048,6.4158111058E-05,0.0003593547,0.0017033502,6.43878544197E-05,4.7400251516,0.1929829567
60.8,0.0019654335,6.31672595066E-05,0.0003372384,0.0016281951,6.33728016009E-05,4.8280244459,0.2016025567
62.4,0.0018825162,0.000061969,0.000315718,0.0015667981,6.21526539435E-05,4.9626498482,0.2106812994
64,0.001798687,6.28799001365E-05,0.0002979335,0.0015007535,6.30411113724E-05,5.0372097416,0.2248889222
65.6,0.0017318582,5.96741530497E-05,0.0002793987,0.0014524595,5.98235507691E-05,5.1985196647,0.2280915554
67.2,0.0016557305,6.01518662535E-05,0.0002629179,0.0013928125,6.02831293103E-05,5.2975184596,0.2428777511
68.8,0.0016529988,0.00005887,0.0002521487,0.0014008501,5.89933288281E-05,5.5556509685,0.2485902925
70.4,0.001674911,6.09851812684E-05,0.0002389483,0.0014359627,6.10921428331E-05,6.0095121494,0.271342497
72,0.001687535,6.07743694172E-05,0.000229937,0.0014575979,6.0873765031E-05,6.3391179028,0.2815630422
73.6,0.0016884753,6.00544053409E-05,0.0002191404,0.0014693349,6.01457734854E-05,6.7049918616,0.2925933859
75.2,0.0016318674,6.04884893439E-05,0.0002037482,0.0014281192,6.05669149917E-05,7.0092368159,0.3155966494
76.8,0.0015401348,5.92237138277E-05,0.0001898325,0.0013503023,5.92932507782E-05,7.1131234021,0.3303491202
78.4,0.00146876,5.94576076404E-05,0.0001767352,0.0012920249,5.95176481075E-05,7.3105143605,0.3544442821
80,0.0014299904,5.70455530025E-05,0.000162583,0.0012674074,5.70985134697E-05,7.7954481991,0.3704540325
