x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,8.4994585741,0.1838554717,8.4994585741,0,0.2600109016,0,nan
2,7.1177648783,0.1088597642,7.189738018,-0.0719731397,0.1898374784,-0.0100105372,-0.0264048373
4,4.6362378883,0.0911552476,4.3998467906,0.2363910977,0.1317860326,0.0537271203,0.0299749529
6,2.7387615166,0.086164775,2.0488527265,0.6899087901,0.0968947743,0.3367293223,0.0478498581
8,1.5016201956,0.0823441164,0.8492082158,0.6524119798,0.0843682131,0.7682591474,0.1007296023
10,0.8440380945,0.0726403254,0.421257302,0.4227807925,0.073209649,1.0036165319,0.1751391763
12,0.5499078218,0.0746175159,0.2825351546,0.2673726673,0.0748673883,0.9463341567,0.2657738485
14,0.3057598177,0.0694992537,0.2150831446,0.0906766731,0.0696548099,0.4215889317,0.3239789983
16,0.1722818241,0.0669899205,0.1638998502,0.0083819739,0.0670836734,0.0511408271,0.4092982288
18,0.0800140306,0.0671157366,0.1211553998,-0.0411413692,0.0671668855,-0.3395752006,-0.5544348924
20,0.0698919296,0.0639951892,0.0864781702,-0.0165862406,0.0640225238,-0.1917968495,-0.7403432444
22,0.0590675824,0.0651471752,0.0595760937,-0.0005085113,0.0651599204,-0.0085354928,-1.0937259767
24,0.0353687112,0.061676161,0.0396118875,-0.0042431763,0.0616821129,-0.1071187607,-1.5571633946
26,-0.0277892991,0.0596582787,0.0254194611,-0.0532087602,0.0596608126,-2.0932292786,-2.3474893436
28,-0.0753931776,0.0603318629,0.0157432505,-0.0911364281,0.060332824,-5.7889206637,-3.8343431014
30,-0.0577827782,0.0592782617,0.0094104358,-0.067193214,0.0592786112,-7.1402871598,-6.3011351513
32,-0.0739939442,0.0593317511,0.0054289061,-0.0794228503,0.0593318673,-14.6296230639,-10.933461476
34,-0.0497620134,0.0567273136,0.0030227497,-0.0527847632,0.0567273513,-17.4624986415,-18.770604991
36,-0.111944514,0.0563518332,0.0016243489,-0.1135688629,0.0563518441,-69.9165453898,-34.7249091793
38,-0.0639597222,0.0564153917,0.0008424492,-0.0648021714,0.0564153946,-76.9211652086,-66.9866019551
40,-0.0414145058,0.0561523815,0.000421692,-0.0418361978,0.0561523822,-99.2103201893,-133.176998816
42,-0.0600643675,0.0542533481,0.0002037203,-0.0602680878,0.0542533483,-295.837442473,-266.389818662
44,-0.0653152401,0.0552924183,9.49861868542E-05,-0.0654102263,0.0552924184,-688.628825687,-582.300657488
46,-0.0375583946,0.0550408377,4.27438757363E-05,-0.0376011385,0.0550408377,-879.684817033,-1287.83003777
48,-0.0769757013,0.0541567907,1.85641302912E-05,-0.0769942654,0.0541567907,-4147.47495205,-2918.66053
50,-0.0862200695,0.0530555077,7.78148673164E-06,-0.086227851,0.0530555077,-11081.1537667,-6822.38326215
52,-0.0423688474,0.0525578804,0.000003148,-0.0423719954,0.0525578804,-13459.8771911,-16698.0613944
54,-0.0823802208,0.0537048736,1.22913708101E-06,-0.0823814499,0.0537048736,-67023.8098035,-43717.1995492
56,-0.0794775145,0.0536037262,4.6318030771E-07,-0.0794779776,0.0536037262,-171591.875403,-115789.225915
58,-0.0912426135,0.0519749002,1.68456245576E-07,-0.091242782,0.0519749002,-541640.837722,-308758.881094
60,-0.1104298356,0.0524185829,5.91304809981E-08,-0.1104298947,0.0524185829,-1867562.93572,-887410.056074
62,-0.0588718037,0.0512796684,0.00000002,-0.0588718237,0.0512796684,-2938898.03715,-2560684.76578
64,-0.0389547772,0.0520271203,6.54970581184E-09,-0.0389547837,0.0520271203,-5947562.35872,-7944470.37056
66,-0.0707110787,0.0517235335,2.06684486768E-09,-0.0707110807,0.0517235335,-34212089.0818,-25036298.5404
68,-0.0506047166,0.0507115046,6.29478979687E-10,-0.0506047173,0.0507115046,-80391433.07,-80579843.677
