x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,1.0528026918,0.0181699398,1.0528026918,0,0.0256961753,0,nan
1.6,0.7334268737,0.012686312,0.7812074027,-0.047780529,0.0185127618,-0.0611624119,-0.0237211252
3.2,0.3064972446,0.0081712938,0.3818528944,-0.0753556498,0.0104976939,-0.197342094,-0.0277016294
4.8,0.1149227846,0.0031967381,0.1412194267,-0.0262966421,0.0040198689,-0.1862112224,-0.0286462524
6.4,0.0623355737,0.0010960177,0.0633762875,-0.0010407138,0.0015484275,-0.0164211861,-0.0244339292
8,0.0389183168,0.0006115034,0.0374278182,0.0014904987,0.0008894896,0.0398232851,0.0237754048
9.6,0.0211712555,0.0003641279,0.0199595217,0.0012117339,0.00050125,0.0607095646,0.0251351767
11.2,0.0129626119,0.0001888707,0.0102024677,0.0027601443,0.000258218,0.2705369307,0.0257364473
12.8,0.009563355,0.000122703,0.006387994,0.0031753609,0.0001649566,0.4970826381,0.0272106812
14.4,0.008115665,0.0001089299,0.0052958259,0.0028198391,0.0001421951,0.5324644622,0.0283794645
16,0.0067360871,9.74288915613E-05,0.0046031702,0.002132917,0.0001257132,0.4633582641,0.0284568868
17.6,0.0052425276,9.43958439946E-05,0.0034293678,0.0018131599,0.0001114163,0.5287154927,0.0337459661
19.2,0.0039867058,0.000086017,0.0023577261,0.0016289797,9.51561677075E-05,0.6909113388,0.042083953
20.8,0.00327689,7.73398377377E-05,0.0015991745,0.0016777155,8.21169097939E-05,1.0491135213,0.0544482749
22.4,0.0028052282,7.54167279957E-05,0.0012783885,0.0015268397,7.85777930423E-05,1.194347223,0.0648304879
24,0.0024795937,7.03592973869E-05,0.0010936858,0.0013859079,7.28472114566E-05,1.2671902329,0.0701056233
25.6,0.0022386821,6.8931081593E-05,0.0009295205,0.0013091616,7.07732154641E-05,1.4084268385,0.0799254501
27.2,0.0019731135,6.45206636424E-05,0.000816979,0.0011561346,6.60433527806E-05,1.4151338328,0.0844473774
28.8,0.0017881734,6.35816006557E-05,0.0006962803,0.0010918931,6.47072221433E-05,1.5681804274,0.0967935256
30.4,0.0015745946,6.19123572333E-05,0.0006140572,0.0009605374,6.28128422106E-05,1.5642474451,0.1057940451
32,0.0014465136,6.10998550159E-05,0.0005567474,0.0008897662,6.18507836306E-05,1.5981505113,0.1144658572
33.6,0.0013313828,5.93999420032E-05,0.0005072574,0.0008241254,6.00416157152E-05,1.6246692427,0.1216410184
35.2,0.0012352366,6.1025071422E-05,0.00047209,0.0007631466,6.15665754699E-05,1.6165277356,0.1333636203
36.8,0.0011341468,0.000059116,0.0004340885,0.0007000584,5.95887984527E-05,1.612708945,0.1400666604
38.4,0.0010718329,5.81313888258E-05,0.0003982156,0.0006736173,5.85362435473E-05,1.6915893611,0.1498674336
40,0.0009979108,5.73968232956E-05,0.0003732995,0.0006246113,5.77572761715E-05,1.673217412,0.1573928026
41.6,0.0009343199,5.66182568586E-05,0.0003438585,0.0005904614,5.69284255699E-05,1.7171641967,0.1681893238
43.2,0.000847322,5.77132553082E-05,0.0003150233,0.0005322987,5.79687797153E-05,1.689712255,0.1863107131
44.8,0.000808309,5.6018325254E-05,0.0002916766,0.0005166325,5.62440513958E-05,1.7712512223,0.1952382477
