x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.0244938318,0.0008898383,0.0244938318,0,0.0012584215,0,nan
3.2,0.0184216493,0.0007489466,0.0186751726,-0.0002535234,0.0010105533,-0.0135754227,-0.0541143716
6.4,0.0080357355,0.0004526834,0.0088529679,-0.0008172323,0.0005553033,-0.0923116803,-0.0628146921
9.6,0.003211884,0.0002040358,0.0028204544,0.0003914296,0.0002283191,0.138782466,0.081108026
12.8,0.0019786802,0.0001265848,0.0011190546,0.0008596255,0.0001329529,0.7681712088,0.1220417587
16,0.0013460446,0.0001004318,0.000769516,0.0005765286,0.0001042501,0.7492093836,0.1381820143
19.2,0.0009283703,9.86299129412E-05,0.0004439682,0.0004844021,0.00009994,1.0910738518,0.2285693472
22.4,0.0006224481,9.29977412097E-05,0.0002219956,0.0004004524,9.334678589E-05,1.8038752171,0.4255652933
25.6,0.0004622727,8.10424751552E-05,0.0001203995,0.0003418733,8.11604254883E-05,2.8394920264,0.6819402727
28.8,0.0003742342,8.73232718965E-05,8.78557221521E-05,0.0002863785,8.73815820122E-05,3.2596456499,1.0016280723
32,0.0003275332,0.000078492,7.67323755902E-05,0.0002508008,7.85415037304E-05,3.268513778,1.0304415548
35.2,0.0002901122,8.16427880903E-05,6.16145479259E-05,0.0002284976,8.16734674215E-05,3.7085009745,1.3323839788
38.4,0.0002557669,7.53108961861E-05,4.54472711562E-05,0.0002103196,0.000075329,4.6277725003,1.6660077225
41.6,0.0001970481,7.42354637855E-05,3.54519188892E-05,0.0001615962,7.42466353543E-05,4.5581797486,2.100827552
44.8,0.0001741506,6.988215993E-05,2.84872028849E-05,0.0001456634,6.98898227436E-05,5.1132923229,2.4603986499
48,0.0001324968,7.31121077682E-05,2.27338470621E-05,0.000109763,7.31167724442E-05,4.8281739282,3.220987083
51.2,0.0001179345,7.08775177535E-05,1.84539037391E-05,9.94805833403E-05,7.08806883215E-05,5.3907609331,3.8459485389
54.4,0.0001201363,6.42607071995E-05,1.52547861594E-05,0.0001048815,6.42630968669E-05,6.875318055,4.220049666
57.6,0.0001028897,6.75708020845E-05,1.29228141954E-05,8.99669188841E-05,6.75724329895E-05,6.9618674016,5.2350386596
60.8,0.000087112,7.08729100672E-05,1.12022161713E-05,7.590973395E-05,7.08740784975E-05,6.7763139712,6.3315784276
64,7.89443981631E-05,6.86704684338E-05,1.00148461243E-05,6.89295520387E-05,6.86714322501E-05,6.8827370069,6.8615207744
67.2,0.000060942,6.50659235021E-05,8.90412093111E-06,5.20378541205E-05,6.5066727592E-05,5.8442438645,7.3105684404
70.4,5.74524881786E-05,6.86503782359E-05,8.0553885854E-06,4.93970995932E-05,0.000068651,6.1321808463,8.5252812093
73.6,5.46726706726E-05,6.71077358955E-05,7.25753244931E-06,4.74151382233E-05,6.71082538391E-05,6.5332313089,9.2497495571
76.8,5.03084477136E-05,6.56624980211E-05,0.000006485,4.38234642868E-05,6.5662920668E-05,6.7576833127,10.1283556428
