x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,0.5025698496,0.0092166223,0.5025698496,0,0.0130342723,0,nan
4,0.3890743381,0.0055024184,0.3886710664,0.0004032717,0.0090045891,0.0010375656,0.023167642
8,0.2250247403,0.0046565269,0.1816615405,0.0433631998,0.005725562,0.238703248,0.0318202983
12,0.112927078,0.0044093172,0.054842441,0.0580846369,0.004522568,1.0591183736,0.0847212696
16,0.0567396292,0.0042308966,0.0147727962,0.041966833,0.0042395616,2.8408185116,0.2916748202
20,0.0344247094,0.0037319235,0.0069069528,0.0275177566,0.0037340725,3.9840661264,0.5455399849
24,0.0223260574,0.0038430138,0.0050644635,0.017261594,0.003844136,3.4083756424,0.7616104178
28,0.0192699184,0.0035843234,0.0039141093,0.0153558091,0.0035850421,3.9231937106,0.9187493858
32,0.0136191542,0.0034671399,0.0029313365,0.0106878177,0.0034675566,3.6460561849,1.1848151006
36,0.0111267305,0.0034790226,0.0021130462,0.0090136843,0.0034792384,4.2657298268,1.6484083248
40,0.0107162766,0.0033295566,0.0014656558,0.0092506208,0.0033296651,6.3115915043,2.2747387639
44,0.009543398,0.0033994362,0.0009782079,0.0085651901,0.0033994835,8.7560017848,3.478923643
48,0.0049615244,0.0032358782,0.0006282123,0.0043333121,0.0032358988,6.8978465094,5.1525166877
52,0.0025083369,0.0031472916,0.0003882021,0.0021201348,0.0031472997,5.4614209148,8.1079936138
56,0.002554133,0.0032052347,0.0002308263,0.0023233067,0.0032052375,10.0651721059,13.8871537272
60,0.0011592998,0.0031550754,0.0001320654,0.0010272344,0.0031550763,7.7782269734,23.8906880999
64,0.000122039,0.0031798292,7.27057367071E-05,4.93332598449E-05,0.0031798295,0.6785332503,43.73560827
68,-0.000897711,0.0030571261,3.85145223947E-05,-0.0009362255,0.0030571261,-24.3083774126,-79.3771848177
72,-0.0005755549,0.0030596044,1.9631634751E-05,-0.0005951866,0.0030596044,-30.3177276088,-155.851710295
