x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.8604977849,0.0085069455,0.8604977849,0,0.0120306377,0,nan
1.6,0.652319566,0.0113279682,0.6385120828,0.0138074832,0.0129679984,0.0216244665,0.0203108401
3.2,0.3210266413,0.007346865,0.3121036566,0.0089229847,0.0079684762,0.0285898114,0.0255330698
4.8,0.1505265168,0.0033480212,0.1154242906,0.0351022262,0.0035371372,0.3041147237,0.0307917805
6.4,0.0824840087,0.001642665,0.0517999768,0.0306840319,0.0017206374,0.5923560937,0.0337292106
8,0.0436777826,0.000755452,0.0305912541,0.0130865286,0.0008137383,0.4277865997,0.0269344501
9.6,0.0231469059,0.0004462135,0.016313716,0.0068331898,0.0004744652,0.4188616389,0.0293771301
11.2,0.0134600797,0.0002340272,0.0083388852,0.0051211944,0.0002481228,0.6141341801,0.0303680123
12.8,0.009111875,0.0001491861,0.0052211633,0.0038907117,0.0001578632,0.745181013,0.0311197947
14.4,0.0071912475,0.0001229651,0.0043284905,0.002862757,0.0001301982,0.6613753604,0.0307817749
16,0.0059028564,0.0001099366,0.0037623553,0.0021405011,0.0001160583,0.5689258328,0.0313558111
17.6,0.0045306795,0.0001097732,0.0028029595,0.0017277199,0.0001132167,0.616391314,0.0408489135
19.2,0.0034834544,9.69868597729E-05,0.0019270639,0.0015563905,9.884025149E-05,0.8076485815,0.0519083495
20.8,0.0026352008,0.000091649,0.0013070693,0.0013281315,9.25554561189E-05,1.0161140736,0.071520412
22.4,0.0021783497,8.86032995052E-05,0.0010448781,0.0011334716,8.9203409533E-05,1.0847884244,0.0860430225
24,0.0018490072,8.35191844238E-05,0.0008939132,0.000955094,8.39854267451E-05,1.0684415624,0.094544451
25.6,0.0015824082,8.17422383693E-05,0.0007597343,0.0008226739,8.20865732332E-05,1.0828441765,0.1085754465
27.2,0.001373391,7.97265096907E-05,0.0006677496,0.0007056414,7.99993445497E-05,1.0567455061,0.1202590393
28.8,0.0011772843,7.63626801225E-05,0.0005690977,0.0006081866,7.65696571734E-05,1.0686856591,0.1349598758
30.4,0.0010435422,0.000076068,0.0005018935,0.0005416486,7.62296935188E-05,1.0792101953,0.1522584567
32,0.0009672198,7.67399454541E-05,0.000455052,0.0005121679,7.68716939435E-05,1.1255151052,0.1692955401
33.6,0.0008630635,7.32719249835E-05,0.0004146017,0.0004484617,7.33864770908E-05,1.0816686799,0.1773274689
35.2,0.0007803943,7.29346300132E-05,0.000385858,0.0003945363,7.30343179103E-05,1.0224906857,0.1895474143
36.8,0.0006978882,7.1494517661E-05,0.0003547979,0.0003430903,7.1580507278E-05,0.9670020677,0.2019764614
38.4,0.000663826,7.05423582169E-05,0.0003254776,0.0003383484,7.06157055329E-05,1.0395445468,0.2172035481
40,0.0006408704,6.71827542972E-05,0.0003051127,0.0003357578,6.72504345113E-05,1.1004386814,0.2206801367
41.6,0.0005807136,6.64968954465E-05,0.0002810493,0.0002996644,6.6554917349E-05,1.0662341952,0.2370431874
43.2,0.0005571249,6.83005703259E-05,0.0002574811,0.0002996438,0.000068348,1.1637504738,0.2656977224
44.8,0.0005084677,6.57437747825E-05,0.0002383989,0.0002700687,0.000065786,1.1328436621,0.2761764117
46.4,0.0004879112,6.45174633698E-05,0.0002223839,0.0002655273,6.4554910728E-05,1.194003917,0.2905257942
48,0.0004752926,6.53160721888E-05,0.0002073326,0.0002679601,6.53482255162E-05,1.2924165849,0.3154443925
49.6,0.0004686001,6.41451567209E-05,0.0001934481,0.000275152,6.4173659441E-05,1.4223556739,0.332033708
51.2,0.0004201109,6.4093636126E-05,0.0001853135,0.0002347974,6.41198136361E-05,1.2670278939,0.3462338934
52.8,0.0004233802,6.40281433045E-05,0.0001743434,0.0002490368,6.40513375009E-05,1.4284269387,0.367657343
54.4,0.0003744436,6.27423353549E-05,0.0001644288,0.0002100148,6.2763389616E-05,1.2772388617,0.3819143775
56,0.000395014,6.39211606787E-05,0.0001560541,0.0002389599,6.39397755659E-05,1.5312627286,0.4100077615
57.6,0.0003855724,6.23593697723E-05,0.0001466695,0.0002389029,6.23762251018E-05,1.6288513027,0.4255888628
59.2,0.0003657506,6.19282198718E-05,0.0001392296,0.000226521,6.19435145028E-05,1.6269593202,0.4451924093
60.8,0.0003387929,6.09674634921E-05,0.0001306608,0.0002081321,6.09811458758E-05,1.59291855,0.4669788912
62.4,0.0003607378,6.08390587032E-05,0.0001223229,0.0002384149,6.08510760358E-05,1.9490616738,0.4978356266
64,0.0003272028,0.00006115,0.0001154324,0.0002117704,6.11605992511E-05,1.8345838906,0.5301493885
65.6,0.0003431888,5.95215681729E-05,0.0001082512,0.0002349376,5.95311881464E-05,2.1702999937,0.5503539218
67.2,0.0003086348,5.956328697E-05,0.0001018658,0.000206769,5.95717996308E-05,2.0298164183,0.5851505723
68.8,0.0002943661,5.96183619716E-05,9.769338236E-05,0.0001966727,5.96261843632E-05,2.0131630903,0.6106644607
70.4,0.0002855143,5.96324492488E-05,0.000092579,0.0001929354,5.96394724374E-05,2.0840082816,0.6445303987
72,0.0002588996,5.96822690127E-05,8.90876168446E-05,0.000169812,5.96887670695E-05,1.9061230557,0.6702656627
73.6,0.0002619391,5.89903253273E-05,8.49045500328E-05,0.0001770346,5.89962967381E-05,2.0851012415,0.6951600507
75.2,0.0002450343,5.9224656289E-05,7.89409145797E-05,0.0001660933,5.92297979176E-05,2.1040210376,0.7505937114
76.8,0.0002189914,5.77342796176E-05,7.35493917731E-05,0.000145442,5.77388581363E-05,1.9774739999,0.7852785334
78.4,0.0002216201,5.8990144163E-05,6.84748926023E-05,0.0001531452,0.000058994,2.2365159789,0.861826142
80,0.0002025871,5.7197946766E-05,6.29917362472E-05,0.0001395953,5.72013367031E-05,2.2160897635,0.9083410835
81.6,0.0001884332,5.73829315232E-05,5.91300604524E-05,0.0001293031,5.73859089456E-05,2.1867576002,0.9707438845
83.2,0.000195207,5.77857227801E-05,5.63450514941E-05,0.000138862,5.77884074983E-05,2.4644930295,1.0259057278
84.8,0.0001865308,5.58554426529E-05,5.34405264698E-05,0.0001330903,5.58579411799E-05,2.4904376569,1.0455255391
86.4,0.0001766201,5.73172484299E-05,5.05253572082E-05,0.0001260947,5.73194248514E-05,2.4956715083,1.1347367289
88,0.0001658306,5.47042191739E-05,4.84997218608E-05,0.0001173308,5.47063203726E-05,2.4192063528,1.1282253598
89.6,0.0001559408,5.66824769924E-05,4.63704167819E-05,0.0001095704,5.66843307113E-05,2.3629369118,1.2226476214
91.2,0.0001538131,5.59077973606E-05,4.42018846171E-05,0.0001096112,5.59095050951E-05,2.4797849289,1.2651045507
92.8,0.0001486183,5.61987477429E-05,4.24692583894E-05,0.0001061491,5.62003160621E-05,2.4994331299,1.32354825
94.4,0.0001329968,5.50986596794E-05,4.08571738174E-05,9.21396410616E-05,5.51001401765E-05,2.2551643311,1.3487880799
96,0.0001183124,5.45376939087E-05,3.92506828126E-05,7.9061732429E-05,5.45390743246E-05,2.0142766129,1.3896490668
97.6,0.0001058833,5.41574637643E-05,3.81511090138E-05,6.7732153209E-05,5.41587770782E-05,1.7753652505,1.4196944134
99.2,0.0001157837,5.51612439264E-05,3.70223369967E-05,7.87613251978E-05,5.51624581722E-05,2.1274001478,1.4901261721
100.8,0.0001078767,5.4117436265E-05,3.61971455194E-05,7.16795825689E-05,5.41186193733E-05,1.9802551152,1.4952355441
