x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,0.9409234843,0.0102316339,0.9409234843,0,0.0144697155,0,nan
4,0.7111712377,0.0060406846,0.7276794147,-0.016508177,0.009955021,-0.0226860574,-0.0136827278
8,0.3497931711,0.0051070436,0.3401111503,0.0096820208,0.006305546,0.0284672254,0.0185422467
12,0.1418872255,0.0048366556,0.1026773507,0.0392098749,0.0049638541,0.3818746257,0.0485222099
16,0.0646751007,0.004640604,0.0276579881,0.0370171126,0.0046503396,1.3383877578,0.1687660005
20,0.0444974921,0.0040980718,0.0129313648,0.0315661272,0.0041004836,2.4410514773,0.3182050222
24,0.0324120944,0.0042105586,0.0094818116,0.0229302828,0.0042118208,2.4183440673,0.444977745
28,0.0254899972,0.0039353989,0.0073280906,0.0181619067,0.0039362056,2.4783954894,0.5378149883
32,0.0202816174,0.003797075,0.0054881195,0.0147934979,0.0037975439,2.6955495222,0.6925777622
36,0.0193018451,0.0038113181,0.0039560965,0.0153457487,0.0038115608,3.8790127601,0.96438798
40,0.0167608359,0.0036475957,0.0027440364,0.0140167995,0.0036477178,5.1080952733,1.3304855416
44,0.0172291445,0.0037246512,0.0018314246,0.0153977199,0.0037247044,8.4075096437,2.0358282145
48,0.0162503347,0.00354692,0.0011761544,0.0150741803,0.0035469431,12.8164983068,3.0189308233
52,0.0127830193,0.0034464145,0.0007268013,0.012056218,0.0034464236,16.5880516822,4.7453355202
56,0.0112397167,0.0035098355,0.0004321587,0.010807558,0.0035098387,25.0083108207,8.1261952905
60,0.0093568368,0.0034601977,0.000247256,0.0091095808,0.0034601988,36.842709571,14.000131216
64,0.0088728584,0.003488457,0.0001361214,0.0087367369,0.0034884573,64.1833972624,25.6370378352
68,0.0049688021,0.0033551832,7.21078246844E-05,0.0048966943,0.0033551832,67.9079463768,46.5359446115
72,0.0060261768,0.0033562753,3.67548236061E-05,0.005989422,0.0033562753,162.956080422,91.332424351
76,0.0076091428,0.0033875435,0.000018027,0.0075911159,0.0033875435,421.098038321,187.971224667
80,0.0050405751,0.0033925545,8.50759043287E-06,0.0050320675,0.0033925545,591.479759191,398.819833378
84,0.005478338,0.0033070623,3.86337492671E-06,0.0054744746,0.0033070623,1417.01872368,856.142123687
88,0.0025728383,0.0033955328,1.68811975036E-06,0.0025711502,0.0033955328,1523.08517755,2011.49707351
92,0.002214259,0.0034096478,7.09766923297E-07,0.0022135493,0.0034096478,3118.69881749,4804.01761598
96,0.0022518433,0.0033820255,2.87147059423E-07,0.0022515562,0.0033820255,7841.12559176,11778.3343643
100,0.0019324779,0.0033407681,1.11781285898E-07,0.0019323661,0.0033407681,17287.0267412,29887.2407107
104,0.0001407974,0.0033479207,4.18706729307E-08,0.0001407555,0.0033479207,3361.67380929,79958.6165661
108,0.0002416723,0.0034544199,1.50913083074E-08,0.0002416572,0.0034544199,16013.0026491,228901.351278
112,0.0005275455,0.003481807,5.23383411633E-09,0.0005275402,0.003481807,100794.220012,665250.681268
116,-0.0009517347,0.00341742,1.74658259215E-09,-0.0009517364,0.00341742,-544913.48452,-1956641.3263
120,-0.0007117101,0.0034831643,5.60834100435E-10,-0.0007117107,0.0034831643,-1269021.81276,-6210701.0451
124,0.0002344065,0.0034487303,1.73282940258E-10,0.0002344064,0.0034487303,1352737.65643,19902312.7083
128,8.25267280381E-05,0.0035295173,5.15173263658E-11,8.25266765208E-05,0.0035295173,1601920.79718,68511269.4996
132,0.0005449241,0.0035443964,1.4737605769E-11,0.000544924,0.0035443964,36975072.4546,240500488.852
136,-2.43565302993E-06,0.0035098878,4.05673524516E-12,-2.43565708666E-06,0.0035098878,-600398.334983,-865200120.423
