x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.0065019693,0.0002804356,0.0065019693,0,0.0003965958,0,nan
3.2,0.0046342847,0.0002332401,0.0049573869,-0.0003231021,0.0003164149,-0.0651758996,-0.0638888222
6.4,0.0022240277,0.0001782274,0.0023500498,-0.0001260221,0.0002050336,-0.0536253077,-0.0872771582
9.6,0.0008566577,0.0001254809,0.000748699,0.0001079586,0.0001295694,0.1441949651,0.1731710962
12.8,0.0005157599,0.0001161282,0.0002970568,0.0002187032,0.0001168328,0.7362334864,0.3945810694
16,0.0003794635,8.87707640164E-05,0.0002042706,0.0001751929,8.9206900568E-05,0.8576511063,0.4382733379
19.2,0.0002881111,0.000094078,0.0001178528,0.0001702582,9.42152567002E-05,1.4446678588,0.8018559443
22.4,0.0002442353,8.45998683549E-05,5.89294835062E-05,0.0001853058,0.000084638,3.1445341197,1.4426490798
25.6,0.0002133965,8.12471392793E-05,3.19604360481E-05,0.000181436,8.12588324526E-05,5.6768942544,2.5542446598
28.8,0.0001926441,8.25752528228E-05,2.3321594475E-05,0.0001693225,8.2581379102E-05,7.2603296579,3.5548027863
32,0.0001881521,7.86153531119E-05,2.03688650298E-05,0.0001677833,7.86202617279E-05,8.2372424738,3.8761417965
35.2,0.0001886471,0.000086189,1.63557872531E-05,0.0001722913,8.61918396696E-05,10.533963697,5.2893561143
38.4,0.0002474721,7.44649403038E-05,1.2064129711E-05,0.000235408,7.44667582507E-05,19.5130530468,6.2296878551
41.6,0.0002463367,7.10405460584E-05,9.41083011374E-06,0.0002369259,7.10417056161E-05,25.1758752301,7.6266272176
44.8,0.0002138824,7.35428690483E-05,0.000007562,0.0002063204,7.35435922836E-05,27.2837579818,9.7963219611
48,0.0002151405,7.02797429955E-05,6.034775528E-06,0.0002091058,7.02802249842E-05,34.6501301858,11.7413730672
