x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,0.2974368704,0.0102936334,0.2974368704,0,0.014557396,0,nan
4,0.2322128548,0.0061240696,0.2300279368,0.002184918,0.0100437997,0.0094984898,0.0436646282
8,0.111226206,0.0051674492,0.1075130952,0.0037131108,0.0063676382,0.0345363586,0.0592386879
12,0.0395403165,0.0048969106,0.0324575062,0.0070828103,0.0050240917,0.218217944,0.1549739427
16,0.0181618811,0.0046872793,0.0087430121,0.009418869,0.0046970352,1.0773025259,0.5385252041
20,0.0169523157,0.0041342043,0.004087755,0.0128645607,0.0041366241,3.1470967841,1.0177991798
24,0.0126420399,0.0042651116,0.0029973111,0.0096447289,0.0042663728,3.2177937767,1.4277496404
28,0.0112451764,0.0039795141,0.0023164948,0.0089286817,0.0039803215,3.8543931916,1.7234218721
32,0.0099901318,0.0038441761,0.0017348585,0.0082552734,0.0038446449,4.7584707685,2.2222247238
36,0.0082754779,0.0038618269,0.0012505682,0.0070249097,0.0038620694,5.6173745188,3.0943646821
40,0.0084739105,0.0036955389,0.0008674219,0.0076064886,0.0036956609,8.7690763728,4.2713062924
44,0.0083337524,0.0037714781,0.0005789346,0.0077548177,0.0037715313,13.3949796987,6.5310791267
48,0.0048017872,0.00358672,0.0003717961,0.0044299911,0.0035867431,11.9151094517,9.6558793175
52,0.0062759914,0.0034891837,0.0002297504,0.0060462411,0.0034891927,26.3165679173,15.2141712561
56,0.0055484319,0.0035522307,0.0001366104,0.0054118216,0.0035522338,39.6150088077,26.038780874
60,0.0057776983,0.0034985212,7.81604994087E-05,0.0056995378,0.0034985222,72.9209490719,44.8318311796
64,0.0049343545,0.0035249677,4.3029574505E-05,0.0048913249,0.0035249681,113.673560517,82.0140643733
68,0.0048593832,0.0033891093,2.2794123077E-05,0.004836589,0.0033891094,212.1857916,148.864700823
72,0.0030100017,0.0033925749,1.16186277511E-05,0.002998383,0.0033925749,258.066881103,292.131012721
76,0.0001198072,0.00342351,5.69853076925E-06,0.0001141087,0.00342351,20.0242335647,600.771051096
80,0.00110218,0.0034340026,2.68934840656E-06,0.0010994907,0.0034340026,408.831623424,1276.96858226
84,0.0018546177,0.0033454178,1.22125780326E-06,0.0018533964,0.0033454178,1517.61275827,2739.82494592
88,9.42713627143E-05,0.0034323149,5.33634311211E-07,9.37377284031E-05,0.0034323149,175.659110432,6431.96361459
92,0.0005003921,0.003441656,2.24365589677E-07,0.0005001677,0.003441656,2229.25337364,15339.6941175
96,-0.0010724456,0.0034099303,9.07705293057E-08,-0.0010725364,0.0034099303,-11815.9097776,-37568.7172854
100,0.0005382118,0.0033715389,3.53353661632E-08,0.0005381765,0.0033715389,15230.5343729,95416.8781979
104,0.001708371,0.00337853,1.32358072966E-08,0.0017083577,0.00337853,129070.912939,255295.896353
108,-0.0001458449,0.0034858297,4.77053829399E-09,-0.0001458497,0.0034858297,-30572.9983276,-730700.218732
112,0.0004937431,0.0035099973,1.65447591207E-09,0.0004937414,0.0035099973,298427.691344,2121541.27033
116,-0.0001715683,0.003440326,5.521150963E-10,-0.0001715688,0.003440326,-310748.326717,-6231184.70192
120,-0.0003289626,0.0035077971,1.7728619005E-10,-0.0003289628,0.0035077971,-1855546.617,-19786174.7511
124,-0.0005763151,0.0034665335,5.47767552922E-11,-0.0005763152,0.0034665335,-10521163.2443,-63285801.5681
128,-0.0022963932,0.0035520116,1.62852267826E-11,-0.0022963932,0.0035520116,-141010821.141,-218167091.987
132,-0.0022273882,0.0035607688,4.65872880272E-12,-0.0022273882,0.0035607688,-478110732.474,-764501048.517
136,-0.0018778693,0.0035301353,1.2823812516E-12,-0.0018778693,0.0035301353,-1464361159.45,-2753263497.09
140,-0.0010748674,0.0036567785,3.39658902243E-13,-0.0010748674,0.0036567785,-3164549503.01,-10766588685.5
144,-0.0008643275,0.0036021395,8.65655224854E-14,-0.0008643275,0.0036021395,-9984662302.95,-41613145840.3
148,-0.0003501237,0.0036713393,2.12286813902E-14,-0.0003501237,0.0036713393,-16492954288.8,-172943351936
