x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,4.844629649,0.7367010527,4.844629649,0,1.0418526202,0,nan
2,4.4097786002,0.4383069946,4.0980984455,0.3116801547,0.7618829284,0.0760548237,0.1862707137
4,3.6758851138,0.3681856907,2.5078807111,1.1680044028,0.5300922461,0.4657336362,0.2229199147
6,2.9247324535,0.3483578348,1.1678311717,1.7569012818,0.3910118484,1.5044137581,0.4055109049
8,2.444685389,0.3332867007,0.4840425145,1.9606428745,0.3413178768,4.050559229,0.9362786099
10,2.2589734451,0.2948831381,0.2401136022,2.0188598429,0.2971350939,8.4079361772,1.7793419641
12,2.0412943388,0.3032730508,0.1610429858,1.880251353,0.3042601823,11.6754625682,2.5926171097
14,2.0824356497,0.2827877024,0.1225958301,1.9598398196,0.2834015368,15.9861866271,3.3545999013
16,1.9897029682,0.2725679179,0.0934217241,1.8962812441,0.2729378804,20.2980758802,4.2500454172
18,1.9018264177,0.2732611923,0.0690576979,1.8327687198,0.2734628976,26.539673005,5.6540595105
20,2.0157383588,0.2603994453,0.0492919289,1.9664464299,0.2605073035,39.8938827241,8.045702583
22,1.8519545377,0.2650181509,0.0339579407,1.817996597,0.2650684543,53.5367151514,11.2786355244
24,1.7064041115,0.251948451,0.0225784881,1.6838256234,0.2519718442,74.5765444691,15.9106553777
26,1.6601146949,0.2448658504,0.0144889082,1.6456257868,0.2448757625,113.57831574,24.1648535701
28,1.7885547086,0.2486978869,0.0089735384,1.7795811702,0.2487016305,198.314319918,40.9579285413
30,1.5009415551,0.2440650645,0.0053638801,1.4955776751,0.2440664275,278.823847412,62.1943275322
32,1.4805296763,0.2452051436,0.0030944371,1.4774352392,0.2452055951,477.448793159,107.472636774
34,1.5124051201,0.2349151156,0.0017229454,1.5106821747,0.2349152617,876.802120786,190.702000151
36,1.5214090452,0.2342329739,0.0009258671,1.5204831782,0.2342330162,1642.22622297,355.479747542
38,1.4808054172,0.2354851923,0.0004801899,1.4803252273,0.2354852036,3082.79123231,678.419352423
40,1.5350761932,0.235220414,0.0002403614,1.5348358318,0.2352204169,6385.53444702,1378.6078028
42,1.3153103764,0.2281522671,0.0001161191,1.3151942573,0.2281522678,11326.25434,2612.83737895
44,1.429345399,0.2320025439,5.41414365473E-05,1.4292912576,0.232002544,26399.2119298,5871.77448369
46,1.1192776399,0.2311914817,2.43636986872E-05,1.1192532762,0.2311914817,45939.3826261,11783.2865913
48,1.1184170086,0.2278305178,1.058141942E-05,1.1184064272,0.2278305178,105695.312018,26868.5843888
50,1.0515043435,0.2236993249,4.43539091395E-06,1.0514999081,0.2236993249,237070.402245,61994.492263
52,1.0177304024,0.2226595862,1.79434992197E-06,1.017728608,0.2226595862,567185.137949,151119.454927
54,1.0140744656,0.2278537986,7.00599207984E-07,1.014073765,0.2278537986,1447437.78388,392707.255265
56,1.0154618384,0.2278697293,0.000000264,1.0154615744,0.2278697293,3846308.24598,1042621.61411
58,0.885724228,0.2212040298,0.000000096,0.885724132,0.2212040298,9224483.08745,2697208.53513
60,0.999761891,0.2236937601,3.37039446575E-08,0.9997618573,0.2236937601,29663051.8326,8024755.08652
62,0.8336031984,0.2199718246,1.14180592362E-08,0.833603187,0.2199718246,73007432.3286,22235163.7605
64,0.6930517441,0.2238944238,3.73328473707E-09,0.6930517404,0.2238944238,185641275.489,66284335.7239
66,0.6195691552,0.2235544341,1.17808656145E-09,0.619569154,0.2235544341,525911400.992,205924185.437
68,0.5861533516,0.2199400969,3.58798446019E-10,0.5861533513,0.2199400969,1633656326.51,661416227.539
70,0.4883981717,0.2271330109,1.05465682895E-10,0.4883981716,0.2271330109,4630872888.65,2265826874.53
72,0.5508689543,0.2224699558,2.99198249952E-11,0.5508689542,0.2224699558,18411503219.8,7945176584.75
74,0.4713675023,0.2252298384,8.19208015641E-12,0.4713675022,0.2252298384,57539415294.1,28852326959.1
76,0.4816391552,0.2203655625,2.16479412876E-12,0.4816391552,0.2203655625,222487278948,107270228603
78,0.3970413351,0.2245925251,5.52110839853E-13,0.3970413351,0.2245925251,719133381226,421231237223
80,0.3647743755,0.2292945516,1.35901174702E-13,0.3647743755,0.2292945516,2684114955850,1735883454960
82,0.36568154,0.2230995513,3.22854921984E-14,0.36568154,0.2230995513,11326497293400,7121626758540
84,0.2644732351,0.2274424244,7.40250785505E-15,0.2644732351,0.2274424244,35727518329800,31201688331900
86,0.3549138084,0.2240809557,1.63808942381E-15,0.3549138084,0.2240809557,216663268349000,140705824602000
88,0.2100739231,0.2298058264,3.49851386975E-16,0.2100739231,0.2298058264,600466172122000,663183073841000
90,0.1283122951,0.2334273994,7.21135470737E-17,0.1283122951,0.2334273994,1779309162960000,3248231083410000
92,0.1421657863,0.2315580162,1.4346216482E-17,0.1421657863,0.2315580162,9.90963620887E+015,1.62108937251E+016
94,0.1471053676,0.2353095253,2.75451515596E-18,0.1471053676,0.2353095253,5.34051763366E+016,8.5811986349E+016
96,0.1570963496,0.2334154352,5.1043473084E-19,0.1570963496,0.2334154352,3.07769711058E+017,4.59676222607E+017
98,0.1284963981,0.2382384002,9.12898580157E-20,0.1284963981,0.2382384002,1.40756488094E+018,2.61845482291E+018
100,0.1729300487,0.2356826693,1.57576739708E-20,0.1729300487,0.2356826693,1.09743385344E+019,1.50495042145E+019
102,0.0528517095,0.2413896696,2.62511874917E-21,0.0528517095,0.2413896696,2.01330737838E+019,9.20047616268E+019
104,0.0322542213,0.2484652582,4.22078335552E-22,0.0322542213,0.2484652582,7.64176187278E+019,5.88785642278E+020
106,0.0089737644,0.2460629652,6.54974561665E-23,0.0089737644,0.2460629652,1.3700935749E+020,3.75689016727E+021
108,0.1039017618,0.2545534734,9.80941410708E-24,0.1039017618,0.2545534734,1.05920456263E+022,2.59998548643E+022
110,0.0030260299,0.2494888824,1.41791099068E-24,0.0030260299,0.2494888824,2.13414657704E+021,1.75955548991E+023
112,-0.0159296868,0.2601548033,1.97807217186E-25,-0.0159296868,0.2601548033,-8.05313728314E+022,-1.31525069858E+024
114,0.0560012279,0.2617309581,2.66331516356E-26,0.0560012279,0.2617309581,2.10268873327E+024,9.8324623333E+024
116,-0.0267747493,0.2653472692,3.46090959179E-27,-0.0267747493,0.2653472692,-7.73633306729E+024,-7.66788317474E+025
118,-0.0266233683,0.2711608118,4.34055447905E-28,-0.0266233683,0.2711608118,-6.13363301794E+025,-6.24784308038E+026
120,-0.1332277049,0.2695661828,5.25396811344E-29,-0.1332277049,0.2695661828,-2.53575396764E+027,-5.14518557568E+027
122,-0.0669274922,0.2789764495,6.13785915006E-30,-0.0669274922,0.2789764495,-1.09040449669E+028,-4.54819867192E+028
124,-0.1834589413,0.2848083778,6.92043936438E-31,-0.1834589413,0.2848083778,-2.65097245538E+029,-4.13516300807E+029
126,-0.0059896472,0.290992602,7.53074048365E-32,-0.0059896472,0.290992602,-7.95359666814E+028,-3.86408253022E+030
128,-0.0325069946,0.3022028892,7.90913447628E-33,-0.0325069946,0.3022028892,-4.11005713638E+030,-3.82144614922E+031
130,-0.1411781503,0.3020207859,8.01691911841E-34,-0.1411781503,0.3020207859,-1.76100255252E+032,-3.77679790517E+032
132,-0.0613241306,0.320798571,7.84283915966E-35,-0.0613241306,0.320798571,-7.81912383592E+032,-4.09206505545E+033
134,0.0450656563,0.3234970187,7.40502244771E-36,0.0450656563,0.3234970187,6.08582304939E+033,4.36959643008E+034
136,-0.0629672929,0.3292741568,6.74787011194E-37,-0.0629672929,0.3292741568,-9.33143226367E+034,-4.88173812805E+035
138,-0.0151763401,0.3521242651,5.93463910002E-38,-0.0151763401,0.3521242651,-2.55724734633E+035,-5.93350027917E+036
140,-0.0798221853,0.3562635718,5.03743177191E-39,-0.0798221853,0.3562635718,-1.58458097069E+037,-7.07642916735E+037
142,0.0120993414,0.3892172823,4.12677988167E-40,0.0120993414,0.3892172823,2.93190858457E+037,9.43160629302E+038
144,-0.019554994,0.3985050477,3.26287695452E-41,-0.019554994,0.3985050477,-5.99317543749E+038,-1.22136429814E+040
146,-0.1954858056,0.4320543429,2.4898738993E-42,-0.1954858056,0.4320543429,-7.85123317707E+040,-1.73934823509E+041
148,0.1544943793,0.4626775492,1.83375483924E-43,0.1544943793,0.4626775492,8.42502912375E+041,2.52636618166E+042
150,-0.1218895352,0.4872763365,1.30344424076E-44,-0.1218895352,0.4872763365,-9.35134249484E+042,-3.7410785825E+043
152,-0.0677595638,0.5254800293,8.94192259771E-46,-0.0677595638,0.5254800293,-7.5777399213E+043,-5.87771853274E+044
154,0.1105074663,0.5658433872,5.92047592211E-47,0.1105074663,0.5658433872,1.86653011898E+045,9.56161070715E+045
156,0.1809783918,0.6037353653,3.78328968597E-48,0.1809783918,0.6037353653,4.783625014E+046,1.59745178526E+047
158,0.062335641,0.6421667446,2.33329600717E-49,0.062335641,0.6421667446,2.67157020976E+047,2.75248703934E+048
160,0.0308029634,0.703516989,1.38885639705E-50,0.0308029634,0.703516989,2.21786524963E+048,5.06555309677E+049
162,-0.0696441156,0.7158044584,7.97869958707E-52,-0.0696441156,0.7158044584,-8.72875521514E+049,-8.9724245198E+050
164,-0.0477102487,0.799131799,4.42378638304E-53,-0.0477102487,0.799131799,-1.07849350327E+051,-1.80651745473E+052
166,0.1660537614,0.8748251119,2.36724629656E-54,0.1660537614,0.8748251119,7.01463813183E+052,3.69707816997E+053
168,-0.0742503372,0.8326836181,1.22258766095E-55,-0.0742503372,0.8326836181,-6.07321172813E+053,-6.81145566696E+054
170,0.0706356551,0.9117500871,6.09401943712E-57,0.0706356551,0.9117500871,1.15909796164E+055,1.49624293976E+056
