x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.5989706768,0.0040990364,0.5989706768,0,0.0057969129,0,nan
1.6,0.4416828428,0.004678033,0.4444520615,-0.0027692187,0.0055798999,-0.0062306352,-0.0125546319
3.2,0.2147211794,0.0031453777,0.2172474371,-0.0025262577,0.0034790451,-0.011628481,-0.0160144032
4.8,0.1007286352,0.0012956108,0.0803439203,0.0203847148,0.0014074521,0.2537181999,0.0176036811
6.4,0.0611657346,0.0004982124,0.0360566496,0.025109085,0.0005559698,0.6963787605,0.016139004
8,0.0391126003,0.0003091616,0.0212937958,0.0178188045,0.0003417839,0.8368073319,0.0170418605
9.6,0.024897463,0.0002306031,0.0113555639,0.0135418991,0.0002433451,1.1925342782,0.0229309943
11.2,0.0161593153,0.0001398581,0.0058044864,0.0103548288,0.0001453898,1.7839353931,0.0278646079
12.8,0.0117800821,9.86145527873E-05,0.0036343193,0.0081457628,0.0001017026,2.2413448619,0.0319119524
14.4,0.0095477883,8.54104000854E-05,0.0030129524,0.0065348358,0.000087864,2.1689143672,0.03272215
16,0.0078521169,7.80152554527E-05,0.0026188801,0.0052332369,8.00473989816E-05,1.9982728307,0.0334852065
17.6,0.0063139569,7.77177971462E-05,0.001951069,0.0043628879,7.8856413647E-05,2.2361525164,0.0432171169
19.2,0.0050052082,6.81682864421E-05,0.0013413803,0.0036638279,6.87835884152E-05,2.7313863631,0.0545788603
20.8,0.0040155586,6.35828394217E-05,0.0009098178,0.0031057408,0.000063887,3.4135855509,0.074003418
22.4,0.0033654547,6.23676721864E-05,0.0007273131,0.0026381416,0.000062566,3.6272432072,0.0895332777
24,0.0029279388,5.9076080947E-05,0.0006222303,0.0023057085,5.92293484344E-05,3.7055550523,0.0985087671
25.6,0.0025260871,0.000058335,0.0005288318,0.0019972553,5.84471183641E-05,3.7767309151,0.1135030659
27.2,0.0022207076,5.53167642955E-05,0.0004648036,0.001755904,5.54081432122E-05,3.7777336033,0.1219788193
