x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.1203415861,0.0028069056,0.1203415861,0,0.003969564,0,nan
3.2,0.082008916,0.0031677922,0.0917537083,-0.0097447923,0.0038229531,-0.1062059777,-0.0417389549
6.4,0.0340863697,0.0020047883,0.0434958566,-0.0094094869,0.0022468698,-0.2163306489,-0.0519029483
9.6,0.0109899211,0.0007437928,0.0138572829,-0.0028673617,0.000810984,-0.2069209206,-0.0587226987
12.8,0.0058653061,0.0002139305,0.0054980703,0.0003672358,0.0002494226,0.0667935805,0.0453922291
16,0.0042176855,0.0001502004,0.0037807386,0.0004369469,0.0001741739,0.1155718392,0.0461475528
19.2,0.0026753019,0.0001358588,0.0021812773,0.0004940246,0.0001450728,0.2264840624,0.0667176335
22.4,0.0017249137,0.0001041958,0.0010906953,0.0006342184,0.0001072565,0.5814808414,0.0992686194
25.6,0.0013187286,8.91147591893E-05,0.0005915392,0.0007271895,9.01765329094E-05,1.2293174955,0.1551170269
28.8,0.00117796,8.62675857739E-05,0.0004316473,0.0007463126,8.68530944114E-05,1.7289870407,0.2052146094
32,0.0011299316,8.04969217802E-05,0.0003769968,0.0007529348,8.09757727216E-05,1.9971916529,0.2197850896
35.2,0.0010148959,7.8065419358E-05,0.0003027208,0.0007121751,7.83840844509E-05,2.3525806679,0.2646823867
38.4,0.0009362117,7.67897895163E-05,0.0002232887,0.000712923,7.69662005436E-05,3.1928300653,0.3526466138
41.6,0.0008325393,7.17774745859E-05,0.0001741802,0.0006583591,7.1892357663E-05,3.7797587459,0.4220574334
44.8,0.0007510008,7.55783629451E-05,0.0001399616,0.0006110392,7.56488341771E-05,4.3657641102,0.5500058046
48,0.0006720909,7.07850689027E-05,0.0001116945,0.0005603963,0.000070833,5.0172222735,0.6448740077
51.2,0.0006189503,6.97207367565E-05,9.0666583614E-05,0.0005282837,6.97528014308E-05,5.8266641911,0.7812446865
54.4,0.0005851573,6.95803455984E-05,7.49488760965E-05,0.0005102085,6.96023024114E-05,6.8074197591,0.9421397258
57.6,0.000534066,6.57988841396E-05,6.34915750262E-05,0.0004705744,6.5815547126E-05,7.4116043276,1.0509187085
60.8,0.0005188219,6.95262289859E-05,0.000055038,0.0004637839,6.9538079423E-05,8.4266063604,1.2786511256
64,0.0005204161,6.62653307317E-05,4.92043253478E-05,0.0004712118,6.62752683378E-05,9.5766341473,1.365335578
67.2,0.0005235462,6.39222644748E-05,4.37471787175E-05,0.000479799,6.39304080374E-05,10.9675409916,1.4835818229
70.4,0.0005078889,6.58975796044E-05,3.95772392144E-05,0.0004683117,0.000065904,11.8328542794,1.687917836
73.6,0.0004846506,6.46396622741E-05,3.56572615719E-05,0.0004489933,0.000064645,12.5919178022,1.8365907857
