x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,3.7408759357,2.0511446116,3.7408759357,0,2.9007565281,0,nan
2,-0.4836155446,1.1927821353,3.1644272045,-3.6480427491,2.10551945,-1.1528287786,-0.917754443
4,0.5165695384,1.0013601165,1.9365093478,-1.4199398094,1.4595001041,-0.7332470721,-0.8542050615
6,0.4794233642,0.9464905946,0.9017637763,-0.4223404121,1.0678566359,-0.4683492763,-1.2117110317
8,0.7096825516,0.9071588448,0.3737629346,0.335919617,0.9300194179,0.8987504804,2.5365884254
10,-0.2542995022,0.7982434685,0.185408434,-0.4397079362,0.8046909362,-2.3715638319,-4.5307117725
12,0.4469546004,0.8212631693,0.1243525045,0.3226020958,0.8240886754,2.5942549134,6.7779770839
14,0.0804680998,0.7655784279,0.0946647781,-0.0141966782,0.7673359666,-0.1499679027,-8.1062403946
16,0.8314879007,0.7376086507,0.0721374191,0.7593504816,0.7386683906,10.5264437085,11.7543577762
18,-0.1477391515,0.7399307298,0.0533242578,-0.2010634093,0.7405081674,-3.7705805526,-14.03994382
20,0.742229371,0.7061701087,0.038061731,0.70416764,0.7064784196,18.500673018,21.152454332
22,0.1843115038,0.7179919426,0.0262212909,0.1580902129,0.7181358758,6.0290781956,27.5862992154
24,0.2916917821,0.6840802285,0.0174344231,0.2742573591,0.6841470172,15.7307963745,40.1779094012
26,0.0970695287,0.6627733348,0.011187895,0.0858816337,0.662801723,7.6762995673,59.3920816941
28,0.2597096151,0.6730006486,0.0069290939,0.2527805211,0.6730113724,36.4810353597,99.1666509483
30,0.3700052161,0.6595076083,0.0041418253,0.3658633908,0.6595115183,88.3338530575,166.435302251
32,0.4009799125,0.6618725241,0.0023894304,0.3985904822,0.6618738208,166.81401984,291.710889038
34,0.1334391905,0.6348961548,0.0013304061,0.1321087844,0.6348965738,99.2995912268,480.316013593
36,0.0224293783,0.6299793818,0.0007149264,0.0217144518,0.6299795038,30.3729874263,881.338227648
