Source,PACS_70_X,PACS_70_Y,PACS_160_X,PACS_160_Y,SCUBA2_450_X,SCUBA2_450_Y,SCUBA2_850_X,SCUBA2_850_Y
cit6,409,429,207,214,272,257,135,131
epaqr,272,297,137,148,260,227,122,104
iktau,524,553,199,208,277,240,139,118
irc10011,333,355,166,179,276,250,136,130
irc10216,981,1001,493,501,326,328,160,161
lpand,270,291,135,147,271,255,131,126
nmlcyg,660,695,331,347,273,255,134,126
ocet,542,571,270,288,1368,1305,677,646
rcas,394,422,198,211,269,251,128,121
rleo,412,426,208,213,264,251,134,131
rxboo,418,431,211,216,264,252,135,129
txcam,466,496,233,250,280,250,142,126
uhya,473,486,239,243,262,236,133,125
waql,261,294,130,149,153,230,131,119
whya,713,726,359,364,243,176,133,122
