x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.0907128796,0.0027869016,0.0907128796,0,0.0039412741,0,nan
3.2,0.0684719168,0.0019909759,0.0691634817,-0.0006915649,0.0029118721,-0.0099989892,-0.0421024144
6.4,0.0329134824,0.0012376605,0.0327869569,0.0001265254,0.0015957548,0.0038590175,0.048670559
9.6,0.0153903353,0.000619127,0.0104455498,0.0049447855,0.0006973534,0.4733868046,0.0683265647
12.8,0.0090246127,0.0002244712,0.0041444176,0.0048801951,0.0002580681,1.1775345869,0.0720149159
16,0.0061242061,0.0001384997,0.0028499016,0.0032743045,0.0001638539,1.1489184262,0.067465016
19.2,0.0041058028,0.0001269969,0.0016442358,0.002461567,0.0001366745,1.4970887682,0.0949997042
22.4,0.0028708182,9.79524074697E-05,0.0008221606,0.0020486576,0.0001011567,2.4917972345,0.1449092736
25.6,0.0020678618,8.2925237202E-05,0.0004458992,0.0016219625,8.40491406441E-05,3.6375090323,0.2191310575
28.8,0.0016528006,7.76222913361E-05,0.0003253736,0.0013274271,7.82633000705E-05,4.079701538,0.2712304182
32,0.0013544972,7.33601137825E-05,0.0002841783,0.0010703189,7.38778010051E-05,3.7663642984,0.2845582805
35.2,0.0011202626,7.05930887701E-05,0.0002281894,0.0008920732,7.09403348383E-05,3.9093540345,0.3332770138
38.4,0.0009275293,6.79869265734E-05,0.0001683139,0.0007592154,6.81832912232E-05,4.5107104797,0.4281435579
41.6,0.0007637286,6.23424234642E-05,0.0001312961,0.0006324325,6.24727827019E-05,4.8168396241,0.4982970739
44.8,0.0006420923,6.49375279231E-05,0.0001055023,0.00053659,6.50183692516E-05,5.0860487312,0.6357747472
48,0.0005436929,6.17296692773E-05,8.41947781221E-05,0.0004594981,6.17838395753E-05,5.457561141,0.7527316745
51.2,0.0004768266,6.24264211286E-05,0.000068344,0.0004084826,6.24617219743E-05,5.976860123,0.9321949092
54.4,0.00041205,5.95878636176E-05,5.649608412E-05,0.0003555539,5.96131369299E-05,6.2934257621,1.0727410303
57.6,0.0003405731,5.99310794257E-05,4.78596284616E-05,0.0002927134,5.99491136133E-05,6.1160822275,1.2666177516
60.8,0.000305914,5.84404707731E-05,4.14873955316E-05,0.0002644266,5.84543684553E-05,6.3736610985,1.4225085495
64,0.0002602327,5.67171274807E-05,0.00003709,0.0002231428,5.67285728639E-05,6.0162558041,1.5406131716
67.2,0.0002275255,5.56708955251E-05,3.29764022833E-05,0.0001945491,5.5680113123E-05,5.8996451612,1.6981838475
70.4,0.0001982019,5.59978147504E-05,2.98331229546E-05,0.0001683688,5.6005314947E-05,5.6436853109,1.8852763727
73.6,0.0001780016,5.60143996438E-05,2.68782636135E-05,0.0001511233,5.60204859601E-05,5.6225095287,2.0913758208
76.8,0.0001598386,5.48827061172E-05,2.40171291404E-05,0.0001358215,5.48876658973E-05,5.6551914164,2.2919496149
80,0.0001431416,5.30003662775E-05,2.22708005073E-05,0.0001208708,5.30047824911E-05,5.4273219911,2.3858460339
83.2,0.0001424869,5.20523046701E-05,2.09828475989E-05,0.0001215041,5.20562962757E-05,5.7906380203,2.4872679345
86.4,0.0001253109,5.36080844192E-05,1.94278796847E-05,0.000105883,5.36114070527E-05,5.4500560973,2.7645840282
89.6,0.0001000751,5.22846053459E-05,1.80721389102E-05,8.20029254425E-05,5.22875532165E-05,4.5375329312,2.8966250699
92.8,8.51761450518E-05,5.20195666847E-05,1.68144589841E-05,6.83616860677E-05,5.20221315451E-05,4.065648864,3.0964129831
96,6.54143140488E-05,5.23455141897E-05,1.54868615179E-05,4.9927452531E-05,5.23476764788E-05,3.2238586542,3.3815853765
99.2,5.94697057834E-05,5.10578592289E-05,0.000014217,4.5252704601E-05,5.10597274179E-05,3.1829992852,3.5927865826
102.4,6.38567802962E-05,5.11263207142E-05,1.29427206672E-05,5.0914059629E-05,5.11278669489E-05,3.9337988463,3.9521666223
105.6,5.01753498185E-05,0.000051005,1.14524731463E-05,3.87228766722E-05,5.10062224986E-05,3.3811803073,4.4549411734
108.8,4.02420943438E-05,4.92058297479E-05,1.0318898103E-05,2.99231962408E-05,4.92068509718E-05,2.8998441444,4.7694470099
112,4.55962951766E-05,5.14400704638E-05,0.000009477,3.61193040848E-05,5.14408944336E-05,3.8112628507,5.4292402732
115.2,3.67142590792E-05,4.97813267731E-05,8.75026363982E-06,0.000027964,4.9782052625E-05,3.1957889031,5.6900531507
118.4,3.54726227191E-05,0.000049341,0.000008064,2.74085946444E-05,4.93416672719E-05,3.3988714313,6.1196279861
121.6,1.98234639207E-05,4.77077651783E-05,7.61537072286E-06,1.22080931978E-05,4.77083388531E-05,1.6030858696,6.2649363814
124.8,1.18454021885E-05,4.88496096481E-05,7.06350433133E-06,4.78189785716E-06,4.88500916542E-05,0.6769866107,6.9158749354
128,-1.85816565862E-06,4.93440530167E-05,6.6777803601E-06,-8.53594601872E-06,4.93444795009E-05,-1.2782609727,-7.3894578268
131.2,1.17017453629E-06,4.798648017E-05,6.33211408196E-06,-5.16193954567E-06,4.7986874493E-05,-0.8152000231,-7.5783752342
134.4,-7.98716030555E-07,4.76645195344E-05,5.90251702268E-06,-6.70123305324E-06,4.7664864482E-05,-1.1353178699,-8.075420861
137.6,-3.5347056023E-06,4.73684227588E-05,5.59810015286E-06,-9.13280575515E-06,4.73687349829E-05,-1.6314116407,-8.4617217743
140.8,-7.93414726957E-06,4.75628424392E-05,5.33443885174E-06,-1.32685861213E-05,4.75631247866E-05,-2.4873443093,-8.9165651573
144,-7.6472012693E-06,4.73817569436E-05,5.12587183305E-06,-1.27730731023E-05,0.000047382,-2.4918830432,-9.2440164626
147.2,-6.56757738556E-06,0.000046104,4.79547446782E-06,-1.13630518534E-05,4.61042692197E-05,-2.369536514,-9.6143960694
150.4,-4.48179138751E-06,4.62820642713E-05,4.56772233173E-06,-9.04951371924E-06,4.62822770171E-05,-1.9811873538,-10.132645703
153.6,-1.59092798739E-05,4.58605775211E-05,4.28855921841E-06,-2.01978390923E-05,4.58607667806E-05,-4.7097027378,-10.6947257264
156.8,-7.77985852163E-06,4.59277839178E-05,4.08931992772E-06,-1.18691784493E-05,0.000045928,-2.9024822365,-11.2315505042
160,-5.30879358284E-06,4.46168884377E-05,3.90721925365E-06,-0.000009216,0.000044617,-2.358714021,-11.4193612875
163.2,-1.24398009728E-05,0.000045721,3.71841749151E-06,-1.61582184643E-05,4.57211771574E-05,-4.3454556949,-12.2965944777
166.4,-2.07254105162E-05,4.52988096808E-05,3.54883261585E-06,-2.42742431321E-05,4.52989408884E-05,-6.8400642577,-12.7661921847
169.6,-0.000020038,4.51305158106E-05,3.40826234346E-06,-2.3446289311E-05,4.5130637281E-05,-6.8792501716,-13.2432250909
172.8,-1.20018799066E-05,4.45343802808E-05,3.24652904688E-06,-1.52484089535E-05,4.45344919718E-05,-4.6968342908,-13.7183296955
176,-1.56107282141E-05,4.38791141429E-05,0.000003124,-1.87347541456E-05,4.38792191083E-05,-5.9969906,-14.0469365071
179.2,-1.13044950925E-05,4.46476288016E-05,3.02952542216E-06,-0.000014334,4.46477258137E-05,-4.7314409082,-14.7382481743
182.4,-0.000013245,4.42109100029E-05,2.92135697201E-06,-1.61663323043E-05,0.000044211,-5.5338435047,-15.1346758392
185.6,-1.31392901126E-05,4.40447721638E-05,2.80581977852E-06,-1.59451098911E-05,4.40448565167E-05,-5.6828703016,-15.6986492668
188.8,-1.63038973316E-05,4.43793931681E-05,2.69822759628E-06,-1.90021249279E-05,4.43794705877E-05,-7.0424470323,-16.4490609263
192,-2.50901952645E-05,4.33878651587E-05,2.60749785077E-06,-2.76976931153E-05,4.33879391115E-05,-10.6223263452,-16.6428833935
195.2,-2.61595075025E-05,4.36366478819E-05,2.50289177458E-06,-2.86623992771E-05,4.36367156317E-05,-11.4517134014,-17.4380690312
198.4,-3.13044650808E-05,0.000043466,2.42830833802E-06,-3.37327734189E-05,0.000043466,-13.8914704079,-17.90480968
201.6,-2.28987321249E-05,4.36118683005E-05,2.35848904858E-06,-2.52572211735E-05,4.36119284924E-05,-10.7090686678,-18.4943962431
204.8,-2.2881880085E-05,4.35645562087E-05,2.26677835036E-06,-2.51486584354E-05,4.35646118708E-05,-11.0944497204,-19.2217569912
208,-2.27723421103E-05,4.27495555798E-05,2.22267768987E-06,-0.000024995,4.27496101175E-05,-11.2454540368,-19.2364851623
211.2,-1.87511221324E-05,4.33572321081E-05,2.14370571949E-06,-2.08948278519E-05,4.33572821281E-05,-9.7470598049,-20.2276056979
214.4,-1.8838625513E-05,4.31530868139E-05,2.09944973804E-06,-2.0938075251E-05,4.3153135017E-05,-9.9731252774,-20.5567813288
217.6,-2.63578807273E-05,0.000042654,2.03291640053E-06,-2.83907971279E-05,4.26540859168E-05,-13.9655507332,-20.98610795
220.8,-2.12165199403E-05,4.29115792756E-05,1.99036782728E-06,-2.32068877675E-05,4.29116228436E-05,-11.6595975123,-21.5626201069
224,-1.74905559374E-05,4.21788841995E-05,1.92576078044E-06,-1.94163167178E-05,4.21789256935E-05,-10.0824136181,-21.904664369
227.2,-1.96842343223E-05,0.0000428,1.87158864101E-06,-2.15558229633E-05,4.28000508576E-05,-11.5173935613,-22.8710374904
