x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,3.0337271446,0.0111649163,3.0337271446,0,0.0157895761,0,nan
4,2.3683133588,0.0066786345,2.3461852423,0.0221281165,0.0109160498,0.00943153,0.0046528097
8,1.2188871416,0.0056147672,1.0965869661,0.1223001755,0.0069146744,0.1115280222,0.0063189772
12,0.5148836524,0.0052953405,0.3310524937,0.1838311587,0.0054336942,0.5552930794,0.0165401279
16,0.2321100888,0.0050456281,0.0891749335,0.1429351553,0.0050562901,1.6028624816,0.0570068286
20,0.1383235284,0.0044506457,0.0416933291,0.0966301993,0.00445329,2.3176417253,0.1071506411
24,0.0875906034,0.0045864871,0.0305712735,0.0570193299,0.0045878669,1.8651277271,0.1502280728
28,0.0537832284,0.004283989,0.0236272425,0.0301559859,0.0042848714,1.2763226982,0.1814138261
32,0.038950146,0.0041423883,0.0176948045,0.0212553415,0.0041429002,1.2012193505,0.2341726139
36,0.0299552758,0.0041583415,0.0127552531,0.0172000227,0.0041586064,1.348465805,0.3260686497
40,0.0229860511,0.0039811465,0.008847327,0.0141387241,0.0039812797,1.5980786041,0.4500364534
44,0.0198767061,0.0040673477,0.0059048824,0.0139718237,0.0040674058,2.366147687,0.688875839
48,0.0142486301,0.0038724531,0.0037921589,0.0104564712,0.0038724782,2.7573926551,1.0212307847
52,0.0094898579,0.0037642647,0.0023433541,0.0071465038,0.0037642746,3.0496900722,1.6064010242
56,0.0034767986,0.0038301589,0.0013933667,0.0020834319,0.0038301623,1.495250279,2.7488599934
60,0.0018608586,0.0037731338,0.0007972032,0.0010636554,0.0037731349,1.3342336815,4.7329675663
64,-0.001543984,0.0038021669,0.000438883,-0.001982867,0.0038021673,-4.5179854344,-8.6632979844
68,-0.003343716,0.0036583098,0.0002324902,-0.0035762062,0.0036583099,-15.3821819018,-15.7354330362
72,-0.0050838547,0.0036620294,0.000118505,-0.0052023596,0.0036620294,-43.8999292546,-30.9023292273
76,-0.003672879,0.0036968916,5.81225436302E-05,-0.0037310015,0.0036968916,-64.1919860648,-63.6055629129
80,-0.0022004343,0.0037056219,2.74301879602E-05,-0.0022278645,0.0037056219,-81.2194401488,-135.093165995
84,-0.0035736686,0.0036108215,1.24563001988E-05,-0.0035861249,0.0036108215,-287.896469665,-289.881066198
88,-0.0024743044,0.0037071079,5.44283865295E-06,-0.0024797472,0.0037071079,-455.598149789,-681.100310577
92,-0.0009810873,0.0037177907,2.28843175604E-06,-0.0009833758,0.0037177907,-429.716011301,-1624.60274004
96,-0.0006254894,0.0036829123,9.25820051438E-07,-0.0006264152,0.0036829123,-676.605779274,-3978.00097835
100,0.0007352656,0.0036393364,3.60405417585E-07,0.0007349052,0.0036393364,2039.10695357,10097.8985921
104,-0.0013134893,0.00364919,0.000000135,-0.0013136243,0.00364919,-9730.58698124,-27031.1617425
108,3.75955088597E-05,0.0037699156,4.86574226515E-08,3.75468514371E-05,0.0037699156,771.657218796,77478.7353588
112,0.0013390908,0.0037999833,1.6874937116E-08,0.0013390739,0.0037999833,79352.8239558,225185.225874
116,-0.000884182,0.0037233481,5.63133464976E-09,-0.0008841877,0.0037233481,-157012.098614,-661184.207876
120,-0.0001052811,0.0038031565,1.80824228796E-09,-0.0001052829,0.0038031565,-58223.8930284,-2103233.94104
124,0.000926711,0.0037602536,5.58699159189E-10,0.0009267104,0.0037602536,1658693.02257,6730375.47394
128,-0.0019981829,0.0038679645,1.66102253813E-10,-0.001998183,0.0038679645,-12029837.0036,-23286688.777
132,0.0024151709,0.0038683745,4.75170143081E-11,0.0024151708,0.0038683745,50827495.3349,81410516.7805
136,0.0003495553,0.0038300512,1.30797328759E-11,0.0003495553,0.0038300512,26724955.3058,292823365.193
140,0.0005025851,0.0039936603,3.46437356652E-12,0.0005025851,0.0039936603,145072427.19,1152780046.82
144,0.0023296949,0.0039131104,8.8293080467E-13,0.0023296949,0.0039131104,2638592787.81,4431966547.12
148,-0.000242555,0.0040125902,2.16523347908E-13,-0.000242555,0.0040125902,-1120225773.57,-18531905782
152,-0.0007444963,0.0039203898,5.10927065465E-14,-0.0007444963,0.0039203898,-14571478097.3,-76730927801.9
156,-0.0016936681,0.0040296809,1.16008335713E-14,-0.0016936681,0.0040296809,-145995376385,-347361738142
160,-0.0007096013,0.004153777,2.53451925374E-15,-0.0007096013,0.004153777,-279974719836,-1638881944070
164,-0.0020990954,0.0040286624,5.32817038716E-16,-0.0020990954,0.0040286624,-3939617557110,-7561075376340
168,-0.0021100336,0.004134692,1.07779639242E-16,-0.0021100336,0.004134692,-19577292781800,-38362526780600
172,-0.0007008684,0.0040731791,2.09783563382E-17,-0.0007008684,0.0040731791,-33409120436300,-194161058864000
176,-0.0007917666,0.0042004968,3.92900247034E-18,-0.0007917666,0.0042004968,-201518487371000,-1.0691003289E+015
180,-0.0019629732,0.0042764134,7.08058689656E-19,-0.0019629732,0.0042764134,-2772331150740000,-6039639857980000
184,-0.0007107333,0.004199504,1.22781327198E-19,-0.0007107333,0.004199504,-5788610820340000,-3.42031228629E+016
188,-0.0001303285,0.0042958489,2.04866761115E-20,-0.0001303285,0.0042958489,-6361624593730000,-2.09689894687E+017
192,-0.0026970628,0.0042205001,3.28917356085E-21,-0.0026970628,0.0042205001,-8.19981894987E+017,-1.28315264151E+018
196,0.0015508846,0.0043386685,5.08133925167E-22,0.0015508846,0.0043386685,3.0521178407E+018,8.5384423986E+018
200,0.0010642643,0.0042597715,7.55345598979E-23,0.0010642643,0.0042597715,1.40897659053E+019,5.63950239217E+019
204,6.95161799896E-05,0.0043148133,1.08041181893E-23,6.95161799896E-05,0.0043148133,6.43422987156E+018,3.99367470322E+020
208,0.0004891886,0.0044273795,1.4869934689E-24,0.0004891886,0.0044273795,3.2897829096E+020,2.97740369147E+021
