x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,0.4484848837,0.0119399992,0.4484848837,0,0.0168857089,0,nan
4,0.3397813386,0.0071099699,0.3468435246,-0.007062186,0.0116541199,-0.0203613028,-0.033604884
8,0.1638262904,0.005989387,0.1621117044,0.0017145861,0.0073823916,0.0105765716,0.0455397886
12,0.0535129252,0.005677913,0.0489404723,0.0045724529,0.0058254915,0.0934288683,0.1190581732
16,0.0208143287,0.0054335879,0.013182995,0.0076313338,0.0054449112,0.5788770891,0.4133127804
20,0.0143673934,0.0047889296,0.0061636485,0.0082037449,0.0047917402,1.3309884299,0.7782265847
24,0.0102822354,0.0049427935,0.0045194421,0.0057627933,0.0049442578,1.2751116788,1.0945239587
28,0.0070367859,0.004613694,0.0034928854,0.0035439005,0.004614631,1.0146054465,1.3214276949
32,0.0058961442,0.0044622864,0.0026158754,0.0032802688,0.0044628298,1.2539850964,1.706382533
36,0.0053700095,0.004483362,0.0018856469,0.0034843626,0.0044836431,1.8478340526,2.3782833263
40,0.0036890663,0.0042942189,0.0013079266,0.0023811397,0.00429436,1.8205453866,3.2836918427
44,0.0045940646,0.0043864337,0.0008729363,0.0037211283,0.0043864953,4.2627719499,5.0262704865
48,0.0031972627,0.0041735407,0.0005606061,0.0026366566,0.0041735674,4.7032248931,7.4457941061
52,-0.0005359608,0.0040571235,0.000346425,-0.0008823858,0.004057134,-2.5471192672,-11.7116319038
56,-0.0006451419,0.0041303417,0.0002059855,-0.0008511274,0.0041303453,-4.1319766927,-20.051930041
60,-0.0001779228,0.0040700695,0.0001178529,-0.0002957757,0.0040700708,-2.5097020956,-34.5352369378
64,-0.0008698462,0.0040995844,6.48813769828E-05,-0.0009347275,0.0040995848,-14.4067153569,-63.1870117315
68,-0.0004911009,0.0039436817,3.43697122122E-05,-0.0005254707,0.0039436818,-15.288770904,-114.743659902
72,-0.003120275,0.0039518057,1.75189407708E-05,-0.003137794,0.0039518058,-179.108658217,-225.623721677
76,-0.0038317902,0.0039861683,8.59242805306E-06,-0.0038403826,0.0039861683,-446.949636717,-464.068978558
80,-0.003284011,0.0039974775,4.05508606142E-06,-0.0032880661,0.0039974775,-810.849888161,-986.029850112
84,-0.0028428523,0.0038967936,1.84145181165E-06,-0.0028446937,0.0038967936,-1544.81029883,-2116.55252743
88,0.0002141219,0.0039990931,8.04630984966E-07,0.0002133172,0.0039990931,265.111862489,4970.10081492
92,-0.0003361423,0.0040150725,3.3830565543E-07,-0.0003364806,0.0040150725,-994.605441914,-11868.209857
96,-0.0014887536,0.0039810829,1.36866724772E-07,-0.0014888904,0.0039810829,-10878.3960371,-29088.7371873
100,-0.0003231975,0.0039349443,5.32798020718E-08,-0.0003232507,0.0039349443,-6067.04104651,-73854.5113132
