x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.0833640383,0.0023402474,0.0833640383,0,0.0033096096,0,nan
3.2,0.0609891556,0.0018273179,0.0635604025,-0.002571247,0.0025539858,-0.040453598,-0.0401980717
6.4,0.0282901118,0.0012461673,0.0301308166,-0.0018407048,0.0015061199,-0.0610904372,-0.0500154404
9.6,0.0115673447,0.0005254966,0.0095993338,0.0019680109,0.0005905636,0.205015358,0.06178993
12.8,0.0066782753,0.0001922569,0.0038086696,0.0028696056,0.0002199874,0.7534404147,0.0615105182
16,0.0044544796,0.0001256068,0.0026190251,0.0018354545,0.0001455427,0.7008159349,0.0589510653
19.2,0.0029795611,0.0001118785,0.0015110328,0.0014685283,0.00011965,0.9718705406,0.0837526683
22.4,0.0020244499,9.49457726817E-05,0.0007555557,0.0012688942,9.72860839098E-05,1.6794185659,0.1371207672
25.6,0.0015022632,0.000081428,0.000409776,0.0010924872,8.22365085513E-05,2.6660594892,0.2141882014
28.8,0.0012331237,7.99164724163E-05,0.0002990144,0.0009341093,8.03561061024E-05,3.1239612787,0.2826840332
32,0.0010176182,7.18433720015E-05,0.0002611564,0.0007564618,7.22164712979E-05,2.8965853044,0.2882335667
35.2,0.0008800594,7.2001159523E-05,0.0002097033,0.0006703561,7.22414204405E-05,3.1966881905,0.355990052
38.4,0.0007303707,6.57774163248E-05,0.0001546785,0.0005756922,6.59205845103E-05,3.7218641509,0.4387988658
41.6,0.0006411389,6.16804141668E-05,0.0001206596,0.0005204793,6.17733504365E-05,4.313618486,0.526090301
44.8,0.0005489612,6.38239380978E-05,9.69553598868E-05,0.0004520059,6.38819475527E-05,4.6619996809,0.6717521922
48,0.0005025645,6.2408506005E-05,0.000077374,0.0004251906,6.24462937265E-05,5.4952654229,0.8216822324
51.2,0.0004533717,6.25108474087E-05,6.28073203805E-05,0.0003905643,6.25357081943E-05,6.2184523661,1.0108628617
54.4,0.0004105235,5.98800537561E-05,5.19192174836E-05,0.0003586043,5.98977893542E-05,6.9069663072,1.1698533522
