x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,0.6343544952,0.0117749626,0.6343544952,0,0.0166523118,0,nan
4,0.4967916497,0.007050724,0.4905889964,0.0062026533,0.0115168873,0.0126432785,0.0234768062
8,0.2629532145,0.0059378307,0.2292971115,0.033656103,0.0073057108,0.146779446,0.0319776082
12,0.1083331961,0.0056324599,0.069223311,0.0391098851,0.0057771665,0.5649814287,0.0841132879
16,0.0455128354,0.0053887417,0.0186465418,0.0268662936,0.0053998459,1.4408191043,0.2908220295
20,0.0254279603,0.004753082,0.0087181047,0.0167098556,0.004755836,1.9166844501,0.5466715457
24,0.0113864375,0.0048997863,0.006392475,0.0049939625,0.0049012228,0.7812252038,0.7668546863
28,0.0028884237,0.0045700723,0.0049404731,-0.0020520495,0.0045709923,-0.4153548465,-0.9252456011
32,0.0010918787,0.0044134641,0.0036999961,-0.0026081174,0.0044139985,-0.704897332,-1.1930455576
36,0.0003142195,0.0044300039,0.0026671325,-0.002352913,0.0044302805,-0.882188274,-1.661145772
40,-0.0020834605,0.0042394699,0.0018499824,-0.0039334428,0.004239609,-2.1262055867,-2.2920422095
44,-0.0019052245,0.0043286716,0.0012347151,-0.0031399396,0.0043287323,-2.5430479038,-3.506172977
48,-0.0025096016,0.0041141113,0.0007929431,-0.0033025447,0.0041141377,-4.1649200668,-5.1890157887
52,-0.0019923928,0.0039965074,0.000489997,-0.0024823898,0.0039965177,-5.0661326758,-8.1567505222
56,0.0012052594,0.0040662687,0.000291354,0.0009139054,0.0040662723,3.1367529868,13.9565897178
60,0.0009977004,0.004006589,0.0001666958,0.0008310047,0.0040065902,4.985157837,24.0355244795
64,-0.0011225328,0.004033044,9.17707477752E-05,-0.0012143036,0.0040330444,-13.2319242467,-43.947635419
68,-0.0003811501,0.0038758252,4.86138602048E-05,-0.000429764,0.0038758253,-8.8403591796,-79.7269230556
72,-0.0003058942,0.0038770101,2.477947247E-05,-0.0003306737,0.0038770102,-13.3446627378,-156.460757
76,-0.002239361,0.0039141554,1.21534650512E-05,-0.0022515144,0.0039141554,-185.256995797,-322.079216053
80,-0.0015281237,0.003919826,5.73567173595E-06,-0.0015338594,0.003919826,-267.424539507,-683.429865543
84,-0.001788176,0.0038240795,2.60462119649E-06,-0.0017907806,0.0038240795,-687.539760005,-1468.24575074
88,-0.0018630076,0.0039199301,1.13810141842E-06,-0.0018641457,0.0039199301,-1637.94336092,-3444.4054978
92,-0.0014473561,0.0039340416,4.78512701474E-07,-0.0014478346,0.0039340416,-3025.69736023,-8221.58604708
96,-0.00089661,0.0038986086,1.93589628672E-07,-0.0008968035,0.0038986086,-4632.49790354,-20138.7037093
100,-0.0032505504,0.0038531635,7.53610281537E-08,-0.0032506258,0.0038531635,-43134.0421877,-51135.6594562
104,-0.0032803697,0.0038592736,2.82284904508E-08,-0.0032803979,0.0038592736,-116208.761306,-136732.567331
108,-0.0009617239,0.0039846593,1.01743015488E-08,-0.0009617341,0.0039846593,-94525.8127865,-391643.519942
112,-0.0005207111,0.0040187711,3.52856130635E-09,-0.0005207146,0.0040187711,-147571.36796,-1138929.54458
116,0.0001850591,0.0039358279,1.1775160649E-09,0.0001850579,0.0039358279,157159.579927,3342484.67103
120,0.0015224401,0.0040158193,3.781047435E-10,0.0015224397,0.0040158193,4026502.48002,10621180.6268
124,0.0020594314,0.0039709775,1.16824390008E-10,0.0020594313,0.0039709775,17628436.2312,33992572.0625
128,0.0011629697,0.0040728258,3.47320989509E-11,0.0011629697,0.0040728258,33484002.5003,117265674.507
132,0.0015953573,0.0040826638,9.93584135624E-12,0.0015953573,0.0040826638,160565898.076,410913481.529
136,0.0023257996,0.0040471388,2.73498141096E-12,0.0023257996,0.0040471388,850389539.477,1479852491.65
140,0.001180503,0.0042041647,7.24402967167E-13,0.001180503,0.0042041647,1629621931.99,5803705986.96
144,0.0007451176,0.0041297953,1.84621456787E-13,0.0007451176,0.0041297953,4035920886.67,22369114485.2
148,0.0015320176,0.0042066369,4.52751854479E-14,0.0015320176,0.0042066369,33837907824.1,92914760095.4
152,0.0017602939,0.0041264304,1.06835211366E-14,0.0017602939,0.0041264304,164767206540,386254651374
156,0.0010711887,0.0042187349,2.42574251861E-15,0.0010711887,0.0042187349,441592091722,1739171310130
160,0.0002894636,0.00432079,5.2996977159E-16,0.0002894636,0.00432079,546188830493,8152905185780
164,0.0002450646,0.0042035125,1.11412420281E-16,0.0002450646,0.0042035125,2199616111890,37729320881100
168,-0.0033570947,0.0042912344,2.25367989242E-17,-0.0033570947,0.0042912344,-148960583320000,-190430186533000
172,-0.0013565782,0.0042293872,4.38658917286E-18,-0.0013565782,0.0042293872,-309255814455000,-964180150277000
176,-0.0002546056,0.0043247735,8.21557200131E-19,-0.0002546056,0.0043247735,-309906061730000,-5264120506770000
180,-0.0013506444,0.0043760432,1.48055573646E-19,-0.0013506444,0.0043760432,-9.12254993712E+015,-2.95572462282E+016
184,-0.0027455336,0.0043147397,2.56736625041E-20,-0.0027455336,0.0043147397,-1.06939694463E+017,-1.6807265792E+017
188,-0.0018519731,0.0043808613,4.28377848912E-21,-0.0018519731,0.0043808613,-4.32322338444E+017,-1.02269436764E+018
192,-0.0022462383,0.0043198313,6.87768521857E-22,-0.0022462383,0.0043198313,-3.26598004954E+018,-6.2812303305E+018
196,-0.0006674061,0.0043978437,1.0625116375E-22,-0.0006674061,0.0043978437,-6.28140048816E+018,-4.13911812755E+019
200,-0.0029007029,0.0043078913,1.57943299887E-23,-0.0029007029,0.0043078913,-1.8365469914E+020,-2.72770527944E+020
204,0.0003374715,0.0043705542,2.25914876779E-24,0.0003374715,0.0043705542,1.4937995787E+020,1.9346041847E+021
208,-0.0001403696,0.0044455359,3.10931387839E-25,-0.0001403696,0.0044455359,-4.51448800263E+020,-1.42974844176E+022
212,2.27001859264E-05,0.0043279314,4.11775412867E-26,2.27001859264E-05,0.0043279314,5.51275894993E+020,1.05104173612E+023
216,0.0013523942,0.0044399477,5.24725739942E-27,0.0013523942,0.0044399477,2.57733537324E+023,8.46159869525E+023
220,0.0008500231,0.0042807708,6.43399082605E-28,0.0008500231,0.0042807708,1.32114438269E+024,6.65341306535E+024
224,0.0017552045,0.0044026739,7.59109833592E-29,0.0017552045,0.0044026739,2.31218784574E+025,5.79994395347E+025
228,-0.001614404,0.0043813012,8.61796862712E-30,-0.001614404,0.0043813012,-1.8732999362E+026,-5.08403297866E+026
232,0.0004185993,0.0043701235,9.4141542844E-31,0.0004185993,0.0043701235,4.44648817275E+026,4.64208498246E+027
236,0.000284395,0.0043945393,9.89541073799E-32,0.000284395,0.0043945393,2.87400881412E+027,4.44099045082E+028
240,-0.0009660652,0.004331913,1.00083492268E-32,-0.0009660652,0.004331913,-9.6525926367E+028,-4.32833633554E+029
244,0.0015164669,0.0043821731,9.74018459856E-34,0.0015164669,0.0043821731,1.55691801019E+030,4.4991585619E+030
248,0.001667846,0.0043848358,9.12111719632E-35,0.001667846,0.0043848358,1.8285544573E+031,4.8074649242E+031
252,0.0019008742,0.0043886407,8.21873533928E-36,0.0019008742,0.0043886407,2.31285490844E+032,5.3399731125E+032
256,-0.0005316005,0.0044547254,7.12587280962E-37,-0.0005316005,0.0044547254,-7.46014588778E+032,-6.2514957163E+033
260,-0.0005722504,0.0043575011,5.94493688877E-38,-0.0005722504,0.0043575011,-9.6258448039E+033,-7.3297903316E+034
264,0.0010205121,0.0044775212,4.77235280361E-39,0.0010205121,0.0044775212,2.13838352014E+035,9.38229300743E+035
268,0.0013326247,0.0044379523,3.68632776215E-40,0.0013326247,0.0044379523,3.61504660556E+036,1.20391389494E+037
272,0.0007770487,0.0044018036,2.73987950187E-41,0.0007770487,0.0044018036,2.83606891634E+037,1.60657694695E+038
276,-0.0002498387,0.004530415,1.9594992016E-42,-0.0002498387,0.004530415,-1.2750128355E+038,-2.31202819332E+039
280,-0.0001631051,0.0044766137,1.34844994476E-43,-0.0001631051,0.0044766137,-1.2095748851E+039,-3.3198227125E+040
284,0.0004421839,0.0045753248,8.92895594413E-45,0.0004421839,0.0045753248,4.95224623533E+040,5.12415132846E+041
288,0.0017819412,0.0044976699,5.68908787204E-46,0.0017819412,0.0044976699,3.13220901571E+042,7.90599757258E+042
292,0.000081329,0.0045885727,3.48787341568E-47,0.000081329,0.0045885727,2.33176484529E+042,1.31557899367E+044
296,-0.0002103602,0.0046409173,2.05757132684E-48,-0.0002103602,0.0046409173,-1.02237159282E+044,-2.25553246438E+045
300,0.0006217126,0.0046666382,1.16795253849E-49,0.0006217126,0.0046666382,5.32309800838E+045,3.99558400312E+046
304,-0.0010346911,0.0047260827,6.37927907954E-51,-0.0010346911,0.0047260827,-1.62195621188E+047,-7.40855142955E+047
308,0.0023745637,0.0047512907,3.35269556868E-52,0.0023745637,0.0047512907,7.08255090153E+048,1.41721638873E+049
312,-0.0011110186,0.0048762931,1.69548030855E-53,-0.0011110186,0.0048762931,-6.55282524473E+049,-2.87607983208E+050
316,0.0015472065,0.0049041123,8.25025726732E-55,0.0015472065,0.0049041123,1.87534339766E+051,5.94429507579E+051
320,-0.0003458899,0.0049365164,3.86294339052E-56,-0.0003458899,0.0049365164,-8.95404994682E+051,-1.27791688174E+053
324,-0.0017941398,0.0050817835,1.74038490428E-57,-0.0017941398,0.0050817835,-1.03088677444E+054,-2.91998201214E+054
328,-0.0002433379,0.005093914,7.54481130962E-59,-0.0002433379,0.005093914,-3.22523478479E+054,-6.75154856634E+055
332,-0.0021125324,0.0052914682,3.14722338383E-60,-0.0021125324,0.0052914682,-6.71236865414E+056,-1.68135934767E+057
336,-0.0010787652,0.0053420317,1.26323126893E-61,-0.0010787652,0.0053420317,-8.53972831682E+057,-4.22889247157E+058
340,-0.0009471497,0.0054459169,4.87881417019E-63,-0.0009471497,0.0054459169,-1.94135236264E+059,-1.1162436395E+060
344,-0.0030201821,0.0056022732,1.81310016374E-64,-0.0030201821,0.0056022732,-1.66575578246E+061,-3.09004090916E+061
348,-0.0010153584,0.0057533208,6.48343899952E-66,-0.0010153584,0.0057533208,-1.5660799649E+062,-8.87391964803E+062
352,-0.0004713449,0.006013111,2.2308233026E-67,-0.0004713449,0.006013111,-2.11287407198E+063,-2.69547002047E+064
356,-0.0023547571,0.0060384063,7.38585924732E-69,-0.0023547571,0.0060384063,-3.18819654728E+065,-8.17584558278E+065
360,-0.0038144176,0.0063715168,2.35295159543E-70,-0.0038144176,0.0063715168,-1.6211202992E+067,-2.70804982883E+067
364,-0.0037851075,0.0065699176,7.21275317121E-72,-0.0037851075,0.0065699176,-5.24779848517E+068,-9.10927227165E+068
368,-0.0013991305,0.0068414161,2.12747888813E-73,-0.0013991305,0.0068414161,-6.57647168171E+069,-3.21576184684E+070
372,-0.0015903479,0.0071505532,6.03817310139E-75,-0.0015903479,0.0071505532,-2.63382301662E+071,-1.18423470286E+072
376,-0.001722627,0.0073878929,1.64900499271E-76,-0.001722627,0.0073878929,-1.04464631614E+073,-4.48025454068E+073
380,4.69631133945E-05,0.0078480181,4.33325745969E-78,4.69631133945E-05,0.0078480181,1.08378313154E+073,1.81111281289E+075
384,-0.0001089853,0.0081825274,1.0956784689E-79,-0.0001089853,0.0081825274,-9.94682808394E+074,-7.46800079635E+076
388,0.0024158265,0.0085725543,2.66580189848E-81,0.0024158265,0.0085725543,9.06228830649E+077,3.21579470561E+078
392,0.0046295633,0.0091657555,6.24092164069E-83,0.0046295633,0.0091657555,7.41807632028E+079,1.46871871043E+080
396,0.0031315953,0.0096417923,1.40587172969E-84,0.0031315953,0.0096417923,2.22751142539E+081,6.85835510391E+081
400,0.002238259,0.0104759895,3.04732501987E-86,0.002238259,0.0104759895,7.34499612223E+082,3.43779276337E+083
404,0.004168425,0.0111723965,6.35576700801E-88,0.004168425,0.0111723965,6.55849249605E+084,1.75787822731E+085
408,0.003032702,0.0123282561,1.27553761576E-89,0.003032702,0.0123282561,2.37758724938E+086,9.66524585387E+086
412,0.0006567557,0.0137320206,2.46317168813E-91,0.0006567557,0.0137320206,2.66630092312E+087,5.57493660392E+088
416,0.0040585065,0.0155009279,4.57690827656E-93,0.0040585065,0.0155009279,8.86735389072E+089,3.38680831095E+090
420,0.0018546051,0.018299175,8.18325049297E-95,0.0018546051,0.018299175,2.26634278665E+091,2.23617832455E+092
424,-0.0045894528,0.0244110761,1.4078474319E-96,-0.0045894528,0.0244110761,-3.25990781453E+093,-1.73393964736E+094
428,-0.0016595919,0.0298041709,2.33056624467E-98,-0.0016595919,0.0298041709,-7.12098146558E+094,-1.27883886137E+096
432,-0.016898198,0.0320272682,3.71230305103E-100,-0.016898198,0.0320272682,-4.55194464409E+097,-8.62774501065E+097
436,-0.0197584625,0.0333152732,5.68985899578E-102,-0.0197584625,0.0333152732,-3.47257506613E+099,-5.85555668563E+099
440,-0.0153401016,0.0376926227,8.39142460765E-104,-0.0153401016,0.0376926227,-1.82806881426E+101,-4.49193074605E+101
444,-0.0352016078,0.0438475611,1.19081967466E-105,-0.0352016078,0.0438475611,-2.95608214864E+103,-3.68254156429E+103
448,0.0039924203,0.0524782165,1.62604446407E-107,0.0039924203,0.0524782165,2.45529588935E+104,3.22735755402E+105
452,7.83126152074E-05,0.0471659077,2.13646087638E-109,7.83126152074E-05,0.0471659077,3.66553003957E+104,2.20766540735E+107
456,0.0036018828,0.053571618,2.70105596503E-111,0.0036018828,0.053571618,1.33350915073E+108,1.98335985607E+109
460,-0.015154762,0.049718944,3.28585452933E-113,-0.015154762,0.049718944,-4.61212201302E+110,-1.51314488505E+111
464,0.0199975118,0.0600430083,3.84626491788E-115,0.0199975118,0.0600430083,5.19920292379E+112,1.56110296454E+113
468,-0.0137459167,0.0600580248,4.33217673949E-117,-0.0137459167,0.0600580248,-3.17298150455E+114,-1.38633694737E+115
472,0.0039576841,0.0570127366,4.69514760483E-119,0.0039576841,0.0570127366,8.42930699746E+115,1.21429161995E+117
476,-0.0140005638,0.0637167243,4.89630480011E-121,-0.0140005638,0.0637167243,-2.85941427676E+118,-1.30133349332E+119
480,-0.0094313094,0.0710357726,4.91319217877E-123,-0.0094313094,0.0710357726,-1.91958894588E+120,-1.44582148845E+121
484,0.0034873416,0.0800149438,4.74389611234E-125,0.0034873416,0.0800149438,7.35121841245E+121,1.68669313432E+123
488,-0.0167851786,0.079533585,4.40740235127E-127,-0.0167851786,0.079533585,-3.80840624128E+124,-1.80455944295E+125
492,0.0021080249,0.0774395027,3.94009179171E-129,0.0021080249,0.0774395027,5.35019230365E+125,1.96542407404E+127
496,0.0221716054,0.0743990784,3.38926940779E-131,0.0221716054,0.0743990784,6.54170641579E+128,2.19516974681E+129
500,-0.031680338,0.0505788772,2.80531707374E-133,-0.031680338,0.0505788772,-1.12929616113E+131,-1.80308657713E+131
504,-0.0111893589,0.0433459985,2.23426112769E-135,-0.0111893589,0.0433459985,-5.00808021287E+132,-1.94008191492E+133
508,-0.0048977695,0.0358305849,1.71222965927E-137,-0.0048977695,0.0358305849,-2.86046296257E+134,-2.09263401567E+135
512,0.0004301557,0.0343062718,1.26260124437E-139,0.0004301557,0.0343062718,3.40690079971E+135,2.71711064054E+137
516,-0.0080457075,0.0359132114,8.95873152264E-142,-0.0080457075,0.0359132114,-8.98085564503E+138,-4.00877310073E+139
520,0.0089714188,0.0297152502,6.11649946146E-144,0.0089714188,0.0297152502,1.46675705846E+141,4.85828814025E+141
524,-0.0066066496,0.0242884886,4.0182363055E-146,-0.0066066496,0.0242884886,-1.64416652707E+143,-6.0446415769E+143
528,-0.0026199523,0.0238825059,2.54006082252E-148,-0.0026199523,0.0238825059,-1.03145260401E+145,-9.40235573525E+145
532,-0.0017298042,0.0274063194,1.54500137474E-150,-0.0017298042,0.0274063194,-1.11961340102E+147,-1.77387144787E+148
536,-0.0050201758,0.0248890062,9.04252536547E-153,-0.0050201758,0.0248890062,-5.55174089638E+149,-2.75245903016E+150
540,-0.0001435777,0.0111219181,5.09244928403E-155,-0.0001435777,0.0111219181,-2.81942250677E+150,-2.18400180843E+152
544,0.0007313115,0.0053251192,2.75955974288E-157,0.0007313115,0.0053251192,2.65010212643E+153,1.92970510472E+154
548,-0.0042316214,0.0104986449,1.43889465811E-159,-0.0042316214,0.0104986449,-2.9408833575E+156,-7.296530465E+156
552,0,0,7.21928706331E-162,-7.21928706331E-162,0,-1,-0.0185621174
556,0,0,3.48526442559E-164,-3.48526442559E-164,0,-1,-0.0185621174
560,0,0,1.61902392679E-166,-1.61902392679E-166,0,-1,-0.0185621174
564,0,0,7.23680569199E-169,-7.23680569199E-169,0,-1,-0.0185621174
568,0,0,3.11255237677E-171,-3.11255237677E-171,0,-1,-0.0185621174
572,0,0,1.28813842674E-173,-1.28813842674E-173,0,-1,-0.0185621174
576,0,0,5.1296119802E-176,-5.1296119802E-176,0,-1,-0.0185621174
580,0,0,1.96554325369E-178,-1.96554325369E-178,0,-1,-0.0185621174
584,0,0,7.24697573291E-181,-7.24697573291E-181,0,-1,-0.0185621174
588,0,0,2.57102985728E-183,-2.57102985728E-183,0,-1,-0.0185621174
592,0,0,8.77674629364E-186,-8.77674629364E-186,0,-1,-0.0185621174
596,0,0,2.88294316247E-188,-2.88294316247E-188,0,-1,-0.0185621174
600,0,0,9.1120213245E-191,-9.1120213245E-191,0,-1,-0.0185621174
604,0,0,2.77121030887E-193,-2.77121030887E-193,0,-1,-0.0185621174
608,0,0,8.10961722128E-196,-8.10961722128E-196,0,-1,-0.0185621174
612,0,0,2.28353323564E-198,-2.28353323564E-198,0,-1,-0.0185621174
616,0,0,6.18714692785E-201,-6.18714692785E-201,0,-1,-0.0185621174
620,0,0,1.61305669979E-203,-1.61305669979E-203,0,-1,-0.0185621174
624,0,0,4.04655035014E-206,-4.04655035014E-206,0,-1,-0.0185621174
628,0,0,9.76779137468E-209,-9.76779137468E-209,0,-1,-0.0185621174
632,0,0,2.26873574231E-211,-2.26873574231E-211,0,-1,-0.0185621174
636,0,0,5.0704623514E-214,-5.0704623514E-214,0,-1,-0.0185621174
640,0,0,1.09040371643E-216,-1.09040371643E-216,0,-1,-0.0185621174
644,0,0,2.25633299903E-219,-2.25633299903E-219,0,-1,-0.0185621174
648,0,0,4.49257336903E-222,-4.49257336903E-222,0,-1,-0.0185621174
652,0,0,8.60722732175E-225,-8.60722732175E-225,0,-1,-0.0185621174
656,0,0,1.58674624461E-227,-1.58674624461E-227,0,-1,-0.0185621174
660,0,0,2.81467202401E-230,-2.81467202401E-230,0,-1,-0.0185621174
664,0,0,4.80423480588E-233,-4.80423480588E-233,0,-1,-0.0185621174
668,0,0,7.89035903574E-236,-7.89035903574E-236,0,-1,-0.0185621174
672,0,0,1.24693959853E-238,-1.24693959853E-238,0,-1,-0.0185621174
676,0,0,1.89613903815E-241,-1.89613903815E-241,0,-1,-0.0185621174
680,0,0,2.77441263634E-244,-2.77441263634E-244,0,-1,-0.0185621174
684,0,0,3.90614210978E-247,-3.90614210978E-247,0,-1,-0.0185621174
688,0,0,5.29177214877E-250,-5.29177214877E-250,0,-1,-0.0185621174
692,0,0,6.89811363611E-253,-6.89811363611E-253,0,-1,-0.0185621174
696,0,0,8.65238157876E-256,-8.65238157876E-256,0,-1,-0.0185621174
700,0,0,1.04428032327E-258,-1.04428032327E-258,0,-1,-0.0185621174
704,0,0,1.21275936572E-261,-1.21275936572E-261,0,-1,-0.0185621174
