x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,1.2426822082,0.0141866709,1.2426822082,0,0.0200629823,0,nan
3.2,0.9285685622,0.0176796366,0.9474754695,-0.0189069074,0.0207260007,-0.0199550363,-0.0218761596
6.4,0.4509584724,0.0115221419,0.4491508617,0.0018076107,0.0126115762,0.0040245069,0.0280787463
9.6,0.2060999223,0.0049897496,0.1430943321,0.0630055902,0.0052503537,0.4403080769,0.0370342724
12.8,0.1236314277,0.0016441857,0.0567746726,0.0668567551,0.0017673269,1.1775806355,0.0339076423
16,0.0845729938,0.0009235734,0.0390410057,0.0455319881,0.0010254927,1.1662606331,0.0294487255
19.2,0.0568254364,0.0006753897,0.022524504,0.0343009324,0.0007226853,1.5228274257,0.0364916748
22.4,0.0399870446,0.0003991121,0.011262837,0.0287242076,0.0004193124,2.5503527784,0.0472625807
25.6,0.0294585532,0.0002448648,0.0061084055,0.0233501477,0.000254601,3.822625674,0.0603463822
28.8,0.0235377803,0.0001804317,0.0044573158,0.0190804646,0.0001874698,4.2807073818,0.0644760268
32,0.0194068604,0.0001424143,0.0038929784,0.015513882,0.0001491878,3.9850932631,0.0594840107
35.2,0.0161729675,0.0001288415,0.003125983,0.0130469845,0.0001336925,4.1737221097,0.064026861
38.4,0.0134847877,0.0001081991,0.0023057444,0.0111790434,0.000111355,4.8483445887,0.0734570377
41.6,0.0112021126,9.46483530119E-05,0.0017986352,0.0094034774,9.68500716247E-05,5.22811807,0.0803849877
44.8,0.0095175689,8.68039394754E-05,0.0014452839,0.008072285,8.83581399967E-05,5.585259164,0.0883355809
48,0.008262436,8.01058537262E-05,0.0011533903,0.0071090457,8.11808201703E-05,6.1636081595,0.0995247966
51.2,0.0072320217,7.48883822333E-05,0.0009362495,0.0062957722,7.56472823558E-05,6.724459865,0.1114522809
54.4,0.0064129077,6.85670814754E-05,0.0007739439,0.0056389638,0.000069134,7.2860111689,0.1220570762
57.6,0.0056422387,6.51527618405E-05,0.0006556325,0.0049866062,6.55812837435E-05,7.6057951629,0.1324567346
60.8,0.0049489654,0.000060697,0.0005683388,0.0043806266,6.10428243182E-05,7.7077733222,0.1388481023
64,0.0043740869,5.80536540595E-05,0.0005080982,0.0038659888,5.83427198089E-05,7.6087437098,0.1439794007
67.2,0.0038742074,5.38918406034E-05,0.0004517461,0.0034224613,0.000054138,7.5760730057,0.1477921444
70.4,0.0034729503,5.1494367262E-05,0.0004086861,0.0030642642,5.17052991416E-05,7.4978432745,0.1527516513
73.6,0.0031791875,5.03158918235E-05,0.0003682073,0.0028109803,5.04911726973E-05,7.6342338349,0.162479524
76.8,0.0029138937,4.80185750097E-05,0.0003290124,0.0025848814,4.81652524126E-05,7.8564870172,0.1716843414
80,0.0026731046,4.72693735528E-05,0.0003050893,0.0023680154,4.73975170648E-05,7.7617126275,0.1788494168
83.2,0.0024338137,4.59106886099E-05,0.0002874455,0.0021463682,4.60278149309E-05,7.4670433902,0.181403969
86.4,0.0022472174,4.65030860266E-05,0.0002661439,0.0019810735,4.66022375467E-05,7.4436175325,0.1946324232
89.6,0.0020879327,4.64212632854E-05,0.0002475715,0.0018403611,4.65072226765E-05,7.4336544456,0.2061331662
92.8,0.001943926,4.49095011944E-05,0.0002303425,0.0017135835,4.49864228947E-05,7.4392858377,0.2129689945
96,0.001832704,4.54334140971E-05,0.0002121556,0.0016205484,4.54979254754E-05,7.6384890191,0.2315067416
99.2,0.0017015981,4.53350621645E-05,0.0001947597,0.0015068384,4.53895518059E-05,7.7369100458,0.249230173
102.4,0.0015749988,4.65549008085E-05,0.0001773033,0.0013976955,4.65988826833E-05,7.8830787372,0.2778011827
105.6,0.0014533136,4.52183777487E-05,0.0001568882,0.0012964253,4.52538351115E-05,8.2633680649,0.3034807312
108.8,0.0013696526,4.40544413759E-05,0.0001413593,0.0012282933,0.000044084,8.6891565082,0.3272540768
112,0.0013115009,4.3648206131E-05,0.000129826,0.001181675,4.36733621838E-05,9.1019916805,0.3520819838
115.2,0.0012407226,4.21216424615E-05,0.0001198705,0.0011208521,4.21438661177E-05,9.3505260924,0.3674265782
