x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.5008045303,0.0159547038,0.5008045303,0,0.0225633585,0,nan
3.2,0.3707991853,0.0109715934,0.3818353593,-0.011036174,0.0163814695,-0.0289029649,-0.0429117988
6.4,0.1742290387,0.0076891817,0.1810090986,-0.0067800599,0.0096113139,-0.0374570113,-0.0531119201
9.6,0.0694973254,0.0033879815,0.0576674304,0.011829895,0.003854042,0.2051399702,0.0671509932
12.8,0.0353391303,0.0010543718,0.0228803576,0.0124587728,0.0012818084,0.5445182717,0.0586465606
16,0.0217219811,0.0004833938,0.0157336384,0.0059883427,0.0006963588,0.3806076194,0.0458901591
19.2,0.014486675,0.0003835923,0.0090774404,0.0054092346,0.0004803896,0.5958986711,0.0562233138
22.4,0.0087831806,0.0002198297,0.0045389559,0.0042442246,0.0002631255,0.9350662804,0.0651766166
25.6,0.0060974766,0.0001354718,0.0024617051,0.0036357715,0.0001565348,1.4769321706,0.0791034194
28.8,0.0050111424,0.0001037084,0.0017963112,0.0032148312,0.0001184499,1.7896850098,0.0871722403
32,0.0043303136,9.02808369742E-05,0.0015688816,0.0027614321,0.000103193,1.760127796,0.0864330637
35.2,0.0036630423,8.59202142009E-05,0.0012597802,0.002403262,9.48316518946E-05,1.9076835764,0.0967479237
38.4,0.0030271079,7.53577309389E-05,0.0009292217,0.0020978862,8.09638300539E-05,2.2576811235,0.112982562
41.6,0.0025213891,6.95435162556E-05,0.0007248552,0.0017965339,7.32773239161E-05,2.4784727622,0.1282742192
44.8,0.0022133712,7.1646247371E-05,0.0005824536,0.0016309176,7.4010174111E-05,2.8000816865,0.1552527899
48,0.0019877597,6.69215385508E-05,0.0004648196,0.0015229401,6.85403371325E-05,3.2764109737,0.1806611992
51.2,0.0018329064,6.46507546984E-05,0.0003773113,0.0014555951,6.57587332264E-05,3.8578098674,0.2132590922
54.4,0.0017166441,6.08095413417E-05,0.0003119016,0.0014047424,0.000061616,4.503799663,0.2441580026
57.6,0.0016063628,0.000058667,0.0002642218,0.0013421411,5.92677911671E-05,5.0796003357,0.2765920918
60.8,0.0015837614,6.01862707284E-05,0.0002290422,0.0013547192,0.000060627,5.9147149493,0.32491775
64,0.0015405356,6.00215615427E-05,0.000204765,0.0013357705,0.000060375,6.52343086,0.3607321052
67.2,0.0015092414,5.7348739602E-05,0.000182055,0.0013271864,5.7641280091E-05,7.2900306986,0.3926620192
70.4,0.0014726719,5.73037064646E-05,0.0001647017,0.0013079703,5.75434334027E-05,7.9414509968,0.4313643208
73.6,0.0014223358,0.000056744,0.0001483886,0.0012739473,5.69405980366E-05,8.5852103785,0.4712249485
76.8,0.0014162347,5.58745728755E-05,0.0001325929,0.0012836417,0.000056034,9.6810716626,0.5231785885
80,0.0013885617,5.47606451127E-05,0.0001229519,0.0012656098,5.49005581663E-05,10.2935388628,0.5540043918
83.2,0.0013807574,5.50938500087E-05,0.0001158414,0.001264916,5.5217316459E-05,10.9193798508,0.5901034857
86.4,0.0013529799,5.45106034374E-05,0.0001072568,0.0012457231,5.46175959552E-05,11.6144009405,0.6294582863
89.6,0.0013446954,5.41323031426E-05,0.000099772,0.0012449234,5.42255422994E-05,12.477678217,0.6733534442
92.8,0.0013392227,5.18532460862E-05,9.28286840177E-05,0.001246394,5.19375109849E-05,13.4268196555,0.7042809917
96,0.0012923483,5.24925609032E-05,8.54993298105E-05,0.001206849,5.25631839761E-05,14.1153033065,0.7616901259
99.2,0.0012745313,5.16946330524E-05,7.84887287594E-05,0.0011960425,5.17550733123E-05,15.23839861,0.8188284705
102.4,0.0012381907,5.24987122988E-05,7.14537249327E-05,0.001166737,0.000052548,16.3285673006,0.9007990984
105.6,0.0012501554,5.09854467132E-05,6.32264179254E-05,0.001186929,5.10252200991E-05,18.7726753486,1.0044731075
108.8,0.0012372466,0.00004998,5.69682160051E-05,0.0011802783,5.00128934267E-05,20.7181902352,1.0983536075
112,0.0012348772,5.20413483333E-05,5.23202448754E-05,0.001182557,0.000052068,22.6022825376,1.2283641329
115.2,0.0012505211,5.01482692905E-05,4.83081530758E-05,0.0012022129,5.0171879166E-05,24.8863362291,1.3066107816
118.4,0.0012228837,5.04727805679E-05,4.45196074853E-05,0.0011783641,5.04927043009E-05,26.4684299884,1.4132876538
121.6,0.0011880071,4.90925202672E-05,4.20426754841E-05,0.0011459644,4.91107884591E-05,27.2571713197,1.4555249523
124.8,0.0011472846,4.97915193397E-05,0.000038996,0.0011082887,0.000049807,28.4206089223,1.5656086436
128,0.0011188443,4.97302698787E-05,3.68664590144E-05,0.0010819779,4.97441371971E-05,29.3485699263,1.641595293
131.2,0.0010988944,0.000047852,3.4958116573E-05,0.0010639363,0.000047865,30.4346001985,1.6777485311
134.4,0.0010453534,0.000048895,3.25864119758E-05,0.001012767,0.000048906,31.0794275271,1.797996549
137.6,0.0010508707,4.73622486661E-05,3.09057978422E-05,0.0010199649,4.73724818715E-05,33.0023800387,1.8587398858
140.8,0.0010291341,4.77476401483E-05,2.94501856437E-05,0.0009996839,4.77568572259E-05,33.9449100217,1.949130041
144,0.00102531,4.83848123539E-05,2.82987360554E-05,0.0009970112,4.83932107882E-05,35.2316526831,2.0455323071
147.2,0.0010146062,4.70164749117E-05,2.64746897006E-05,0.0009881315,0.000047024,37.3236304895,2.1374548553
150.4,0.0010029705,4.76641211795E-05,2.52173235792E-05,0.0009777532,4.76708911464E-05,38.7730758125,2.258192913
153.6,0.0010134549,4.66412329968E-05,2.36761295117E-05,0.0009897787,4.66473316508E-05,41.8049213562,2.3781411568
156.8,0.0010107602,4.64451122124E-05,2.25761761217E-05,0.000988184,4.64506808085E-05,43.7710981038,2.4855337323
160,0.0010241414,4.51417754192E-05,2.15708410141E-05,0.0010025706,0.000045147,46.4780481802,2.5637835947
163.2,0.0010128327,4.49428477865E-05,2.05285107711E-05,0.0009923042,4.49476059824E-05,48.3378555355,2.6768380706
166.4,0.0010453691,4.62837452143E-05,1.95922724507E-05,0.0010257768,0.000046288,52.3561941543,2.8920280538
169.6,0.0010633573,4.55784146972E-05,1.88162169493E-05,0.0010445411,4.55823565248E-05,55.5128093314,2.9993734702
172.8,0.0010788607,0.00004605,1.79233253554E-05,0.0010609374,4.60535559283E-05,59.1931123315,3.1872220169
176,0.0010724425,4.384591345E-05,0.000017247,0.0010551955,4.38493560984E-05,61.1813412635,3.2035985549
179.2,0.0011115943,4.53178784838E-05,1.67252992441E-05,0.001094869,0.000045321,65.4618494891,3.4193431057
182.4,0.0011390321,4.43921064833E-05,1.6128126603E-05,0.001122904,4.4395079919E-05,69.6239545386,3.5351100529
185.6,0.0011457569,4.48364982228E-05,1.54902728584E-05,0.0011302667,4.48392139384E-05,72.9662201848,3.7125096337
188.8,0.0011519523,4.47828499759E-05,1.48962816573E-05,0.0011370561,4.47853644249E-05,76.3315362428,3.8668434794
192,0.0011532603,4.36022719881E-05,1.43953840141E-05,0.0011388649,4.36046837608E-05,79.1131988405,3.940520875
195.2,0.0011602529,4.36743004554E-05,1.38178784041E-05,0.0011464351,4.36765189417E-05,82.9675171249,4.1203834767
198.4,0.0011417485,0.000043164,1.34061207453E-05,0.0011283424,4.31660705447E-05,84.1662128438,4.190156205
201.6,0.0011155275,4.36727239269E-05,1.30206648252E-05,0.0011025068,4.36746938862E-05,84.6736177703,4.3043937622
204.8,0.001106934,0.000043808,1.25143515722E-05,0.0010944196,4.38097675305E-05,87.4531631929,4.4741104248
208,0.0010777945,4.2856230005E-05,1.227088217E-05,0.0010655236,0.000042858,86.8334956786,4.4554893894
211.2,0.0010643404,4.38471834257E-05,1.18348964453E-05,0.0010525055,4.38488044525E-05,88.9323789918,4.6641704374
214.4,0.001035303,4.25850927412E-05,1.15905695526E-05,0.0010237124,4.25866936065E-05,88.3228742867,4.6279183262
217.6,0.0010067448,4.21703346717E-05,1.12232546023E-05,0.0009955216,4.21718504433E-05,88.7016845286,4.7015603711
220.8,0.0009934085,4.28488875984E-05,1.09883539097E-05,0.0009824201,4.28503175768E-05,89.405579417,4.8290541953
224,0.0009653682,4.22611099965E-05,1.06316735584E-05,0.0009547365,4.2262467267E-05,89.80115295,4.8976049154
227.2,0.0009440313,4.23772169233E-05,1.03326018834E-05,0.0009336987,4.23784953959E-05,90.3643380198,5.0109371049
230.4,0.0009187008,4.17388205612E-05,1.00558704993E-05,0.0009086449,0.00004174,90.359648759,5.0513482993
233.6,0.0009013141,4.15821148765E-05,9.64528896125E-06,0.0008916688,4.15832502245E-05,92.4460395877,5.2211913361
236.8,0.0008838801,4.18880756549E-05,0.000009369,0.0008745111,4.18891390697E-05,93.3408018671,5.36961789
240,0.0008635127,4.20913153581E-05,9.17240811458E-06,0.0008543403,4.20923296898E-05,93.1424201377,5.4648152026
243.2,0.0008380793,4.21204369539E-05,0.000008839,0.0008292403,4.21213782428E-05,93.815711444,5.6251010156
246.4,0.0008162016,4.17578283027E-05,0.000008563,0.0008076386,4.17587193938E-05,94.3170562046,5.7280189942
249.6,0.0007950168,4.17568529749E-05,8.42183434392E-06,0.000786595,4.17577149449E-05,93.3994834696,5.7825798891
252.8,0.0007808932,4.12215310705E-05,0.000008066,0.0007728272,4.12223320115E-05,95.8127893682,5.9527889799
256,0.0007385833,0.000040678,0.000007832,0.0007307514,4.06788088947E-05,93.3034622229,5.9843589119
259.2,0.0007382191,4.18942020348E-05,7.61149821261E-06,0.0007306076,4.18949038031E-05,95.9873621091,6.2965875664
262.4,0.0007061415,4.0781487128E-05,7.44713034329E-06,0.0006986943,4.07821772442E-05,93.8206126604,6.2388212286
265.6,0.000687334,4.1027411119E-05,7.21487156247E-06,0.0006801192,4.10280549778E-05,94.2662867185,6.4308841664
268.8,0.0006576857,4.04023996678E-05,6.98671068671E-06,0.000650699,0.000040403,93.1338157415,6.4995937135
272,0.0006328083,3.98086421714E-05,6.78065559368E-06,0.0006260277,3.98092282742E-05,92.3255375648,6.5665825021
275.2,0.000600217,4.01339087036E-05,6.56875658621E-06,0.0005936482,4.01344542892E-05,90.3745161755,6.7542936014
278.4,0.0005991328,4.0611587897E-05,6.40639954853E-06,0.0005927264,4.06121007422E-05,92.5209794273,6.9910500597
281.6,0.0005880003,4.12559087102E-05,6.26420870758E-06,0.0005817361,4.12563913851E-05,92.8666514864,7.220050358
284.8,0.0005702372,3.956778847E-05,6.04164363284E-06,0.0005641956,3.95682566112E-05,93.3844537868,7.1933079278
288,0.0005621094,3.99753834587E-05,0.000005895,0.0005562144,3.99758246118E-05,94.3529649618,7.4176181968
291.2,0.0005454898,0.000039691,5.70712626344E-06,0.0005397827,3.96913767237E-05,94.5804712553,7.5793824694
294.4,0.0005398256,3.97833769384E-05,5.53088906014E-06,0.0005342947,3.97837671473E-05,96.6019595559,7.8237353008
297.6,0.0005280497,4.00026447126E-05,5.36091578091E-06,0.0005226888,0.000040003,97.4999111926,8.0826550166
300.8,0.0005238249,0.000039445,5.24331871893E-06,0.0005185816,3.94453632441E-05,98.9033172854,8.156175344
304,0.0005191796,3.95232935322E-05,5.07178493038E-06,0.0005141078,3.95236238088E-05,101.36625577,8.4354635612
307.2,0.000515529,3.94369044784E-05,4.92860680014E-06,0.0005106004,3.94372170538E-05,103.599330798,8.6556534364
310.4,0.0005138917,3.88348573432E-05,4.74362431012E-06,0.0005091481,3.88351513844E-05,107.333138551,8.8722259793
313.6,0.0005162608,0.000039712,4.60761154088E-06,0.0005116532,3.97123202727E-05,111.045218599,9.3166457438
316.8,0.0005098536,3.89641778012E-05,4.52720092167E-06,0.0005053264,3.8964444735E-05,111.620043194,9.3124205708
320,0.000504424,3.93420514587E-05,4.42018813002E-06,0.0005000038,3.93423034781E-05,113.118217479,9.602473944
323.2,0.0004909276,3.80605486802E-05,4.24042861164E-06,0.0004866871,3.80607884277E-05,114.773101249,9.6918916768
326.4,0.0004833881,3.82818380993E-05,4.15739599069E-06,0.0004792307,3.82820672176E-05,115.271842749,9.9134649017
329.6,0.0004905695,0.000038777,4.07847046777E-06,0.000486491,3.87772064114E-05,119.282702562,10.2390852319
332.8,0.0004795786,3.79970772843E-05,3.85305259586E-06,0.0004757256,3.799727556E-05,123.46718843,10.6171150923
336,0.0004843369,3.89308964034E-05,3.80542741586E-06,0.0004805315,3.89310851688E-05,126.275308701,10.9929524745
339.2,0.0004670658,3.81394082205E-05,3.76142071785E-06,0.0004633044,3.81395964726E-05,123.172720737,10.8725011958
342.4,0.0004627359,3.81515049739E-05,3.68479696999E-06,0.0004590511,3.81516855771E-05,124.579757313,11.0884344558
345.6,0.0004606418,3.83629432206E-05,0.000003589,0.0004570528,3.836311361E-05,127.348583089,11.4331569766
348.8,0.0004584,3.86344667421E-05,3.50237501556E-06,0.0004548976,3.86346278661E-05,129.882620443,11.7815136652
352,0.0004594892,3.79502091099E-05,0.000003437,0.0004560522,3.79503670767E-05,132.687352562,11.8230847921
355.2,0.0004594903,3.77449322944E-05,3.37254911191E-06,0.0004561178,3.77450852157E-05,135.244216302,11.9925785815
358.4,0.000464549,3.81346612631E-05,3.22833324627E-06,0.0004613206,3.81347999537E-05,142.897459292,12.6594143055
361.6,0.0004637372,3.75589330959E-05,3.10921924386E-06,0.000460628,3.75590637129E-05,148.14909443,12.9691990377
364.8,0.000454653,3.72181084785E-05,3.06758120966E-06,0.0004515854,3.72182367848E-05,147.212201604,13.0076585529
368,0.0004446455,3.78794496512E-05,2.99834704089E-06,0.0004416472,3.78795700911E-05,147.296891534,13.4768495549
371.2,0.0004371334,3.79433597289E-05,2.89111319298E-06,0.0004342423,3.79434715194E-05,150.198995305,13.969278689
374.4,0.0004324297,3.76000713723E-05,0.000002859,0.0004295707,3.76001816923E-05,150.251362337,13.9954797126
377.6,0.0004282124,3.69612911992E-05,2.808124365E-06,0.0004254043,3.69613994661E-05,151.490543784,14.0192242945
380.8,0.0004259927,3.70021431E-05,2.78970315827E-06,0.000423203,3.70022498332E-05,151.701814207,14.1169205331
384,0.0004176976,3.74587556933E-05,2.73454040789E-06,0.0004149631,3.74588569971E-05,151.748754718,14.5264655616
387.2,0.000415641,3.73950987379E-05,2.63319260319E-06,0.0004130078,3.73951928317E-05,156.84678763,15.0549028292
390.4,0.0004094448,3.70505253184E-05,2.58191949034E-06,0.0004068629,3.70506166249E-05,157.581553104,15.202837602
393.6,0.0003873264,3.66374626485E-05,2.57630176327E-06,0.0003847501,3.6637554583E-05,149.341997553,14.9957577721
396.8,0.0004102752,3.73346164144E-05,0.000002522,0.0004077532,3.7334702871E-05,161.676850188,15.6739384712
400,0.0003860323,3.64673357689E-05,2.44206407357E-06,0.0003835902,3.64674187579E-05,157.076236944,15.7491908345
403.2,0.0004054562,0.000037317,2.40048746852E-06,0.0004030557,3.73170923367E-05,167.905790429,16.4402016958
406.4,0.0003917577,3.67828678756E-05,2.36867057757E-06,0.000389389,3.67829452815E-05,164.391374584,16.3882980742
409.6,0.0003855529,3.63743284826E-05,2.32906259805E-06,0.0003832239,3.6374404162E-05,164.539962448,16.4738529121
412.8,0.0003893926,0.00003652,2.28440918826E-06,0.0003871082,3.65201001552E-05,169.456579394,16.8735966085
416,0.0003684679,3.58842173925E-05,2.25250624866E-06,0.0003662154,3.58842891453E-05,162.581318955,16.7516835688
419.2,0.0003846051,3.65401385276E-05,2.19889080558E-06,0.0003824062,3.65402056779E-05,173.908699953,17.5168352403
422.4,0.0003723742,3.58747707485E-05,2.15832573125E-06,0.0003702158,3.58748366439E-05,171.529173044,17.4968455525
425.6,0.0003695409,3.59761204399E-05,2.11752622338E-06,0.0003674234,3.59761836889E-05,173.515392721,17.8663965572
428.8,0.0003708546,3.64322738108E-05,2.06878912569E-06,0.0003687858,3.64323334259E-05,178.261651155,18.5035241426
432,0.0003490878,3.540621786E-05,2.01221772064E-06,0.0003470756,3.54062758938E-05,172.484120026,18.4337229271
435.2,0.0003515197,0.000035491,2.01010394903E-06,0.0003495096,3.54910657914E-05,173.876356535,18.5048865662
438.4,0.0003276117,3.59821093977E-05,1.95422536078E-06,0.0003256575,3.59821632586E-05,166.642737792,19.1625851287
441.6,0.000323716,3.60618091373E-05,1.88768440899E-06,0.0003218283,3.60618592816E-05,170.488417846,19.8608666683
444.8,0.0003111055,3.57281085543E-05,1.83370649393E-06,0.0003092718,3.57281563139E-05,168.659373613,20.2114303955
448,0.0002913109,3.53165708229E-05,1.79414024316E-06,0.0002895167,3.53166170764E-05,161.367956008,20.3446610041
451.2,0.0002952034,3.55417184166E-05,1.77470614853E-06,0.0002934287,3.55417633869E-05,165.339294429,20.7079700483
454.4,0.0002872106,3.55396375345E-05,1.73631870138E-06,0.0002854742,3.55396805828E-05,164.413499417,21.1279777241
457.6,0.0003006538,3.54232578032E-05,1.70554334533E-06,0.0002989483,3.54232994755E-05,175.280374798,21.5070872725
460.8,0.0003034743,3.57063309859E-05,1.6869054163E-06,0.0003017874,3.57063714292E-05,178.900030566,21.9206841337
464,0.0003106862,3.53575818561E-05,1.62739289645E-06,0.0003090588,3.53576198675E-05,189.91039883,22.5532139279
467.2,0.0003121784,3.51524633111E-05,0.000001592,0.0003105864,3.51524999011E-05,195.087077631,22.9382078733
470.4,0.0002998855,0.00003517,1.52713758061E-06,0.0002983583,0.00003517,195.37095387,23.8562767734
473.6,0.0003137061,3.4848664785E-05,1.54341689979E-06,0.0003121627,3.4848699474E-05,202.254307041,23.480332497
476.8,0.0002992274,3.51127611926E-05,1.54928014668E-06,0.0002976782,3.51127958827E-05,192.139657004,23.4760203826
480,0.0002979345,3.49792891274E-05,1.51432395309E-06,0.0002964202,3.49793223962E-05,195.744224271,23.9259414647
483.2,0.0002921225,3.52642705679E-05,1.49016977107E-06,0.0002906323,3.52643025235E-05,195.033005798,24.4667221204
486.4,0.0002710903,3.44667363177E-05,0.000001424,0.0002696662,3.4466766175E-05,189.367837028,24.9441545628
489.6,0.000272654,3.47807470473E-05,1.38557289233E-06,0.0002712684,3.47807750584E-05,195.780682685,25.8653763073
492.8,0.000268022,3.45744327113E-05,1.39049007116E-06,0.0002666316,3.45744610899E-05,191.753658771,25.6043827264
496,0.0002661242,3.53583675168E-05,0.000001346,0.0002647782,3.535839352E-05,196.711069519,27.0059183126
499.2,0.0002540974,0.00003491,1.27750812339E-06,0.0002528199,0.00003491,197.90083358,28.0445063663
502.4,0.0002448799,3.43077431458E-05,1.26248252546E-06,0.0002436174,3.43077667218E-05,192.966925617,27.8615288421
505.6,0.0002433837,3.47821156945E-05,1.26080420902E-06,0.0002421229,3.47821388872E-05,192.038477724,28.2575113708
508.8,0.0002330892,3.46024289821E-05,1.26157019103E-06,0.0002318277,3.46024523235E-05,183.761211271,28.0458995913
512,0.000236336,3.48675957276E-05,1.25928341924E-06,0.0002350767,3.48676188076E-05,186.674996459,28.3199409403
515.2,0.0002234682,3.42831959173E-05,1.21409662089E-06,0.0002222541,3.42832177363E-05,183.061261599,28.8335947975
518.4,0.0002247132,0.000034375,1.19023806008E-06,0.000223523,0.000034375,187.79687695,29.493953807
