x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,53.6919419473,0.6312744221,53.6919419473,0,0.8927568493,0,nan
2,44.1749051648,0.3724427305,45.4183043444,-1.2433991795,0.6510514059,-0.0273766094,-0.0143381733
4,25.2264358499,0.3111152431,27.7942784707,-2.5678426209,0.4512009499,-0.0923874539,-0.0162698917
6,12.0683395714,0.2930398574,12.9428104968,-0.8744709254,0.3301953778,-0.0675642223,-0.0255242405
8,5.8736011396,0.2803413625,5.3645344378,0.5090667018,0.2873489854,0.0948948521,0.0535761894
10,3.3278311562,0.2481455626,2.6611251068,0.6667060494,0.2501102631,0.2505354024,0.094032809
12,2.2885850563,0.2552968697,1.7848032302,0.5037818261,0.2561578469,0.2822618301,0.1435599811
14,1.5139343422,0.2379911358,1.3587020411,0.1552323011,0.2385266704,0.1142504364,0.175559943
16,0.9170509437,0.2292903706,1.0353719787,-0.118321035,0.2296132865,-0.1142787689,-0.2217729525
18,0.7285535874,0.2289784225,0.7653509501,-0.0367973627,0.2291551675,-0.048079071,-0.2994124145
20,0.7717148264,0.2184326095,0.5462913732,0.2254234532,0.2185270211,0.41264326,0.4000485888
22,0.4600012695,0.2223996966,0.3763482271,0.0836530424,0.2224437106,0.2222756382,0.5910639906
24,0.2728538629,0.2103656661,0.2502323111,0.0226215518,0.2103862382,0.0904022013,0.8407643496
26,0.2712992872,0.2034954561,0.160577314,0.1107219732,0.2035042138,0.6895243818,1.2673544751
28,0.2393122835,0.2067802377,0.0994517103,0.1398605732,0.2067835437,1.4063164203,2.079301415
30,0.1565394447,0.2032846696,0.0594466776,0.0970927671,0.2032858712,1.6332749126,3.419687771
32,0.0730151749,0.2044754945,0.0342949507,0.0387202242,0.2044758921,1.1290357154,5.9622887549
34,0.1441293002,0.1956697446,0.0190950167,0.1250342835,0.1956698734,6.5480059813,10.247458735
36,0.1229293266,0.1947703898,0.0102611767,0.1126681499,0.1947704272,10.9800418852,18.9817345099
38,0.1330357665,0.1959601169,0.0053218368,0.1277139297,0.1959601269,23.9980919876,36.822977904
40,0.139097017,0.1952736218,0.0026638711,0.1364331459,0.1952736243,51.2161214443,73.3069300666
42,0.138796194,0.1889469649,0.0012869217,0.1375092723,0.1889469655,106.851312329,146.8262464
44,0.1064748791,0.192698172,0.0006000374,0.1058748417,0.1926981722,176.447077654,321.150315106
46,0.1591849584,0.1924287262,0.0002700174,0.158914941,0.1924287262,588.535930469,712.686655491
48,0.2367622173,0.1894355455,0.0001172715,0.2366449458,0.1894355455,2017.92385846,1615.53307006
50,0.2240307819,0.1859173591,4.91564409918E-05,0.2239816255,0.1859173591,4556.50614556,3782.53602121
52,0.206776042,0.1848637989,1.98863770452E-05,0.2067561556,0.1848637989,10396.8739584,9296.80557621
54,0.1906317897,0.1892610434,7.76458361715E-06,0.1906240251,0.1892610434,24550.4504223,24376.6211605
56,0.29490196,0.1894316642,0.000002926,0.294899034,0.1894316642,100787.20755,64752.6239644
58,0.2224486879,0.1843491218,1.06415519051E-06,0.2224476238,0.1843491218,209036.826366,173252.618608
60,0.1846220392,0.1866119835,3.73533246311E-07,0.1846216657,0.1866119835,494257.653065,499619.804563
62,0.2375049837,0.1832464763,1.26543785199E-07,0.2375048572,0.1832464763,1876859.11901,1448255.64638
