x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.0944432797,0.0029952297,0.0944432797,0,0.0042358944,0,nan
3.2,0.0726093036,0.0025926703,0.0720077025,0.000601601,0.0034550253,0.0083546763,0.0479820615
6.4,0.0333571771,0.0017530338,0.0341352601,-0.000778083,0.0020603687,-0.0227941138,-0.0603632861
9.6,0.0132715856,0.0008075824,0.0108751038,0.0023964818,0.0008781486,0.220364042,0.0810503947
12.8,0.0071544874,0.0002815712,0.0043148492,0.0028396382,0.0003130631,0.6581083432,0.0754972061
16,0.00463714,0.0001515611,0.0029670986,0.0016700414,0.0001783974,0.562853346,0.0627191085
19.2,0.002977205,0.0001382266,0.001711852,0.001265353,0.0001485061,0.7391719672,0.0898632981
22.4,0.0018588337,0.0001156095,0.0008559705,0.0010028632,0.000118754,1.1716096213,0.1436257319
25.6,0.0013990278,0.0001014646,0.000464236,0.0009347918,0.0001025272,2.0136132322,0.2298991156
28.8,0.0011421933,9.13657392281E-05,0.000338754,0.0008034393,9.19952164811E-05,2.3717488953,0.2817939905
32,0.0010025748,8.5787173107E-05,0.0002958646,0.0007067103,8.6298806167E-05,2.3886274447,0.3013601906
35.2,0.0009081075,8.52063546412E-05,0.0002375733,0.0006705342,8.55388341289E-05,2.8224309008,0.3710123755
38.4,0.0008246376,8.14517103063E-05,0.0001752355,0.0006494021,8.16410874836E-05,3.7058815361,0.480489502
41.6,0.0007723595,7.9278317088E-05,0.0001366955,0.000635664,7.93967623162E-05,4.6502204483,0.5992606153
44.8,0.000694105,7.67887045293E-05,0.0001098409,0.0005842641,7.68676806513E-05,5.3191847778,0.7198549532
48,0.0006218268,7.39024320745E-05,8.76571333158E-05,0.0005341696,7.39547018198E-05,6.0938525306,0.8655342032
51.2,0.0005513265,7.34186096196E-05,7.11545342869E-05,0.0004801719,7.34532820761E-05,6.7482969273,1.0542584398
54.4,0.0004933061,7.26338158646E-05,5.8819381534E-05,0.0004344867,7.26577665857E-05,7.3867954261,1.2572875097
57.6,0.0004317211,7.33074284379E-05,4.98277675418E-05,0.0003818933,7.33244591408E-05,7.6642663899,1.4914979225
60.8,0.000405087,7.12921556649E-05,4.3193488268E-05,0.0003618935,7.13053152705E-05,8.3784279569,1.6720831107
64,0.0003842293,0.00006982,3.86152286263E-05,0.0003456141,6.98306925104E-05,8.9502023857,1.8305137807
67.2,0.0003842088,0.00006955,3.43324960965E-05,0.0003498763,6.95585342433E-05,10.190819182,2.0516429007
70.4,0.0003855219,7.01013803608E-05,0.00003106,0.0003544619,7.01083009295E-05,11.4121845997,2.2860257481
73.6,0.0003707628,7.04832367213E-05,2.79835827045E-05,0.0003427792,7.04888238893E-05,12.2492980563,2.5487155588
76.8,0.0003632112,0.000066694,2.50047893454E-05,0.0003382064,6.66986726253E-05,13.5256647543,2.7017071801
80,0.0003455945,6.72747526117E-05,2.31866461634E-05,0.0003224079,6.72787714352E-05,13.9048941833,2.9349365936
83.2,0.0003134514,0.000066171,2.18457285635E-05,0.0002916056,6.61745892696E-05,13.348405246,3.0586160812
86.4,0.0002917546,6.68357962554E-05,2.02268154575E-05,0.0002715278,6.68388746482E-05,13.4241500669,3.3317814801
89.6,0.0002577775,6.73861785148E-05,1.88153223405E-05,0.0002389622,6.73888205107E-05,12.7004019702,3.6041703915
