x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,1.5276481078,0.0037520627,1.5276481078,0,0.005306218,0,nan
4,1.1852820247,0.0022348937,1.1814330278,0.0038489969,0.0036626142,0.0032579053,0.0031001558
8,0.6180846579,0.00188521,0.5521917179,0.06589294,0.0023223704,0.119329823,0.004215932
12,0.2630751537,0.0017788449,0.1667030987,0.0963720549,0.0018253576,0.5781059602,0.0110414289
16,0.1184151042,0.0016918963,0.0449044729,0.0735106312,0.0016954872,1.6370447395,0.0379711243
20,0.0667472387,0.0014940652,0.0209948793,0.0457523593,0.0014949548,2.1792151593,0.071406568
24,0.0389681625,0.0015373057,0.015394314,0.0235738486,0.0015377706,1.5313347933,0.099962895
28,0.0231112775,0.0014293973,0.0118976133,0.0112136643,0.001429696,0.9425137665,0.1201889188
32,0.0155021154,0.0013805926,0.0089103051,0.0065918103,0.0013807661,0.7397962439,0.1549734782
36,0.0103594843,0.0013849219,0.00642297,0.0039365144,0.0013850117,0.6128807039,0.2156394147
40,0.0085291216,0.0013234548,0.0044551147,0.0040740069,0.0013235,0.9144561158,0.2970827724
44,0.005128007,0.0013462403,0.0029734323,0.0021545747,0.0013462601,0.7246086272,0.4527664946
48,0.003891249,0.0012772257,0.0019095601,0.0019816888,0.0012772344,1.0377724194,0.6688679811
52,0.0021858972,0.0012342403,0.0011800074,0.0010058897,0.0012342437,0.8524435935,1.0459647838
56,-0.000231197,0.0012515496,0.0007016366,-0.0009328336,0.0012515508,-1.329510972,-1.7837622364
60,7.2394255752E-05,0.0012236876,0.0004014356,-0.0003290413,0.001223688,-0.8196615808,-3.0482806805
64,-0.0003298514,0.0012260955,0.0002210017,-0.0005508531,0.0012260957,-2.4925288776,-5.5479053549
68,-0.0002924986,0.0011750541,0.0001170716,-0.0004095702,0.0011750542,-3.4984600593,-10.0370626082
72,-0.0004879871,0.0011724124,5.967375421E-05,-0.0005476609,0.0011724124,-9.1775833925,-19.6470492512
76,-0.0001381412,0.0011802801,2.92678904744E-05,-0.0001674091,0.0011802801,-5.7198878404,-40.3267929778
80,0.0009763519,0.0011791798,1.38126050026E-05,0.0009625393,0.0011791798,69.6855721798,85.3700030301
84,0.0005205339,0.0011439899,6.27243075E-06,0.0005142615,0.0011439899,81.9875855061,182.383928246
88,0.0004979163,0.0011711132,2.74076796394E-06,0.0004951756,0.0011711132,180.670366049,427.29405936
92,0.0004265658,0.0011707703,1.15235097796E-06,0.0004254134,0.0011707703,369.169994,1015.98457014
96,0.000519425,0.0011585615,4.66201204766E-07,0.0005189588,0.0011585615,1113.16484224,2485.1118884
100,0.0002194409,0.0011368049,1.8148390675E-07,0.0002192594,0.0011368049,1208.14781515,6263.94395799
104,-0.0005747175,0.0011340639,0.000000068,-0.0005747855,0.0011340639,-8455.25730219,-16682.41479
108,-0.0005933421,0.0011670683,2.45016826172E-08,-0.0005933666,0.0011670683,-24217.3819688,-47632.2058026
112,-0.0005336609,0.0011694626,8.49745693195E-09,-0.0005336694,0.0011694626,-62803.4235487,-137625.101704
116,-0.0003501782,0.0011441491,2.83568604297E-09,-0.0003501811,0.0011441491,-123490.777947,-403482.409265
120,4.73997564788E-05,0.0011595573,9.10549228059E-10,4.73988459296E-05,0.0011595573,52055.2260866,1273470.17793
124,-0.0004648224,0.0011446875,2.81335687978E-10,-0.0004648226,0.0011446875,-1652199.37901,-4068762.42901
128,-0.0005849159,0.001165757,8.3641600462E-11,-0.000584916,0.001165757,-6993123.17212,-13937537.0026
132,-0.0006280578,0.0011664354,2.39274244308E-11,-0.0006280578,0.0011664354,-26248451.4902,-48748932.2141
136,-0.0009553806,0.0011517258,6.58636331681E-12,-0.0009553806,0.0011517258,-145054348.349,-174865574.404
140,0.0002107884,0.0011894671,1.74450221505E-12,0.0002107884,0.0011894671,120830108.417,681837577.068
144,-0.0007665376,0.0011727635,4.44604115263E-13,-0.0007665376,0.0011727635,-1724090258.79,-2637773595.86
148,-0.0003285826,0.0011874073,1.09031388441E-13,-0.0003285826,0.0011874073,-3013651237.22,-10890511686
152,-0.0006677142,0.0011688752,2.57279817063E-14,-0.0006677142,0.0011688752,-25952841628.1,-45432106126.6
156,-0.0006716874,0.0011861603,5.84165635518E-15,-0.0006716874,0.0011861603,-114982353190,-203052247453
160,-0.0010011698,0.0012111961,1.2762695383E-15,-0.0010011698,0.0012111961,-784450095410,-949014702718
164,-0.0010766064,0.0011793243,2.68302619914E-16,-0.0010766064,0.0011793243,-4012657140490,-4395511409610
168,-0.0018810332,0.0011976326,5.42729632889E-17,-0.0018810332,0.0011976326,-34658752666400,-22066999885100
172,-0.0010890685,0.0011860115,1.05637537053E-17,-0.0010890685,0.0011860115,-103094841814000,-112272069784000
176,-0.00047531,0.0012041291,1.97846836689E-18,-0.00047531,0.0012041291,-240241386338000,-608617116181000
180,-0.0004332029,0.0012182171,3.56546408397E-19,-0.0004332029,0.0012182171,-1214997113400000,-3416715327900000
184,-0.0003539052,0.0012055631,6.18271364652E-20,-0.0003539052,0.0012055631,-5724108304090000,-1.94989360451E+016
188,0.000121777,0.0012174674,1.03161657279E-20,0.000121777,0.0012174674,1.18044804964E+016,1.18015499122E+017
192,0.0007382376,0.0012152158,1.65627939725E-21,0.0007382376,0.0012152158,4.45720422993E+017,7.33702969018E+017
196,0.0004736813,0.0012269839,2.55873317636E-22,0.0004736813,0.0012269839,1.85123352153E+018,4.79528100149E+018
200,0.0003239769,0.0012084912,3.8035796234E-23,0.0003239769,0.0012084912,8.51768300531E+018,3.17724781166E+019
