x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,6.3656149828,0.2951649829,6.3656149828,0,0.4174263219,0,nan
2,4.7743798496,0.1743137225,5.384708173,-0.6103283234,0.3045097759,-0.1133447355,-0.0567945367
4,3.3738959651,0.14656131,3.2952370329,0.0786589322,0.2117232695,0.0238704929,0.0642608349
6,2.0923940413,0.1382292129,1.534475108,0.5579189333,0.1554665789,0.3635894322,0.1027089241
8,1.3958698272,0.1320114019,0.6360090463,0.7598607809,0.1352653775,1.1947326618,0.2197749987
10,0.7699990059,0.1159822457,0.3154979544,0.4545010516,0.11690122,1.4405831963,0.3765021694
12,0.5428055713,0.1194176428,0.2116028918,0.3312026795,0.1198200471,1.5652086635,0.5708817246
14,0.4276608053,0.1112045113,0.1610851416,0.2665756638,0.1114550752,1.6548743177,0.6961436949
16,0.2342667733,0.1074301377,0.1227517415,0.1115150318,0.1075808136,0.9084598753,0.8774214211
18,0.1461655694,0.1073643018,0.0907385596,0.0554270098,0.107446711,0.6108429541,1.1844737741
20,0.1012375646,0.1027524926,0.0647672709,0.0364702937,0.1027963704,0.5630975827,1.5873801347
22,0.1169601623,0.1046247821,0.0446191333,0.0723410291,0.1046452364,1.621300634,2.3465042034
24,0.0934907376,0.0987491423,0.029667069,0.0638236686,0.0987587234,2.1513304356,3.3303948726
26,0.0886165556,0.0958277131,0.0190377423,0.0695788133,0.0958317789,3.6547828028,5.0366303875
28,0.10328566,0.0969123377,0.0117908065,0.0914948535,0.0969138799,7.7598469331,8.2273163486
30,0.1289986507,0.0951227192,0.0070478855,0.1219507652,0.0951232806,17.3031704935,13.5205383291
32,0.0588898342,0.0951807892,0.0040659444,0.0548238898,0.095180976,13.4836790942,23.4176632878
34,0.0555728957,0.0908594993,0.002263869,0.0533090266,0.0908595599,23.5477521015,40.1494859609
36,0.0217646749,0.090445909,0.0012165457,0.0205481292,0.0904459266,16.8905529339,74.3506358072
38,0.0389563801,0.0905142631,0.0006309469,0.0383254332,0.0905142679,60.7427237811,143.485468639
40,0.0361935524,0.0900094353,0.0003158235,0.0358777289,0.0900094365,113.600562372,285.047834835
42,-0.0241874499,0.0870692654,0.000152575,-0.0243400249,0.0870692657,-159.528263992,-570.713289121
44,-0.0241605652,0.0887045282,7.11392953954E-05,-0.0242317045,0.0887045283,-340.623340995,-1247.01325174
46,0.0381125669,0.0882770328,3.201275157E-05,0.0380805541,0.0882770329,1189.5432987,2758.11001034
48,0.0204528928,0.0867924512,1.39034863097E-05,0.0204389893,0.0867924512,1470.06217682,6242.86768304
50,0.003763552,0.0849704938,5.82789457658E-06,0.0037577241,0.0849704938,644.782437868,14579.9947769
52,0.0088858166,0.084362717,2.3576912118E-06,0.0088834589,0.084362717,3767.86360246,35782.3459713
54,0.0266520137,0.0861721332,9.20554333039E-07,0.0266510932,0.0861721332,28951.1354475,93618.5845873
56,0.0303370078,0.0858369739,3.46895920584E-07,0.0303366609,0.0858369739,87451.7661019,247476.24322
58,-0.0025936993,0.0833761997,1.26164224633E-07,-0.0025938254,0.0833761997,-20559.1200362,-660855.220023
60,0.0597649453,0.0841796288,4.42853944758E-08,0.059764901,0.0841796288,1349539.76808,1901873.79069
62,0.0486028319,0.0823749826,0.000000015,0.0486028169,0.0823749826,3239584.88728,5492698.10079
64,0.0537626774,0.0834685942,4.90536015744E-09,0.0537626725,0.0834685942,10959984.7375,17023380.5827
66,0.0318381666,0.0829197053,1.54795020674E-09,0.031838165,0.0829197053,20567951.6653,53575913.3559
68,0.0055471374,0.0814150455,4.71444244308E-10,0.0055471369,0.0814150455,11766262.9551,172693702.015
70,0.0096803636,0.0836216468,1.38576935671E-10,0.0096803635,0.0836216468,69855516.8273,603439894.903
72,0.0095015429,0.0817909779,3.93132396229E-11,0.0095015428,0.0817909779,241688116.11,2080524659.5
74,-0.0110194957,0.0825273493,1.07640071508E-11,-0.0110194957,0.0825273493,-1023735447.58,-7667119678.83
76,0.0161215436,0.0804819677,2.84443743678E-12,0.0161215436,0.0804819677,5667744125.58,28295731963
78,0.0256686484,0.0816111623,7.25447617058E-13,0.0256686484,0.0816111623,35383186552.4,112509627238
80,-0.0249919712,0.0829879773,1.78567737176E-13,-0.0249919712,0.0829879773,-139957931710,-464787588441
82,0.0011445111,0.0804973912,4.24216148103E-14,0.0011445111,0.0804973912,26979431975.9,1897556447070
84,0.030139761,0.0814269831,9.72654636726E-15,0.030139761,0.0814269831,3098711492710,8372856330270
86,0.0075228315,0.080197207,2.15237228334E-15,0.0075228315,0.080197207,3495134884040,37260266819900
88,-0.0135216494,0.0814690256,4.59688230488E-16,-0.0135216494,0.0814690256,-29414826178700,-177231942685000
90,-0.0029761789,0.0822313139,9.47538014217E-17,-0.0029761789,0.0822313139,-31409598671200,-867843068171000
92,0.0047925726,0.0809818829,1.88502521766E-17,0.0047925726,0.0809818829,254244482828000,4296079809910000
94,-0.0301012491,0.0818000102,3.61930306707E-18,-0.0301012491,0.0818000102,-8316863368949999,-2.26043289872E+016
96,0.0291561333,0.0809854186,6.70687174426E-19,0.0291561333,0.0809854186,4.3472030468E+016,1.20766737633E+017
98,-0.000543777,0.0820249001,1.19950570028E-19,-0.000543777,0.0820249001,-4533342192130000,-6.83822544397E+017
100,-0.0117085054,0.0805582506,2.07048407808E-20,-0.0117085054,0.0805582506,-5.65496038623E+017,-3.89088140707E+018
102,-0.0069326126,0.0817989154,3.44928228829E-21,-0.0069326126,0.0817989154,-2.00987103948E+018,-2.37149471061E+019
104,0.0191372534,0.0830759113,5.5459103614E-22,0.0191372534,0.0830759113,3.45069647877E+019,1.49805252751E+020
106,-0.0076121337,0.0817105151,8.60605698523E-23,-0.0076121337,0.0817105151,-8.84508863022E+019,-9.49462426215E+020
108,0.0081615185,0.0834237359,1.28891077209E-23,0.0081615185,0.0834237359,6.33210513037E+020,6.47248793695E+021
110,-0.0035598923,0.0810648985,1.86306820142E-24,-0.0035598923,0.0810648985,-1.91076865618E+021,-4.35115936871E+022
112,0.0154971155,0.0834859658,2.59909358749E-25,0.0154971155,0.0834859658,5.96250767025E+022,3.21223747586E+023
114,0.011450821,0.0830080359,3.49947057623E-26,0.011450821,0.0830080359,3.27215809785E+023,2.3720654953E+024
