x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.9908131768,0.014091444,0.9908131768,0,0.0199283113,0,nan
1.6,0.713377006,0.0117880962,0.7352095454,-0.0218325393,0.0157572784,-0.029695669,-0.0214365246
3.2,0.3301000147,0.0073779763,0.3593692173,-0.0292692027,0.0089753385,-0.0814460484,-0.0250021037
4.8,0.1481483551,0.0030300961,0.1329043608,0.0152439943,0.0035713106,0.1146989777,0.0269207505
6.4,0.0915498607,0.00121115,0.059644662,0.0319051987,0.001478665,0.5349212761,0.0259322708
8,0.0583407812,0.0007090696,0.0352240507,0.0231167305,0.0008681824,0.6562768914,0.026355505
9.6,0.0365767572,0.000435456,0.0187842957,0.0177924615,0.000510874,0.9471987574,0.030350313
11.2,0.0247577513,0.0002338394,0.0096017416,0.0151560097,0.0002707926,1.5784646564,0.0360463513
12.8,0.0186250463,0.0001474989,0.006011866,0.0126131803,0.0001704887,2.0980474971,0.0411650381
14.4,0.0150857821,0.000123819,0.0049840052,0.0101017769,0.0001426729,2.026839156,0.0406249895
16,0.01210209,0.0001115882,0.0043321334,0.0077699566,0.0001274675,1.7935635623,0.0389413216
17.6,0.0094727087,0.0001055704,0.003227445,0.0062452637,0.0001151174,1.9350488588,0.045051104
19.2,0.0074689785,9.11187080808E-05,0.0022189021,0.0052500764,9.6428685801E-05,2.3660694144,0.0549630615
20.8,0.0059980524,8.29652944136E-05,0.0015050143,0.004493038,8.56819185079E-05,2.9853789333,0.0710200463
22.4,0.0051408924,7.97967953786E-05,0.0012031164,0.0039377761,8.16107189136E-05,3.2729802109,0.0822682319
24,0.0045215782,7.5830121022E-05,0.001029289,0.0034922892,7.72301584772E-05,3.392913939,0.0892096604
25.6,0.0040387559,7.41517379213E-05,0.0008747899,0.003163966,7.51882132534E-05,3.6168295769,0.1001667026
27.2,0.003612497,0.000068846,0.0007688749,0.0028436222,0.000069709,3.6984200051,0.1048169273
28.8,0.0032155227,6.63563323169E-05,0.000655283,0.0025602397,6.70075810438E-05,3.9070750182,0.1163798152
30.4,0.0028816773,6.64924836739E-05,0.0005779012,0.0023037761,6.69985211719E-05,3.9864528957,0.1290548182
