x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.0594161811,0.0013659181,0.0594161811,0,0.0019316999,0,nan
3.2,0.0430893129,0.0014927734,0.0453015048,-0.0022121919,0.0018201542,-0.0488326371,-0.0401943494
6.4,0.0184584372,0.0009770026,0.0214751839,-0.0030167467,0.0010946536,-0.1404759414,-0.0510751549
9.6,0.0060753353,0.0003630988,0.0068417482,-0.0007664129,0.000395701,-0.1120200354,-0.0578935406
12.8,0.0030717462,0.0001509083,0.002714559,0.0003571872,0.0001633024,0.1315820202,0.0602339957
16,0.0020856201,0.0001051976,0.0018666618,0.0002189583,0.0001136135,0.1172993742,0.060924233
19.2,0.0012841239,9.37827571104E-05,0.0010769608,0.0002071631,9.6995752934E-05,0.1923590113,0.0901728289
22.4,0.0007617745,7.93552718339E-05,0.0005385084,0.0002232661,8.0315115183E-05,0.4146010449,0.1494479177
25.6,0.0005317751,7.16686164267E-05,0.0002920603,0.0002397148,7.19824331308E-05,0.8207716021,0.2471855094
28.8,0.0004377172,6.9988227863E-05,0.000213117,0.0002246002,7.01595012484E-05,1.0538822894,0.3300968311
32,0.0003858725,6.67874825647E-05,0.0001861344,0.0001997381,6.69244202744E-05,1.0730855775,0.3603942036
35.2,0.000357631,6.64212686468E-05,0.0001494622,0.0002081688,6.65100813234E-05,1.3927861545,0.4461465372
38.4,0.0002899748,6.63816205933E-05,0.0001102442,0.0001797306,0.00006643,1.6302951757,0.6037355786
41.6,0.0002397899,6.25842836306E-05,8.59978811386E-05,0.000153792,6.26155021103E-05,1.78832309,0.7292649163
44.8,0.0002262205,6.28150515056E-05,6.91031448912E-05,0.0001571173,6.28351365278E-05,2.2736642072,0.9107959547
48,0.0002089406,5.99248863609E-05,5.51468788919E-05,0.0001537937,5.9938295346E-05,2.7888022007,1.0887738639
51.2,0.0001950345,6.18626406177E-05,4.47647594269E-05,0.0001502697,6.1871199634E-05,3.3568753383,1.3842935144
54.4,0.0001861917,5.80372345428E-05,3.7004464865E-05,0.0001491872,5.8043468848E-05,4.0316007447,1.5712889379
57.6,0.0001808764,5.8887922909E-05,3.13476582925E-05,0.0001495288,5.88923322892E-05,4.7700139686,1.8818812383
60.8,0.0001703531,5.68996405555E-05,2.71738987613E-05,0.0001431792,5.69030697422E-05,5.2689965561,2.0975344785
64,0.0001643964,5.8063539341E-05,2.42936228449E-05,0.0001401028,5.80662251854E-05,5.7670616002,2.3938579844
67.2,0.0001731061,5.3150662581E-05,2.15992690232E-05,0.0001515068,0.000053153,7.0144433877,2.466147151
70.4,0.0001613525,5.46805413636E-05,1.95404472254E-05,0.0001418121,5.46823865435E-05,7.2573607608,2.8033894195
73.6,0.0001499304,5.42422327167E-05,0.000017605,0.0001323253,5.4243742589E-05,7.5163329671,3.0859900521
76.8,0.0001439535,5.48604041832E-05,0.000015731,0.0001282224,5.48615961382E-05,8.1509303663,3.4925090691
80,0.0001458263,5.26549493721E-05,1.45871889658E-05,0.0001312391,0.000052656,8.9968764287,3.6156644919
83.2,0.0001351446,5.22319442827E-05,1.37435905308E-05,0.000121401,5.22328998694E-05,8.8332844934,3.8059492103
86.4,0.0001423312,5.10737092351E-05,1.27250994895E-05,0.0001296061,5.10745470175E-05,10.185073442,4.0205092697
89.6,0.0001522281,5.16425459984E-05,1.18371005664E-05,0.000140391,5.164326295E-05,11.8602481869,4.3713419541
92.8,0.0001441672,5.06081787653E-05,1.10133306829E-05,0.0001331539,5.06088120861E-05,12.090247353,4.6036302316
96,0.0001274853,5.1285878055E-05,1.01437653925E-05,0.0001173415,5.12864082165E-05,11.5678491141,5.0629426545
99.2,0.0001163469,4.99878570754E-05,0.000009312,0.0001070349,4.99883154609E-05,11.4942711324,5.3746505475
102.4,0.0001045914,4.95643812615E-05,8.47737431091E-06,0.000096114,4.95647644048E-05,11.3377132877,5.8525185533
105.6,9.38082906367E-05,4.95816529963E-05,7.50127458851E-06,0.000086307,0.000049582,11.5056468111,6.6150939167
108.8,9.0035552629E-05,4.81425057194E-05,6.75879237024E-06,8.32767602587E-05,4.81427564563E-05,12.321248486,7.1286117166
112,8.2444882062E-05,4.99222611884E-05,6.20735028531E-06,7.62375317767E-05,4.992246514E-05,12.2818156335,8.0474305436
115.2,7.62443848105E-05,0.000047874,5.73134985305E-06,0.000070513,4.78741951732E-05,12.3030414763,8.3578271305
118.4,7.17175928742E-05,4.89920581756E-05,5.2818712696E-06,6.64357216046E-05,4.89922086487E-05,12.5780652753,9.2800460953
121.6,6.97184803139E-05,4.61824018523E-05,0.000004988,6.47304758754E-05,4.61825442117E-05,12.9772290048,9.2635267397
124.8,6.29117382988E-05,4.76497410285E-05,4.62653654538E-06,5.82852017534E-05,4.76498597313E-05,12.5980203942,10.3033219004
128,5.07305288407E-05,4.80970735605E-05,4.37389055473E-06,4.6356638286E-05,4.80971786663E-05,10.5984906815,10.9991283329
131.2,4.6156347982E-05,4.69505533383E-05,4.14748201962E-06,4.20088659624E-05,4.69506501522E-05,10.1287638533,11.3226726932
134.4,3.94486225296E-05,4.76108185216E-05,3.86609952146E-06,3.55825230081E-05,4.7610901478E-05,9.2037266011,12.3167879688
137.6,3.79736019062E-05,4.65783073135E-05,3.66670900548E-06,3.43068929007E-05,4.65783835879E-05,9.3563172997,12.7048697196
140.8,0.000038508,4.57524399421E-05,0.000003494,0.000035014,4.5752510451E-05,10.0211308903,13.0965711912
144,3.28286563932E-05,4.57691083476E-05,3.3574033865E-06,2.94712530067E-05,4.57691734271E-05,8.777989897,13.6338063843
147.2,3.08336034433E-05,4.62548237968E-05,0.000003141,2.7692607581E-05,4.62548801589E-05,8.816505591,14.7275778281
150.4,4.00216792823E-05,4.60165333556E-05,2.99182010878E-06,3.70298591736E-05,4.6016584756E-05,12.3770339884,15.3834309833
153.6,3.31678469589E-05,4.53044768594E-05,0.000002809,3.03588763658E-05,4.53045228811E-05,10.8078299005,16.1304281472
156.8,4.37315510185E-05,0.000045568,2.67847051604E-06,4.10530805025E-05,0.000045568,15.3270608195,17.016357478
160,2.96719343946E-05,4.43482706005E-05,2.5591960902E-06,2.71127383044E-05,4.43483096252E-05,10.5942402805,17.3307116377
163.2,3.60802864068E-05,4.4167121345E-05,2.43553250745E-06,3.36447538994E-05,4.41671568344E-05,13.814126396,18.1372774205
166.4,3.66799328013E-05,4.48274447023E-05,2.3244558254E-06,3.43554769759E-05,4.48274765522E-05,14.780008551,19.2881418056
169.6,2.98248498393E-05,4.37866681681E-05,2.23238346699E-06,2.75924663723E-05,4.3786698243E-05,12.3600926007,19.6163845772
172.8,2.54397255275E-05,4.49036084556E-05,2.12644950388E-06,2.33132760236E-05,4.49036350652E-05,10.9634750231,21.1182223162
176,2.20193546616E-05,4.27515585447E-05,2.04621098297E-06,1.99731436786E-05,4.27515844244E-05,9.7610382531,20.8942530693
179.2,0.000018691,4.38925086008E-05,1.98431393588E-06,1.67066850118E-05,4.38925323058E-05,8.4193759414,22.1205988781
182.4,1.52911259857E-05,0.000042893,1.91346450134E-06,1.33776614844E-05,0.000042893,6.9913298496,22.4169832038
185.6,1.76873114065E-05,4.30546791438E-05,1.83778860126E-06,1.58495228053E-05,4.30546998729E-05,8.6242361033,23.4282885382
188.8,0.000024654,4.42677198258E-05,1.76731661742E-06,2.28866564451E-05,4.42677384703E-05,12.9499469532,25.0497645022
192,1.96958383493E-05,4.2729384029E-05,1.70788938928E-06,1.798794896E-05,4.27294020676E-05,10.5322681158,25.0200061464
195.2,1.86355218695E-05,4.3187091549E-05,1.63937328004E-06,1.69961485895E-05,4.31871079932E-05,10.3674671269,26.3447476984
198.4,2.2523370461E-05,4.25957079356E-05,1.59052174987E-06,2.09328487112E-05,4.25957236292E-05,13.1609949457,26.7826842767
201.6,1.88179192164E-05,4.23214829471E-05,1.54479069641E-06,1.727312852E-05,4.23214978471E-05,11.1815332395,27.3974725572
204.8,2.0491830183E-05,4.29967595845E-05,1.48472095242E-06,1.90071092306E-05,4.29967731321E-05,12.8018057532,28.9609931593
208,2.12288929128E-05,4.1814544111E-05,1.45583538686E-06,1.97730575259E-05,4.18145575049E-05,13.5819322049,28.7237338548
211.2,0.000028957,4.33505302346E-05,1.40410940357E-06,2.75529065705E-05,4.33505422522E-05,19.6230482472,30.8773443399
214.4,2.33744093821E-05,4.1954440385E-05,1.37512210408E-06,2.19992872781E-05,4.19544522951E-05,15.9980609815,30.5118362209
217.6,3.2956405025E-05,4.12712769957E-05,1.33154332178E-06,3.16248617032E-05,4.12712883477E-05,23.7505315718,30.9998861475
220.8,2.60558937684E-05,4.24454963083E-05,1.30367436045E-06,2.4752219408E-05,4.2445506889E-05,18.9865047277,32.5612915552
224,2.58291390414E-05,4.15108667943E-05,1.26135728251E-06,2.45677817589E-05,4.15108769223E-05,19.477258426,32.912735764
227.2,3.35062443019E-05,4.2462353184E-05,1.22587498208E-06,3.22803693199E-05,4.24623625358E-05,26.332513341,34.6437012371
230.4,3.60965303728E-05,4.14553378248E-05,0.000001193,3.49034872064E-05,4.14553468976E-05,29.2558460494,34.7540749518
233.6,2.73754362647E-05,0.000041346,1.14433117292E-06,2.62311050918E-05,0.000041346,22.9226518622,36.1350270436
236.8,2.93548297852E-05,4.06242795648E-05,1.11155329721E-06,2.8243276488E-05,4.06242876016E-05,25.4088369482,36.5519818264
240,2.87542852674E-05,4.06492176231E-05,1.08822789845E-06,2.76660573689E-05,4.06492253214E-05,25.4230363037,37.3581680373
243.2,2.64408951351E-05,4.10092805918E-05,1.04867596634E-06,2.53922191687E-05,4.10092876779E-05,24.2135988464,39.1097377848
246.4,2.42756391598E-05,4.09365705668E-05,1.01592888516E-06,2.32597102747E-05,4.09365772291E-05,22.8950181596,40.2981645083
249.6,2.63609000955E-05,4.15840589598E-05,9.99178729802E-07,2.53617213657E-05,4.15840653039E-05,25.3825673118,41.6223356229
252.8,3.27051317649E-05,4.10957001003E-05,0.000000957,3.17481681874E-05,4.10957059887E-05,33.1759420461,42.9506279802
256,2.94043429748E-05,4.02614675358E-05,9.29198187458E-07,2.84751447873E-05,4.02614732026E-05,30.6448561477,43.3349904411
259.2,2.60230920325E-05,4.07206948158E-05,0.000000903,2.51200527652E-05,4.07207001077E-05,27.8172319548,45.0974793688
262.4,3.17796589911E-05,4.01473382374E-05,8.83538423247E-07,3.08961205678E-05,4.01473433755E-05,34.9686213468,45.4463832458
265.6,2.46563515618E-05,4.10224701242E-05,0.000000856,2.38003686597E-05,4.10224748439E-05,27.8047243686,47.9286717306
268.8,1.90474242887E-05,4.04524411705E-05,8.28913562576E-07,1.82185107262E-05,4.04524456588E-05,21.9787822865,48.8043815236
272,1.44818004915E-05,4.01226493652E-05,8.04466885319E-07,1.36773336062E-05,4.01226536274E-05,17.0017360016,49.8763670398
275.2,2.50176841954E-05,4.03102708611E-05,7.79326877515E-07,2.42383573179E-05,4.03102748424E-05,31.1016571059,51.7294181176
278.4,2.3880706095E-05,4.00417682075E-05,7.60064601381E-07,2.31206414936E-05,4.00417720199E-05,30.4193110054,52.6867052216
281.6,2.16492556091E-05,4.11468546482E-05,7.43194872288E-07,2.09060607368E-05,4.11468581953E-05,28.1299851713,55.3686071762
284.8,2.19290731674E-05,3.96714952278E-05,7.16789426681E-07,2.12122837407E-05,3.96714986501E-05,29.5934662973,55.3502802825
288,1.66502014208E-05,4.00056619575E-05,6.99396040577E-07,1.59508053802E-05,4.00056651885E-05,22.8065422948,57.2027054635
291.2,1.56596500064E-05,4.0343325451E-05,6.77101797288E-07,1.49825482091E-05,4.0343328454E-05,22.1274677886,59.5845394307
294.4,1.79106282852E-05,3.9400314583E-05,6.56192758028E-07,1.72544355272E-05,3.94003174709E-05,26.2947667679,60.0468591474
297.6,1.43923534418E-05,4.034573121E-05,0.000000636,1.3756326562E-05,4.03457338595E-05,21.6285301728,63.4359561421
300.8,1.15826864468E-05,3.96744628659E-05,6.22074992643E-07,1.09606114542E-05,3.96744654433E-05,17.6194375016,63.7789109814
304,1.37082637208E-05,4.05035106609E-05,6.0172397338E-07,1.31065397474E-05,4.0503513023E-05,21.7816479436,67.3143094001
307.2,1.57567433288E-05,3.9760679547E-05,5.84737110843E-07,0.000015172,3.97606818194E-05,25.9467133804,68.0001506295
310.4,2.15026099331E-05,0.000039447,5.62790517991E-07,2.09398194151E-05,0.000039447,37.2071290218,70.0970157131
313.6,1.70416235298E-05,3.93127721482E-05,5.4665376435E-07,0.000016495,3.93127741568E-05,30.1744373518,71.9186540602
316.8,1.58281885362E-05,3.87596902724E-05,5.37113731018E-07,1.52910748052E-05,3.87596922393E-05,28.4689702053,72.1658822541
320,1.68427030858E-05,3.9781724714E-05,5.24417577084E-07,1.63182855088E-05,3.97817265408E-05,31.1169690373,75.8622460913
323.2,1.3236072893E-05,3.88253383203E-05,5.03090645217E-07,0.000012733,3.88253400429E-05,25.3095190079,77.1758406797
326.4,0.000007123,3.95683043128E-05,4.93239533767E-07,6.6297916892E-06,3.95683059375E-05,13.4413225934,80.2218734795
329.6,7.22129274097E-06,3.92373248746E-05,4.83875694428E-07,6.73741704654E-06,3.92373264515E-05,13.9238592145,81.0903143171
332.8,6.95667989838E-06,3.91138343887E-05,4.57131788798E-07,6.49954810958E-06,3.91138358004E-05,14.2181057386,85.564211793
