x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,1.1769305827,0.0098068463,1.1769305827,0,0.0138689751,0,nan
4,0.8574625347,0.0058501539,0.9101995772,-0.0527370424,0.0095784035,-0.0579400867,-0.010534479
8,0.364330758,0.0049191373,0.4254195171,-0.0610887591,0.0060633127,-0.1435965127,-0.0143026866
12,0.0783621477,0.0046626165,0.1284313934,-0.0500692457,0.0047838521,-0.3898520788,-0.0373896905
16,-0.0168244502,0.004459883,0.0345953019,-0.0514197521,0.0044691895,-1.4863218204,-0.1297771741
20,-0.0310276026,0.0039321042,0.016174874,-0.0472024765,0.0039344133,-2.9182593106,-0.2444547119
24,-0.0406350006,0.0040569321,0.0118600866,-0.0524950872,0.0040581355,-4.4261976203,-0.3441494011
28,-0.0476089268,0.0037934607,0.0091661586,-0.0567750854,0.0037942295,-6.1939889622,-0.4171440763
32,-0.0493558164,0.0036613227,0.0068646769,-0.0562204933,0.0036617694,-8.1898237054,-0.5377694639
36,-0.0480622405,0.0036782056,0.0049483842,-0.0530106247,0.0036784367,-10.7127139803,-0.748701516
40,-0.0431550693,0.0035241173,0.0034323093,-0.0465873786,0.0035242334,-13.5731879166,-1.0329921432
44,-0.0425564169,0.0035993868,0.0022907916,-0.0448472085,0.0035994375,-19.5771665357,-1.5797088465
48,-0.042183548,0.0034278116,0.0014711632,-0.0436547112,0.0034278335,-29.6736013735,-2.3430982824
52,-0.0412307416,0.0033365293,0.0009091012,-0.0421398428,0.0033365379,-46.3533000333,-3.6904178252
56,-0.0382006001,0.0033907481,0.0005405548,-0.0387411549,0.0033907511,-71.6692412866,-6.3010869582
60,-0.0369810263,0.0033392911,0.000309274,-0.0372903003,0.0033392921,-120.573678092,-10.843840046
64,-0.0326793347,0.0033644041,0.0001702641,-0.0328495988,0.0033644044,-192.933202141,-19.8252047629
68,-0.031573748,0.0032404448,9.01942671595E-05,-0.0316639422,0.0032404449,-351.063800867,-36.0462857495
72,-0.0268368434,0.0032420895,4.59738508857E-05,-0.0268828173,0.0032420896,-584.741472241,-70.6884173552
76,-0.0226989178,0.003278172,2.25485667899E-05,-0.0227214663,0.003278172,-1007.66787348,-145.624984373
80,-0.0204130705,0.003284442,1.06415064904E-05,-0.020423712,0.003284442,-1919.25006508,-309.058493589
84,-0.014813236,0.0032021445,4.83240580065E-06,-0.0148180684,0.0032021445,-3066.39571603,-663.132255451
88,-0.0116943595,0.0032837045,2.11154232467E-06,-0.0116964711,0.0032837045,-5539.30220342,-1555.80614617
92,-0.0083082804,0.0032947529,8.87794185736E-07,-0.0083091682,0.0032947529,-9359.34067571,-3711.98682482
96,-0.0039756469,0.0032683968,3.59170710044E-07,-0.003976006,0.0032683968,-11069.9617568,-9100.30986274
100,-0.0029408688,0.0032310079,1.39818822823E-07,-0.0029410087,0.0032310079,-21034.4258025,-23109.1977973
104,0.0011490294,0.0032407696,5.2372882929E-08,0.0011489771,0.0032407696,21938.3966062,61879.0413046
108,0.0013087942,0.0033455994,1.88765851588E-08,0.0013087753,0.0033455994,69333.2666704,177236.354457
112,0.0019110154,0.0033698813,6.54661036612E-09,0.0019110089,0.0033698813,291908.142979,514757.832538
116,0.0039261815,0.0033083778,2.18466910661E-09,0.0039261793,0.0033083778,1797150.57833,1514435.09035
120,0.0028901866,0.0033726562,7.01505293056E-10,0.0028901859,0.0033726562,4119977.32137,4807864.20237
124,0.0042830326,0.0033389274,2.16746627377E-10,0.0042830323,0.0033389274,19760548.9725,15405628.7906
128,0.0032852374,0.0034141506,6.44391578574E-11,0.0032852373,0.0034141506,50982002.4019,52984247.9041
132,0.0032140069,0.0034282392,1.84341651941E-11,0.0032140069,0.0034282392,174350551.722,185977708.238
136,0.0032973177,0.003394449,5.07426571387E-12,0.0032973177,0.003394449,649811797.544,668975641.452
140,0.0041546949,0.0035165962,1.34399931371E-12,0.0041546949,0.0035165962,3091292407.25,2616643166.16
144,0.0044276046,0.0034687005,3.42531881375E-13,0.0044276046,0.0034687005,12926109556.9,10127222746.5
148,0.0032729934,0.0035199074,8.39999571066E-14,0.0032729934,0.0035199074,38964226918.4,41904938099.9
152,0.0020276291,0.0034656793,1.98213504448E-14,0.0020276291,0.0034656793,102295203892,174847848597
156,0.002662139,0.0035302402,4.50052861185E-15,0.002662139,0.0035302402,591516963524,784421158201
160,0.0028820261,0.0036076532,9.8326351711E-16,0.0028820261,0.0036076532,2931082091540,3669141671620
164,0.003143861,0.0035187702,2.06705691697E-16,0.003143861,0.0035187702,15209358770900,17023564700800
168,0.0041144895,0.0035779019,4.18129738006E-17,0.0041144895,0.0035779019,98402221072000,85573108406300
172,0.0023324782,0.0035362027,8.13852662819E-18,0.0023324782,0.0035362027,286597106451000,434508142965000
176,0.0001676445,0.0036024076,1.5242515053E-18,0.0001676445,0.0036024076,109984778182000,2363394680380000
