x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,3.7276387713,0.3178654876,3.7276387713,0,0.4495296835,0,nan
2,2.9848315243,0.1918160084,3.1532298155,-0.1683982912,0.3302908718,-0.0534050168,-0.1048457921
4,1.95062055,0.1607568838,1.9296569707,0.0209635793,0.2300401129,0.0108638891,0.1192165561
6,1.3517085764,0.1519135857,0.8985728671,0.4531357093,0.1701438269,0.5042837658,0.1941704433
8,1.0731274048,0.1449140923,0.3724403669,0.7006870379,0.1483533815,1.8813402093,0.4294203703
10,0.9115837805,0.1278139959,0.1847523625,0.7268314179,0.1287812721,3.9340845659,0.7735734364
12,0.9198590221,0.1311445773,0.1239124807,0.7959465414,0.1315695546,6.4234574023,1.1947516507
14,0.7035177682,0.1226230722,0.0943298049,0.6091879633,0.1228866133,6.4580644915,1.4143483045
16,0.7495413911,0.1181444092,0.0718821594,0.6776592316,0.1183033101,9.4273633003,1.8316359593
18,0.5843650681,0.1184058139,0.0531355688,0.5312294993,0.1184924757,9.9976251558,2.3874064749
20,0.5169994468,0.1133856146,0.0379270488,0.479072398,0.1134317295,12.6314177588,3.1788334559
22,0.509768354,0.1150359824,0.0261285063,0.4836398478,0.1150575571,18.5100457866,4.6778614377
24,0.5152559865,0.1091984801,0.017372731,0.4978832555,0.1092085283,28.6588939487,6.7445243313
26,0.4768610639,0.1055352096,0.0111483064,0.4657127575,0.1055394911,41.7743054145,10.1148799011
28,0.5102213531,0.1070870777,0.0069045752,0.5033167779,0.1070886962,72.8961250961,16.709087483
30,0.442439199,0.1048892656,0.0041271694,0.4383120296,0.104889856,106.201608528,26.9797781281
32,0.5200699521,0.1051352106,0.0023809753,0.5176889768,0.1051354067,217.42727685,47.8909722495
34,0.4775359058,0.100406046,0.0013256985,0.4762102074,0.1004061097,359.214574788,81.6979437144
36,0.4665370161,0.0996983297,0.0007123967,0.4658246194,0.0996983482,653.883778054,150.646554617
38,0.4814003433,0.0999960558,0.000369476,0.4810308673,0.0999960607,1301.92714738,292.528175848
40,0.4175747477,0.0993689846,0.000184943,0.4173898047,0.0993689858,2256.85637444,570.720906497
42,0.4440289462,0.0961115233,8.93463533415E-05,0.4439395999,0.0961115236,4968.74895562,1156.15328146
44,0.4525414729,0.0979350052,4.16584409199E-05,0.4524998145,0.0979350053,10862.1399286,2526.79181357
46,0.4584384235,0.0975247624,1.87463386101E-05,0.4584196771,0.0975247625,24453.8246465,5604.68888167
48,0.3889045004,0.0959421603,8.14173882094E-06,0.3888963587,0.0959421603,47765.7619863,12468.0644173
