x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.4632730886,0.005123703,0.4632730886,0,0.0072460103,0,nan
1.6,0.34302589,0.0059924659,0.3437608672,-0.0007349771,0.0070967786,-0.0021380477,-0.0206445349
3.2,0.1545687933,0.0038624816,0.1680297468,-0.0134609535,0.0042862941,-0.0801105385,-0.0255245206
4.8,0.0690544258,0.0015043368,0.0621419004,0.0069125254,0.0016538979,0.1112377535,0.0266432774
6.4,0.0437588653,0.0005391017,0.0278879686,0.0158708967,0.0006210981,0.5690947551,0.0231434856
8,0.028128395,0.0003429487,0.0164696586,0.0116587364,0.0003883205,0.7078918056,0.0248437968
9.6,0.0186467933,0.0002763086,0.008782946,0.0098638473,0.0002928859,1.123068183,0.0355852294
11.2,0.0122911416,0.0001598751,0.0044894725,0.0078016691,0.000167408,1.7377696822,0.0419506157
12.8,0.0091057652,0.0001234422,0.0028109595,0.0062948057,0.0001272968,2.2393797259,0.0516160779
14.4,0.0073946973,0.0001165596,0.0023303641,0.0050643332,0.000119375,2.1731939428,0.0565842605
16,0.0061151238,0.0001078784,0.0020255694,0.0040895544,0.0001101799,2.0189653698,0.0587993674
17.6,0.0050079228,0.0001100539,0.0015090518,0.003498871,0.0001113122,2.3185890976,0.0780932374
19.2,0.0039715195,0.0001001767,0.0010374889,0.0029340306,0.0001008317,2.8280116895,0.1020971252
20.8,0.0031698041,9.42411686599E-05,0.0007036974,0.0024661067,0.000094562,3.5044989565,0.1398567644
22.4,0.0026800113,9.20597017232E-05,0.0005625394,0.0021174719,9.22696948226E-05,3.7641309477,0.1692241592
24,0.0023375453,8.44629471772E-05,0.0004812632,0.0018562821,8.46304924959E-05,3.8571038602,0.1809509735
25.6,0.0020992662,8.29569448775E-05,0.0004090243,0.001690242,8.30801947936E-05,4.132375959,0.2081963299
27.2,0.0018451495,7.79285418993E-05,0.0003595017,0.0014856478,7.8029906606E-05,4.1325194481,0.2218100631
28.8,0.0016245483,7.51763189047E-05,0.0003063897,0.0013181586,7.52526516065E-05,4.3022285148,0.250177404
30.4,0.0014417718,7.6205552822E-05,0.0002702084,0.0011715633,7.62641272576E-05,4.3357761142,0.2862864293
32,0.0012812032,7.45508554002E-05,0.00024499,0.0010362132,7.46000779821E-05,4.2296149379,0.3080747688
33.6,0.0011505538,7.07507233771E-05,0.0002232125,0.0009273413,7.07937797677E-05,4.1545230479,0.3204697948
35.2,0.0010350611,7.26816966339E-05,0.0002077375,0.0008273236,0.000072718,3.9825437083,0.3528078128
36.8,0.0009641262,0.000070503,0.0001910154,0.0007731108,7.05346749069E-05,4.0473744414,0.3719650214
38.4,0.0008569965,6.85929153942E-05,0.00017523,0.0006817665,6.86202879035E-05,3.8906957861,0.3939583789
40,0.0007832354,6.78569067403E-05,0.0001642659,0.0006189694,6.78812224507E-05,3.7680935779,0.4153358457
41.6,0.0007278745,6.88717742252E-05,0.0001513108,0.0005765638,6.88921023821E-05,3.8104612092,0.4572483024
43.2,0.0006607771,7.02200918537E-05,0.0001386222,0.0005221549,7.0236826483E-05,3.7667486954,0.5083878603
44.8,0.0006123115,6.87141870893E-05,0.0001283487,0.0004839627,6.87288477748E-05,3.7706853838,0.5371065886
46.4,0.0005716776,6.61606839951E-05,0.0001197266,0.000451951,6.61739335599E-05,3.7748586134,0.5542832129
