x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.0411125385,0.0006674552,0.0411125385,0,0.0009439243,0,nan
3.2,0.0294620465,0.0011186852,0.0313460042,-0.0018839576,0.0012289967,-0.0601020033,-0.0392195831
6.4,0.0127573472,0.0007363118,0.0148595771,-0.0021022299,0.0007748246,-0.1414730626,-0.0521936726
9.6,0.00453755,0.0003002748,0.0047340915,-0.0001965415,0.0003099548,-0.0415162049,-0.0654763901
12.8,0.0022333014,0.0001481643,0.0018783168,0.0003549846,0.0001512698,0.188990781,0.0805932075
16,0.0014589347,0.000113162,0.0012916213,0.0001673133,0.0001150884,0.1295374559,0.0891286637
19.2,0.0009058227,0.000108238,0.0007451942,0.0001606285,0.000108912,0.2155526115,0.1461944661
22.4,0.000540824,9.48611857741E-05,0.0003726164,0.0001682076,9.50538762854E-05,0.4514228549,0.2552037041
25.6,0.0003669725,9.08862936905E-05,0.0002020887,0.0001648838,9.09454921025E-05,0.8158978452,0.4502224505
28.8,0.0002831533,8.59186633361E-05,0.0001474645,0.0001356887,0.000085952,0.9201446107,0.5830570033
32,0.0002231427,8.0680551478E-05,0.0001287942,9.43485153169E-05,8.07076419374E-05,0.7325526841,0.6267533344
35.2,0.0001980606,8.09287431257E-05,0.0001034191,9.46415086319E-05,8.09461579004E-05,0.915125855,0.7828411305
38.4,0.000160644,7.5486278211E-05,7.62825801536E-05,8.43614086412E-05,7.54964364689E-05,1.1059065972,0.9898571641
41.6,0.0001276043,7.39733986614E-05,5.95055275149E-05,6.80987564205E-05,7.39797065825E-05,1.1444105996,1.2433797361
44.8,0.0001013538,7.38660852404E-05,4.78153535325E-05,5.35384895212E-05,7.38701641435E-05,1.1196924328,1.5450116361
48,9.75478768082E-05,7.20479481117E-05,3.81584299034E-05,5.93894469049E-05,7.20506113932E-05,1.5563912628,1.8883654956
51.2,8.84953826915E-05,7.22602817243E-05,3.09746076125E-05,5.7520775079E-05,0.000072262,1.857029984,2.3331390056
54.4,8.00502387912E-05,6.84002433426E-05,2.56049355292E-05,5.4445303262E-05,6.84015064825E-05,2.1263597091,2.6716418513
57.6,6.63050579515E-05,7.00003534185E-05,2.16907546832E-05,4.46143032683E-05,7.00012391703E-05,2.0568349935,3.2274112775
60.8,5.66772345562E-05,6.84461173601E-05,1.88027560565E-05,3.78744784996E-05,6.84467980632E-05,2.0143046257,3.6404003588
64,4.16939116308E-05,6.75799011744E-05,1.68097727932E-05,2.48841388376E-05,6.75804521978E-05,1.4803376074,4.0203791286
67.2,3.03729292623E-05,6.64753992847E-05,1.49454367962E-05,1.54274924661E-05,6.64758420978E-05,1.0322543715,4.4479338303
70.4,3.48668016408E-05,6.63308471179E-05,1.35208519632E-05,2.13459496776E-05,6.63312103273E-05,1.5787429473,4.9059124213
73.6,3.35240588358E-05,6.54013574517E-05,1.21816621042E-05,2.13423967316E-05,6.54016564654E-05,1.7520102388,5.3689368275
76.8,3.55099450167E-05,6.32395516215E-05,1.08849498654E-05,0.000024625,6.3239798526E-05,2.262297526,5.8099543818
80,2.79833577652E-05,6.18492701796E-05,1.00934855938E-05,1.78898721713E-05,6.1849487256E-05,1.7724176653,6.1277314575
83.2,0.000005026,6.10892040404E-05,9.50976458555E-06,-4.4837538419E-06,6.10893991327E-05,-0.4714894676,-6.4238648552
86.4,-7.62652472292E-06,6.24137987771E-05,0.000008805,-1.64315527977E-05,0.000062414,-1.8661556395,-7.0885103409
89.6,-6.57715290002E-06,6.29429266164E-05,8.19058451357E-06,-1.47677374136E-05,6.2943067075E-05,-1.8030138617,-7.6848634648
92.8,-6.81510766645E-06,6.03730555422E-05,7.62058370862E-06,-1.44356913751E-05,6.0373182307E-05,-1.8943025793,-7.922442623
96,-1.04200849305E-05,6.16875181372E-05,7.01889514806E-06,-0.000017439,6.16876233832E-05,-2.4845762347,-8.7888865376
99.2,-0.000022668,5.90114136875E-05,6.44337398535E-06,-2.91113434207E-05,5.90115064038E-05,-4.5180278976,-9.1587728858
102.4,-2.78621628588E-05,5.89377403041E-05,5.86584952598E-06,-0.000033728,5.89378172408E-05,-5.7498938961,-10.0480519574
105.6,-3.21825681623E-05,5.98697999744E-05,5.19044534021E-06,-0.000037373,5.98698592761E-05,-7.2003481499,-11.5352209237
108.8,-3.1161230836E-05,5.85094549764E-05,4.67669086761E-06,-3.58379217036E-05,5.85095042389E-05,-7.6630939949,-12.5114955569
112,-0.000032622,5.94752873216E-05,4.29512504618E-06,-3.69170895756E-05,5.94753281987E-05,-8.5951140371,-13.8478734196
115.2,-4.14588137471E-05,5.81111526566E-05,3.96576045668E-06,-4.54245742038E-05,5.8111188323E-05,-11.4541901106,-14.6544069272
118.4,-2.65617894888E-05,5.79147848671E-05,3.65474744264E-06,-3.02165369315E-05,5.79148152613E-05,-8.2677496614,-15.8470301299
121.6,-3.55593224801E-05,5.53627694779E-05,3.45140870251E-06,-3.90107311826E-05,5.53627978336E-05,-11.3028431418,-16.0416876266
124.8,-3.34351380526E-05,5.63213272587E-05,3.20129396277E-06,-3.66364320154E-05,5.63213512385E-05,-11.4442573664,-17.5942892006
128,-4.29947114461E-05,0.000057193,3.02647764463E-06,-4.60211890907E-05,0.000057193,-15.2061883465,-18.8991735035
131.2,-3.11732909279E-05,5.52994983974E-05,2.86981611836E-06,-3.40431070463E-05,5.52995180243E-05,-11.8624698037,-19.2703217006
134.4,-3.00933121807E-05,5.43837436996E-05,2.67511580988E-06,-3.27684279906E-05,5.43837610409E-05,-12.2493493065,-20.3304704717
137.6,-3.24580563171E-05,5.50749458508E-05,2.53714918002E-06,-3.49952054971E-05,0.000055075,-13.7931209456,-21.7085743404
140.8,-3.30249205312E-05,5.5622432892E-05,2.41765363052E-06,-3.54425741617E-05,5.56224467405E-05,-14.6599056681,-23.0080199191
144,-2.91362434863E-05,5.58804854671E-05,2.32312769744E-06,-3.14593711837E-05,5.58804981948E-05,-13.5418174465,-24.0549980239
147.2,-2.19986766011E-05,5.5041865245E-05,2.1733862885E-06,-2.41720628896E-05,5.50418765545E-05,-11.1218438331,-25.3260434055
150.4,-2.24718619915E-05,5.59023246325E-05,2.07016535111E-06,-0.000024542,5.59023347354E-05,-11.8551048734,-27.0044876288
153.6,-1.55483542524E-05,5.40566246739E-05,1.94364413058E-06,-0.000017492,5.40566338837E-05,-8.9995890234,-27.8123854845
156.8,-1.28593381381E-05,5.55222638507E-05,1.8533456741E-06,-1.47126838122E-05,5.55222720036E-05,-7.9384456002,-29.9581381732
160,-1.12461336071E-05,5.39096408522E-05,1.77081471479E-06,-1.30169483219E-05,5.39096485178E-05,-7.3508245742,-30.4436496224
163.2,-2.14200506915E-05,5.38594482834E-05,1.68524671442E-06,-2.31052974059E-05,5.38594552326E-05,-13.7103352336,-31.9601640566
166.4,-1.8061608042E-05,5.46500973805E-05,1.60838811659E-06,-0.00001967,5.46501036186E-05,-12.2296328577,-33.9787617494
169.6,-1.24544399085E-05,5.36975665952E-05,1.54467940442E-06,-1.39991193129E-05,5.3697572451E-05,-9.0627992274,-34.7632351794
172.8,-6.76268268773E-06,5.41606467321E-05,1.47137926873E-06,-8.23406195647E-06,5.41606519999E-05,-5.5961519449,-36.8095555799
176,-5.38992586976E-06,5.26020598978E-05,1.41585888323E-06,-6.80578475298E-06,5.26020649201E-05,-4.8068242066,-37.1521354185
179.2,-1.11931239093E-05,5.3955202629E-05,0.000001373,-1.25661536391E-05,5.39552072336E-05,-9.1521351401,-39.2967404471
182.4,-4.69974758735E-06,5.2864831005E-05,0.000001324,-6.02375363292E-06,5.2864835375E-05,-4.5496420904,-39.9280093977
185.6,-4.93967416782E-06,0.000052231,1.27164272807E-06,-6.21131689588E-06,0.000052231,-4.8844826922,-41.073734416
188.8,-1.65215133844E-05,0.000053157,1.22288021766E-06,-1.7744393602E-05,0.000053157,-14.5103284408,-43.4693230089
192,-9.61313460101E-06,5.18914111223E-05,1.18176003526E-06,-1.07948946363E-05,5.18914146691E-05,-9.1345910457,-43.9105309559
195.2,-7.30642972687E-06,5.141976944E-05,1.13435087622E-06,-8.44078060309E-06,5.14197727378E-05,-7.4410667634,-45.329850239
198.4,-1.27193690174E-05,5.14326226353E-05,1.10054846116E-06,-1.38199174785E-05,5.14326257387E-05,-12.557300261,-46.7340757106
201.6,-5.43292636064E-06,5.19351853373E-05,1.06890523433E-06,-6.50183159497E-06,5.19351882365E-05,-6.0827016148,-48.5873713007
204.8,-3.02812140559E-06,5.20325654292E-05,1.02734046835E-06,-4.05546187394E-06,5.20325681023E-05,-3.9475344337,-50.6478731838
208,-1.18696348459E-05,4.98731108327E-05,1.00735333851E-06,-0.000012877,4.98731135141E-05,-12.7829905279,-49.5094916158
211.2,-1.04932935924E-05,5.18234759316E-05,9.71561969222E-07,-1.14648555616E-05,5.1823478332E-05,-11.800436745,-53.3407175522
214.4,-1.38155374039E-05,4.96528202085E-05,9.51504445426E-07,-0.000014767,4.96528226115E-05,-15.519677202,-52.1840981621
217.6,-3.72715902115E-06,4.96336044552E-05,9.21350464948E-07,-4.6485094861E-06,4.96336067092E-05,-5.0453216913,-53.8705584593
220.8,-0.000005085,5.06958237226E-05,9.02066766053E-07,-5.9871126464E-06,5.06958258379E-05,-6.6371058903,-56.1997414458
224,-3.43569683668E-06,4.99603530704E-05,8.72785811542E-07,-4.30848264823E-06,4.99603550798E-05,-4.936471917,-57.2424567224
227.2,-2.99494513179E-06,4.97681257811E-05,8.48234125189E-07,-3.84317925698E-06,4.97681276864E-05,-4.5308000974,-58.6726769404
230.4,1.81582868311E-06,4.83143411541E-05,8.25516419993E-07,9.90312263118E-07,4.83143430129E-05,1.1996275775,58.5262079807
233.6,-0.000006891,4.83082732014E-05,7.91810556197E-07,-7.68281204424E-06,4.83082749117E-05,-9.7028411457,-61.01009333
236.8,-8.29678545798E-06,4.8628356418E-05,7.69130174321E-07,-9.0659156323E-06,4.86283580212E-05,-11.7872317782,-63.2254231922
240,-2.14298341191E-05,4.84485629295E-05,0.000000753,-2.21828244753E-05,4.84485644718E-05,-29.4596395449,-64.3433246559
243.2,-1.35747928827E-05,4.79776388929E-05,7.25622721664E-07,-1.43004156044E-05,4.79776403392E-05,-19.7077836422,-66.120038181
246.4,-1.06706956057E-05,4.87693807325E-05,0.000000703,-1.13736592535E-05,4.87693820679E-05,-16.1795838077,-69.3773167023
249.6,-1.31543345215E-05,0.000048707,6.91373515386E-07,-1.38457080369E-05,0.000048707,-20.0263789815,-70.4503677267
252.8,-1.85556992547E-05,4.83226547221E-05,6.62163087482E-07,-1.92178623422E-05,4.83226559179E-05,-29.0228535923,-72.9784913153
256,-0.00001692,4.79893482504E-05,0.000000643,-0.000017563,4.79893493856E-05,-27.3162202245,-74.6405129206
