x_axis(arcsec),Stellar_Profile(mJy/arcsec^2),Stellar_Unc(mJy/arcsec^2),PSF_Profile(mJy/arcsec^2),Residual_Profile(mJy/arcsec^2),Residual_Unc(mJy/arcsec^2),FractionalResidual_Profile(mJy/arcsec^2),FractionalResidual_Unc(mJy/arcsec^2)
0,1.6410280848,0.391134108,1.6410280848,0,0.5531471603,0,nan
2,1.0682809179,0.2366237725,1.3881545403,-0.3198736224,0.4067687017,-0.2304308441,-0.2981310503
4,0.3595414718,0.1988688956,0.8494978932,-0.4899564214,0.2838046364,-0.5767600194,-0.3612625389
6,0.0751248313,0.1887538589,0.395581064,-0.3204562326,0.2109923825,-0.8100899204,-0.5672459262
8,-0.1220643169,0.1800058888,0.1639603887,-0.2860247057,0.184199144,-1.7444744298,-1.1979114709
10,-0.165998095,0.15833594,0.0813340118,-0.2473321068,0.159518262,-3.0409431607,-2.0909158882
12,-0.1933942051,0.1628352935,0.0545503128,-0.2479445179,0.16335355,-4.5452446607,-3.1844869543
14,-0.175714982,0.1517723778,0.0415270547,-0.2172420367,0.1520947799,-5.2313374609,-3.8689717599
16,-0.316421973,0.146331603,0.0316448695,-0.3480668425,0.1465258569,-10.9991555707,-5.3209705375
18,-0.1978892616,0.1467985386,0.0233920093,-0.2212812708,0.1469043777,-9.4596949007,-6.672585743
20,-0.2526527728,0.1400606209,0.0166967231,-0.2693494959,0.1401171469,-16.1318777744,-9.2308075414
22,-0.3506928241,0.142249914,0.0115026201,-0.3621954442,0.1422763314,-31.4880819558,-14.4678762099
24,-0.2685446069,0.1345791666,0.0076480424,-0.2761926493,0.1345915116,-36.1128552565,-19.5903694859
26,-0.241466729,0.1302697085,0.0049078479,-0.2463745768,0.1302749605,-50.2001252232,-29.1162781938
28,-0.1675423232,0.1319786028,0.0030396191,-0.1705819422,0.1319805913,-56.119513451,-45.4336994935
30,-0.2369000974,0.1293558205,0.0018169145,-0.2387170119,0.1293565453,-131.385936344,-77.7784563642
32,-0.1842977887,0.1296457084,0.0010481829,-0.1853459717,0.1296459492,-176.825977272,-130.669812917
34,-0.1122458492,0.1238504688,0.0005836157,-0.1128294649,0.1238505469,-193.328367755,-217.15765197
36,-0.167055963,0.123010553,0.0003136202,-0.1673695832,0.1230105757,-533.669602925,-412.337391854
38,-0.2088327609,0.1234712415,0.0001626554,-0.2089954163,0.1234712476,-1284.89697044,-818.546523016
40,-0.183472544,0.1226269283,8.14179397398E-05,-0.183553962,0.1226269299,-2254.46581619,-1599.12530083
42,-0.1372373988,0.118466006,3.9333176871E-05,-0.137276732,0.1184660064,-3490.10028906,-3124.6249114
44,-0.1357950086,0.1205871385,1.83394034965E-05,-0.135813348,0.1205871385,-7405.54882366,-6808.09488168
46,-0.1648257249,0.1203070604,8.25274926907E-06,-0.1648339777,0.1203070604,-19973.2201121,-15335.4368064
48,-0.1341435903,0.1185038306,3.58425879854E-06,-0.1341471745,0.1185038306,-37426.7546146,-34244.5879706
50,-0.155465426,0.1158839407,1.50240608346E-06,-0.1554669284,0.1158839407,-103478.633451,-80979.5400579
52,-0.0870119909,0.1151224151,6.07802624599E-07,-0.0870125987,0.1151224151,-143159.300777,-192456.510685
54,-0.1679003956,0.1175336457,2.37314936285E-07,-0.1679006329,0.1175336457,-707501.329295,-523185.629723
56,-0.1257443315,0.1171582125,8.94282720053E-08,-0.125744421,0.1171582125,-1406092.48221,-1352267.60264
58,-0.1115718678,0.1138738993,3.25245929061E-08,-0.1115719003,0.1138738993,-3430385.75937,-3595364.77547
60,-0.0668697917,0.1147089435,1.14165836727E-08,-0.0668698031,0.1147089435,-5857251.61024,-10144095.6526
62,-0.1076640544,0.1122569495,3.86765495773E-09,-0.1076640582,0.1122569495,-27837038.0547,-29773245.2376
64,-0.0854812417,0.1137529433,1.26458068952E-09,-0.085481243,0.1137529433,-67596511.4033,-91384554.5507
66,-0.052245508,0.1131418415,3.99054886279E-10,-0.0522455084,0.1131418415,-130923114.137,-285236583.444
68,-0.095606839,0.1109851897,1.21536292627E-10,-0.0956068392,0.1109851897,-786652588.193,-932235353.879
70,-0.0912713619,0.1140593517,3.57245362701E-11,-0.091271362,0.1140593517,-2554864849.54,-3250297974.79
72,-0.0651069614,0.1114277905,1.01347835988E-11,-0.0651069614,0.1114277905,-6424109676.47,-11100697384.1
74,-0.1133561742,0.1123516606,2.77491461338E-12,-0.1133561742,0.1123516606,-40850328740.9,-41642591034.4
76,-0.0944049219,0.1097775072,7.3328370184E-13,-0.0944049219,0.1097775072,-128742697688,-152819179861
78,-0.0416950527,0.1110942454,1.87017266489E-13,-0.0416950527,0.1110942454,-222947610531,-596404047522
80,-0.0271325707,0.1127891108,4.60339923995E-14,-0.0271325707,0.1127891108,-589402945600,-2454150735170
82,-0.0454198302,0.1094728218,1.09361093142E-14,-0.0454198302,0.1094728218,-4153198259450,-10059042738200
84,0.0256197254,0.1108824229,2.50746169843E-15,0.0256197254,0.1108824229,10217394493600,44287989501400
86,-0.005362475,0.1092494443,5.54872290475E-16,-0.005362475,0.1092494443,-9664340992620,-196904625536000
88,-0.0065125205,0.1109047747,1.18505642974E-16,-0.0065125205,0.1109047747,-54955362198900,-935952365794000
90,-0.0280262662,0.111867872,2.44271212899E-17,-0.0280262662,0.111867872,-1147342165640000,-4587815903620000
92,-0.0177461317,0.110183796,4.85951370134E-18,-0.0177461317,0.110183796,-3651832831370000,-2.26905321247E+016
94,-0.0047907847,0.1111755056,9.33040718977E-19,-0.0047907847,0.1111755056,-5134593339550000,-1.19160254375E+017
96,-0.0238319969,0.1100691281,1.72900260586E-19,-0.0238319969,0.1100691281,-1.37836674015E+017,-6.37451905289E+017
98,-0.0536878113,0.111495828,3.09227395514E-20,-0.0536878113,0.111495828,-1.73619194334E+018,-3.6292948764E+018
100,0.0404554404,0.1094435158,5.33761864382E-21,0.0404554404,0.1094435158,7.57930513321E+018,2.05836106571E+019
102,0.0031868156,0.1111129688,8.89210095585E-22,0.0031868156,0.1111129688,3.58387249715E+018,1.24959855357E+020
104,-0.0075729308,0.1129461402,1.42971176911E-22,-0.0075729308,0.1129461402,-5.29682343855E+019,-7.90093250705E+020
106,0.0005518896,0.1110913297,2.21860436892E-23,0.0005518896,0.1110913297,2.48755297445E+019,5.00726533819E+021
108,-0.0206602461,0.1133854758,3.3227563738E-24,-0.0206602461,0.1133854758,-6.21780346559E+021,-3.41560871268E+022
110,-0.0108363595,0.1100933598,4.80290946059E-25,-0.0108363595,0.1100933598,-2.25620733192E+022,-2.29285297283E+023
112,0.0199530201,0.1134578769,6.70035115772E-26,0.0199530201,0.1134578769,2.9779066265E+023,1.6947993053E+024
114,0.0362014046,0.1129405127,9.0214841973E-27,0.0362014046,0.1129405127,4.012799199E+024,1.25555433191E+025
116,0.0115576944,0.1133994973,1.17231868078E-27,0.0115576944,0.1133994973,9.85883328426E+024,9.67594851401E+025
118,0.0373364034,0.1138602996,1.47028200703E-28,0.0373364034,0.1138602996,2.53940422547E+026,7.76772969615E+026
120,0.0445824397,0.1127284791,1.77968386757E-29,0.0445824397,0.1127284791,2.50507634951E+027,6.3622644199E+027
122,-0.014909875,0.1137655797,2.07908549784E-30,-0.014909875,0.1137655797,-7.17136215157E+027,-5.47457382384E+028
124,0.0253136353,0.1142941203,2.34416997351E-31,0.0253136353,0.1142941203,1.07985494249E+029,4.88246411501E+029
126,0.022667849,0.1146756824,2.55089811362E-32,0.022667849,0.1146756824,8.88622282287E+029,4.5004888649E+030
128,0.0259524318,0.1163972919,2.67907203279E-33,0.0259524318,0.1163972919,9.68709742072E+030,4.35081763444E+031
130,0.0404562266,0.1138939242,2.71558207332E-34,0.0404562266,0.1138939242,1.48978103126E+032,4.2090932861E+032
132,-0.0360210517,0.1169784419,2.65661572873E-35,-0.0360210517,0.1169784419,-1.35589996222E+033,-4.41513161601E+033
134,-0.009047482,0.1158324213,2.50831346987E-36,-0.009047482,0.1158324213,-3.60699814018E+033,-4.61874060071E+034
136,0.0112658145,0.1147711552,2.28571535255E-37,0.0112658145,0.1147711552,4.92879152892E+034,5.02260973906E+035
138,-0.0051092047,0.1177820774,2.01024848993E-38,-0.0051092047,0.1177820774,-2.54157866706E+035,-5.85939365667E+036
140,-0.0299711238,0.1162670278,1.70633621387E-39,-0.0299711238,0.1162670278,-1.75646062895E+037,-6.82668935859E+037
142,0.0510599342,0.1182962655,1.39786984273E-40,0.0510599342,0.1182962655,3.65269588019E+038,8.50727447165E+038
144,0.0028986661,0.1157665951,1.10523881235E-41,0.0028986661,0.1157665951,2.62266046589E+038,1.04745377538E+040
146,0.0376630359,0.1174314515,8.43398421003E-43,0.0376630359,0.1174314515,4.46562797841E+040,1.39642262218E+041
148,0.0115935157,0.1181374336,6.21150306588E-44,0.0115935157,0.1181374336,1.86645898718E+041,1.90243400041E+042
150,-0.019144701,0.1181292204,4.41517465937E-45,-0.019144701,0.1181292204,-4.33611408032E+042,-2.67752303827E+043
152,-0.0328512937,0.1187006061,3.02890977802E-46,-0.0328512937,0.1187006061,-1.08459135951E+044,-3.92743875151E+044
154,-0.015937927,0.1183949383,2.00545097713E-47,-0.015937927,0.1183949383,-7.94730323003E+044,-5.90669462615E+045
156,-0.0004695836,0.1203996942,1.28151893485E-48,-0.0004695836,0.1203996942,-3.66427386352E+044,-9.39508133166E+046
158,-0.0099935407,0.1196974935,7.90360575583E-50,-0.0099935407,0.1196974935,-1.26442803775E+047,-1.51476673549E+048
160,-0.0440375095,0.1191184985,4.70449243475E-51,-0.0440375095,0.1191184985,-9.36073552918E+048,-2.54182669455E+049
162,-0.0308616436,0.1209316393,2.70263591874E-52,-0.0308616436,0.1209316393,-1.14190902805E+050,-4.48285109506E+050
